Observer,Analysis Date,SampleID,SampleCode,Site,Location,Replicate,Date,Day,Month,Year,Sample no,liters of seawater sampled,/L to /m3,Sample quality,notes,exuviae,#ind total_COPEPODA,total_COPEPODA,#ind Copepod nauplii,Copepod nauplii,#ind Copepods,Copepods,#ind Appendicularia,Appendicularia,#ind total_Balanoid,total_BALANOID,#ind Balanoid nauplii,Balanoid nauplii,#ind Balanoid cypris,Balanoid cypris,#ind Sagitta,Sagitta,#ind Total_POLYCHAETAE,Total_POLYCHAETAE,#ind Sabellariidae,Sabellariidae,#ind  other Polychaetae larvae,other Polychaetae larvae,#ind Spionida,Spionida,#ind Total_BRANCHIOPODA,Total_BRANCHIOPODA,#ind Evadne,Evadne,#ind Podon,Podon,#ind Gastropoda,Gastropoda,#ind Bryozoa larvae,Bryozoa larvae,#ind Bivalvia,Bivalvia,#ind Fish egg,Fish egg,#ind Fish larvae,Fish larvae,#ind Total_HYDROZOA,Total_HYDROZOA,#ind Obelia,Obelia,#ind Rathkea Octopunctata,Rathkea Octopunctata,#ind Clytia,Clytia,#ind unknown Jellies,unknown Jellies,#ind Hydroids,Hydroids,#ind Lizzia blondina,Lizzia blondina,#ind Stauridiosarsia gemmifera,Stauridiosarsia gemmifera,#ind Solmaris corona,Solmaris corona,#ind Euphysa sp.,Euphysa sp.,#ind Siphonophorae,Siphonophorae,#ind Total_MALACOSTRACA,Total_MALACOSTRACA,#ind Decapoda larvae,Decapoda larvae,#ind Amphipod,Amphipod,#ind Ophiura larvae,Ophiura larvae,#ind Asteroida larvae,Asteroida larvae,#ind Sea urchin larvae,Sea urchin larvae,#ind Ascidian larvae,Ascidian larvae,#ind Anemone larvae,Anemone larvae,#ind Nemertini larvae,Nemertini larvae,#ind Phoronida larvae,Phoronida larvae,#ind Ctenophore,Ctenophore,#ind Holothuria larvae,Holothuria larvae,#ind Total_Zooplankton,Total_Zooplankton,#ind Meroplankton,Meroplankton,#ind Holoplankton,Holoplankton,#ind MP Fragments,MP Fragments,#ind Microfibers,Microfibers
Eleni,13/11/2021,Pabay_NE_30/10/2021,Pabay_NE_3,Pabay,NE,1,30/10/2021,30,10,2021,3,491,0.491,good,,TRUE,2350,4787,1317,2682,1033,2105,58,119,0,0,0,0,0,0,0,0,33,68,33,68,0,0,0,0,8,17,0,0,8,17,8,17,33,68,25,51,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2519,5131,102,208,2417,4923,0,0,1,2
Eleni,09/02/2022,Pabay_NW_30/10/2021,Pabay_NW_3,Pabay,NW,2,30/10/2021,30,10,2021,3,491,0.491,good,,FALSE,1550,3158,983,2003,567,1154,67,136,0,0,0,0,0,0,0,0,42,85,42,85,0,0,0,0,0,0,0,0,0,0,42,85,17,34,58,119,1,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776,3618,158,323,1618,3295,0,0,8,17
Eleni,29/11/2021,Pabay_Mid_30/10/2021,Pabay_Mid_3,Pabay,Mid,3,30/10/2021,30,10,2021,3,491,0.491,good,,FALSE,1383,2818,625,1273,758,1545,50,102,0,0,0,0,0,0,0,0,17,34,17,34,0,0,0,0,17,34,8,17,8,17,1,2,1,2,42,85,0,0,0,0,8,17,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,3096,70,142,1450,2954,0,0,25,51
Eleni,25/01/2022,Pabay_NE_13/11/2021,Pabay_NE_4,Pabay,NE,1,13/11/2021,13,11,2021,4,491,0.491,good,,FALSE,1400,2852,683,1392,717,1460,33,68,17,34,17,34,0,0,0,0,25,51,25,51,0,0,0,0,0,0,0,0,0,0,17,34,42,85,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,1544,3145,93,189,1451,2956,0,0,0,0
Eleni,25/01/2022,Pabay _NW_13/11/2021,Pabay _NW_4,Pabay ,NW,2,13/11/2021,13,11,2021,4,491,0.491,good,,FALSE,942,1918,408,832,533,1086,25,51,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,2,0,0,1,2,17,34,42,85,1,2,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,2096,61,125,968,1971,1,2,1,2
Eleni,09/02/2022,Pabay_Mid_13/11/2021,Pabay_Mid_4,Pabay,Mid,3,13/11/2021,13,11,2021,4,491,0.491,good,,FALSE,1483,3022,692,1409,792,1613,17,34,0,0,0,0,0,0,0,0,33,68,33,68,0,0,0,0,0,0,0,0,0,0,50,102,50,102,17,34,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,3412,158,323,1517,3090,0,0,1,2
Eleni,20/01/2022,Pabay_NE_29/11/2021,Pabay_NE_5,Pabay,NE,1,29/11/2021,29,11,2021,5,491,0.491,good,,FALSE,208,424,92,187,117,238,1,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,2,25,51,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,0,0,0,0,0,0,0,0,0,0,255,519,46,93,209,426,0,0,0,0
Eleni,25/01/2022,Pabay_Mid_29/11/2021,Pabay_Mid_5,Pabay,Mid,3,29/11/2021,29,11,2021,5,491,0.491,good,,FALSE,292,594,108,221,183,373,17,34,8,17,8,17,0,0,0,0,25,51,25,51,0,0,0,0,0,0,0,0,0,0,1,2,25,51,17,34,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,410,836,77,157,333,679,1,2,1,2
Eleni,07/02/2022,Pabay_NE_10/12/2021,Pabay_NE_6,Pabay,NE,1,10/12/2021,10,12,2021,6,491,0.491,good,,TRUE,58,119,42,85,17,34,8,17,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,2,0,0,1,2,1,2,8,17,8,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,178,19,38,69,140,0,0,1,2
Eleni,09/02/2022,Pabay_NW_10/12/2021,Pabay_NW_6,Pabay,NW,2,10/12/2021,10,12,2021,6,491,0.491,good,,FALSE,175,357,100,204,75,153,1,2,0,0,0,0,0,0,0,0,8,17,8,17,0,0,0,0,0,0,0,0,0,0,17,34,17,34,1,2,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,462,43,87,184,376,1,2,1,2
Eleni,23/02/2022,Pabay_Mid_10/12/2021,Pabay_Mid_6,Pabay,Mid,3,10/12/2021,10,12,2021,6,491,0.491,good,,FALSE,25,51,17,34,8,17,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,106,19,38,33,68,0,0,8,17
Eleni,31/01/2022,Scalpay_SW_21/12/2021,Scalpay_SW_7,Scalpay,SW,1,21/12/2021,21,12,2021,7,491,0.491,good,,TRUE,442,900,133,272,308,628,1,2,0,0,0,0,0,0,0,0,83,170,83,170,0,0,0,0,0,0,0,0,0,0,17,34,33,68,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,1207,150,306,443,902,0,0,8,17
Eleni,23/02/2022,Scalpay_Mid_21/12/2021,Scalpay_Mid_7,Scalpay,Mid,2,21/12/2021,21,12,2021,7,491,0.491,good,,FALSE,242,492,133,272,108,221,1,2,1,2,1,2,0,0,0,0,8,17,8,17,0,0,0,0,1,2,1,2,0,0,8,17,8,17,50,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,651,75,153,245,498,1,2,0,0
Eleni,24/02/2022,Scalpay_NW_21/12/2021,Scalpay_NW_7,Scalpay,NW,3,21/12/2021,21,12,2021,7,491,0.491,good,,FALSE,358,730,225,458,133,272,17,34,0,0,0,0,0,0,0,0,8,17,8,17,0,0,0,0,0,0,0,0,0,0,1,2,25,51,25,51,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,902,59,121,383,781,0,0,17,34
Eleni,10/02/2022,Pabay_NE_21/12/2021,Pabay_NE_7,Pabay,NE,1,21/12/2021,21,12,2021,7,491,0.491,good,,TRUE,300,611,108,221,192,390,1,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,17,34,17,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,685,35,72,301,613,0,0,1,2
Eleni,07/02/2022,Pabay_NW_21/12/2021,Pabay_NW_7,Pabay,NW,2,21/12/2021,21,12,2021,7,491,0.491,good,,FALSE,308,628,167,340,142,289,1,2,0,0,0,0,0,0,0,0,8,17,8,17,0,0,0,0,0,0,0,0,0,0,33,68,17,34,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,766,67,136,309,630,0,0,1,2
Eleni,24/02/2022,Pabay_Mid_21/12/2021,Pabay_Mid_7,Pabay,Mid,3,21/12/2021,21,12,2021,7,491,0.491,good,,TRUE,150,306,42,85,108,221,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,5,10,17,34,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,369,31,63,150,306,0,0,1,2
Eleni,28/02/2022,Pabay_NE_14/1/2022,Pabay_NE_8,Pabay,NE,1,14/01/2022,14,1,2022,8,491,0.491,good,,FALSE,283,577,50,102,233,475,17,34,1,2,1,2,0,0,0,0,100,204,100,204,0,0,0,0,0,0,0,0,0,0,17,34,8,17,75,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,509,1038,208,424,301,613,1,2,1,2
Eleni,24/02/2022,Pabay _NW_14/1/2022,Pabay _NW_8,Pabay ,NW,2,14/01/2022,14,1,2022,8,491,0.491,good,,FALSE,333,679,67,136,267,543,8,17,0,0,0,0,0,0,0,0,83,170,83,170,0,0,0,0,8,17,8,17,0,0,33,68,25,51,117,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,609,1241,259,528,350,713,0,0,8,17
Eleni,28/02/2022,Pabay_Mid_14/1/2022,Pabay_Mid_8,Pabay,Mid,3,14/01/2022,14,1,2022,8,491,0.491,good,,FALSE,758,1545,200,407,558,1137,8,17,0,0,0,0,0,0,0,0,233,475,233,475,0,0,0,0,0,0,0,0,0,0,50,102,1,2,200,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,8,17,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1260,2568,494,1006,767,1562,1,2,0,0
Eleni,02/03/2022,Pabay_NE_30/1/2022,Pabay_NE_9,Pabay,NE,1,30/01/2022,30,1,2022,9,491,0.491,good,,TRUE,50,102,17,34,33,68,0,0,0,0,0,0,0,0,0,0,25,51,25,51,0,0,0,0,0,0,0,0,0,0,1,2,8,17,8,17,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,206,43,87,58,119,0,0,0,0
Eleni,01/03/2022,Pabay_NW_30/1/2022,Pabay_NW_9,Pabay,NW,2,30/01/2022,30,1,2022,9,491,0.491,good,,FALSE,283,577,133,272,150,306,1,2,0,0,0,0,0,0,0,0,42,85,42,85,0,0,0,0,0,0,0,0,0,0,33,68,1,2,42,85,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,405,825,120,244,285,581,8,17,1,2
Eleni,01/03/2022,Pabay_Mid_30/1/2022,Pabay_Mid_9,Pabay,Mid,3,30/01/2022,30,1,2022,9,491,0.491,good,,FALSE,125,255,75,153,50,102,1,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,8,17,1,2,42,85,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,380,52,106,134,274,0,0,1,2
Eleni,03/03/2022,Pabay_NE_25/2/2022,Pabay_NE_10,Pabay,NE,1,25/02/2022,25,2,2022,10,491,0.491,good,,FALSE,292,594,208,424,83,170,8,17,1,2,1,2,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2,8,17,25,51,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,689,36,74,302,615,0,0,1,2
Eleni,07/03/2022,Pabay_NW_25/2/2022,Pabay_NW_10,Pabay,NW,2,25/02/2022,25,2,2022,10,491,0.491,good,,TRUE,350,713,267,543,83,170,1,2,1,2,1,2,0,0,0,0,33,68,33,68,0,0,0,0,0,0,0,0,0,0,50,102,1,2,50,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,993,135,276,352,717,0,0,0,0
Eleni,07/03/2022,Pabay_Mid_25/2/2022,Pabay_Mid_10,Pabay,Mid,3,25/02/2022,25,2,2022,10,491,0.491,good,,FALSE,333,679,267,543,67,136,0,0,1,2,1,2,0,0,0,0,8,17,8,17,0,0,0,0,0,0,0,0,0,0,17,34,8,17,42,85,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,855,77,157,343,698,1,2,1,2
Eleni,07/03/2022,Pabay_NW_8/2/2022,Pabay_NW_11,Pabay,NW,2,08/02/2022,8,2,2022,11,491,0.491,good,,FALSE,242,492,58,119,183,373,0,0,17,34,17,34,0,0,0,0,67,136,17,34,50,102,0,0,0,0,0,0,0,0,17,34,8,17,67,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,849,158,323,258,526,1,2,0,0
Eleni,15/03/2022,Pabay_Mid_8/2/2022,Pabay_Mid_11,Pabay,Mid,3,08/02/2022,8,2,2022,11,491,0.491,good,,FALSE,250,509,142,289,108,221,1,2,1,2,1,2,0,0,0,0,17,34,17,34,0,0,0,0,0,0,0,0,0,0,33,68,0,0,42,85,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,719,93,189,260,530,0,0,1,2
Eleni,15/03/2022,Pabay_NE_8/2/2022,Pabay_NE_11,Pabay,NE,1,08/02/2022,8,2,2022,11,491,0.491,good,,FALSE,42,85,8,17,33,68,0,0,0,0,0,0,0,0,0,0,17,34,17,34,0,0,0,0,0,0,0,0,0,0,17,34,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,155,34,70,42,85,0,0,0,0
Eleni,05/04/2022,Pabay_NE_8/3/2022,Pabay_NE_12,Pabay,NE,1,08/03/2022,8,3,2022,12,491,0.491,good,,FALSE,158,323,67,136,92,187,0,0,1100,2241,1100,2241,0,0,0,0,108,221,100,204,8,17,0,0,1,2,1,2,0,0,42,85,8,17,142,289,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561,3181,301,613,1260,2568,0,0,0,0
Eleni,05/04/2022,Pabay_NW_8/3/2022,Pabay_NW_12,Pabay,NW,2,08/03/2022,8,3,2022,12,491,0.491,good,,FALSE,383,781,167,340,217,441,0,0,1775,3616,1775,3616,0,0,0,0,125,255,125,255,0,0,0,0,1,2,1,2,0,0,67,136,17,34,100,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,2476,5044,317,645,2159,4399,0,0,1,2
Eleni,04/04/2022,Pabay_Mid_8/3/2022,Pabay_Mid_12,Pabay,Mid,3,08/03/2022,8,3,2022,12,491,0.491,good,,FALSE,125,255,25,51,100,204,0,0,2925,5959,2925,5959,0,0,0,0,43,87,42,85,1,2,0,0,1,2,1,2,0,0,50,102,25,51,17,34,8,17,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3196,6510,136,278,3059,6232,0,0,0,0
Eleni,04/04/2022,Pabay_NE_21/3/2022,Pabay_NE_13,Pabay,NE,1,21/03/2022,21,3,2022,13,491,0.491,good,,TRUE,200,407,150,306,50,102,63,127,713,1451,713,1451,0,0,0,0,113,229,50,102,63,127,0,0,1,2,1,2,0,0,25,51,25,51,163,331,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1305,2659,329,670,976,1988,13,25,13,25
