Sample_code,Site,Location,Station_no,Date,Day,Month,Year,Sample no,Total_Zooplankton,Total_Phytoplankton,total_reads,reads_polychaeta,reads_Balanoida,reads_Bivalvia,reads_Branchiopoda,reads_Bryozoa,reads_Copepoda,reads_malacostraca,reads_Gastropoda,reads_Hydrozoa,reads_other,zoo_count_malacostraca,zoo_count_polychaeta,zoo_count_Balanoida,zoo_count_Bivalvia,zoo_count_Branchiopoda,zoo_count_bryozoa,zoo_count_Copepoda,zoo_count_gastropoda,zoo_count_hydrozoa,zoo_count_other,zoo_rel_other,zoo_rel_polychaeta,zoo_rel_Balanoida,zoo_rel_malacostraca,zoo_rel_Bivalvia,zoo_rel_Branchiopoda,zoo_rel_Bryozoa,zoo_rel_Copepoda,zoo_rel_Gastropoda,zoo_rel_Hydrozoa,eDNA_other_rel,eDNA_polychaeta_rel,eDNA_Balanoida_rel,eDNA_Bivalvia_rel,eDNA_Branchiopoda_rel,eDNA_Bryozoa_rel,eDNA_Copepoda_rel,eDNA_malacostraca_rel,eDNA_Gastropoda_rel,eDNA_Hydrozoa_rel
Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,8,1241,3697,9564.5,0,0,0,0,0,0.381619531,0,0,5.133566836,9559.366433,0,170,0,238,17,51,679,68,0,18,0.014504432,0.136986301,0,0,0.191780822,0.01369863,0.04109589,0.547139404,0.054794521,0,0.999463269,0,0,0,0,0,3.98996E-05,0,0,0.000536731
Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,8,2568,3466,9612.5,0.028608583,0,0,0,0,0.205461638,0,0.028608583,2.897269181,9609.602731,17,475,0,407,0,2,1545,102,0,20,0.007788162,0.184968847,0,0.006619938,0.158489097,0,0.000778816,0.601635514,0.039719626,0,0.999698594,2.97619E-06,0,0,0,0,2.13744E-05,0,2.97619E-06,0.000301406
Pabay_15_6_21_1,Pabay,NE,1,15_6_2021,15,6,2021,1,2125,153869,34636,0,0,0,0,0,0,0,0,0,34636,0,52,0,2,76,0,1961,2,0,32,0.015058824,0.024470588,0,0,0.000963855,0.036626506,0,0.945060241,0.000963855,0,1,0,0,0,0,0,0,0,0,0
Pabay_15_6_21_2,Pabay,NW,2,15_6_2021,15,6,2021,1,13753,234731,41126.5,0,0,0,0,0,0,0,0,0.05349349,41126.44651,0,53,0,3336,0,0,9778,509,2,75,0.005453356,0.003853705,0,0,1.569882353,0,0,4.601411765,0.239529412,0.000941176,0.999998699,0,0,0,0,0,0,0,0,1.30071E-06
Pabay_15_6_21_3,Pabay,Mid,3,15_6_2021,15,6,2021,1,7914,143472,15347,0,0,0,0,0,0,0,0,0,15347,0,52.5,0,1669,38,0,5869.5,255.5,1,28.5,0.003601213,0.006633813,0,0,0.21089209,0.004801617,0,0.741660349,0.032284559,0.000126358,1,0,0,0,0,0,0,0,0,0
Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,18,17412,,36823.5,0,0,0,0,0,0,0,0,0.48067131,36823.01933,16,139,16,2785,3005,102,10577,102,71,599,0.034401562,0.007983,0.000918907,0.000918907,0.159947163,0.172582127,0.005858029,0.607454629,0.005858029,0.004077648,0.999986947,0,0,0,0,0,0,0,0,1.30534E-05
Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,18,15621,,15381.5,5.474108507,0,0,20.09882001,0,22.37428079,0,0,0.487598739,15381.0124,33,51,51,1833,2104,136,10848,67,39,459,0.029383522,0.003264836,0.003264836,0.002112541,0.11734204,0.134690481,0.008706229,0.694449779,0.004289098,0.002496639,0.9999683,0.000355889,0,0,0.001306688,0,0.001454623,0,0,3.17003E-05
Pabay_15_7_22_3,Pabay,Mid,3,15_7_2022,15,7,2022,18,22346,,31703.5,0,0,0,0,0,0,0,0.097781002,0,31703.5,16,189,51,1799,2479,204,16654,238,33,683,0.030564754,0.00845789,0.002282288,0.000716012,0.080506578,0.11093708,0.009129151,0.745278797,0.010650676,0.001476774,1,0,0,0,0,0,0,0,3.08423E-06,0
Pabay_16_9_21_1,Pabay,NE,1,16_9_2021,16,9,2021,2,23875,24721,16711.5,0,0,0,0,0,0,0,0,0,16711.5,178,310,76,764,78,2,16425,1681,2,4359,0.182575916,0.012984293,0.003183246,0.007455497,0.032,0.003267016,8.38E-05,0.687958115,0.070408377,8.38E-05,1,0,0,0,0,0,0,0,0,0
Pabay_16_9_21_2,Pabay,NW,2,16_9_2021,16,9,2021,2,19499,23566,12941.5,0,0,0,0,0,0.115906193,0,0.583394506,0,12941.5,221,221,0,509,19,2,13819,611,21,4076,0.209036361,0.011333915,0,0.011333915,0.026103903,0.000974409,0.000102569,0.70870301,0.03133494,0.001076978,1,0,0,0,0,0,8.95616E-06,0,4.50794E-05,0
Pabay_16_9_21_3,Pabay,Mid,3,16_9_2021,16,9,2021,2,16679,24490,6499,0,0,0,0,0,0,0,0,0,6499,2,25,0,153,4,51,11688,127,34,4595,0.275496133,0.001498891,0,0.000119911,0.009173212,0.000239823,0.003057737,0.700761437,0.007614365,0.002038492,1,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_1,Pabay,NE,1,21_12_2021,21,12,2021,7,685,1617,598.5,0,0,0,0,0,0,0,0,0,598.5,0,2,0,2,0,34,611,34,0,2,0.002919708,0.002919708,0,0,0.002919708,0,0.049635036,0.891970803,0.049635036,0,1,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_2,Pabay,NW,2,21_12_2021,21,12,2021,7,766,3466,624,0,0,0,0,0,0,0,0,0.480769231,623.5192308,0,17,0,17,0,34,628,68,0,2,0.002610966,0.022193211,0,0,0.022193211,0,0.044386423,0.819843342,0.088772846,0,0.999229537,0,0,0,0,0,0,0,0,0.000770464
Pabay_21_12_21_3,Pabay,Mid,3,21_12_2021,21,12,2021,7,369,2079,7662.5,0,0,0,0,0,0,0,0.019575856,0,7662.5,0,2,0,17,0,34,306,10,0,0,0,0.005420054,0,0,0.046070461,0,0.092140921,0.829268293,0.027100271,0,1,0,0,0,0,0,0,0,2.55476E-06,0
Pabay_21_3_22_1,Pabay,NE,1,21_3_2022,21,3,2022,13,2659,1797448,1093,0,0,0,0,0,0,0,0,0.091491308,1092.908509,2,229,1451,331,2,51,407,51,2,133,0.050018804,0.086122602,0.54569387,0.000752162,0.124482888,0.000752162,0.019180143,0.153065062,0.019180143,0.000752162,0.999916294,0,0,0,0,0,0,0,0,8.37066E-05
Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,13,6065,1409772,2658,0,0,0,0,0,2.445447705,0,0,3.686982694,2654.313017,2,688,3259,611,0,25,942,229,0,309,0.050948063,0.113437758,0.537345425,0.000329761,0.100741962,0,0.004122012,0.155317395,0.037757626,0,0.998612873,0,0,0,0,0,0.000920033,0,0,0.001387127
Pabay_21_3_22_3,Pabay,Mid,3,21_3_2022,21,3,2022,13,5050,1739690,2908.5,0,0,0,0,0,0,0,0,4.813477738,2903.686522,28,331,2878,611,2,76,662,51,2,409,0.080990099,0.065544554,0.56990099,0.005544554,0.120990099,0.00039604,0.015049505,0.131089109,0.01009901,0.00039604,0.998345031,0,0,0,0,0,0,0,0,0.001654969
Pabay_22_5_22_1,Pabay,NE,1,22_5_2022,22,5,2022,16,18066,,5717,0,0,0,0,0,0,0,0,0,5717,266,36,514,900,51,0,15907,204,2,186,0.010295583,0.001992693,0.028451234,0.014723791,0.049817336,0.002822982,0,0.880493745,0.01129193,0.000110705,1,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,16,16045,,46114.5,0,0,0.043370307,0,0,0.309013434,0.172396968,0,0.86740613,46113.63259,87,51,85,390,68,0,15143,153,0,68,0.00423808,0.00317856,0.0052976,0.00542225,0.024306638,0.00423808,0,0.94378311,0.009535681,0,0.99998119,0,0,9.40492E-07,0,0,6.701E-06,3.73845E-06,0,1.88098E-05
Pabay_22_5_22_3,Pabay,Mid,3,22_5_2022,22,5,2022,16,21498,,3883.5,0,0,0,0,0,0,0,0,0.308999614,3883.191,102,81,143,224,185,0,20372,163,2,226,0.010512606,0.003767792,0.006651782,0.004744627,0.010419574,0.008605452,0,0.947623035,0.007582101,9.30E-05,0.999920433,0,0,0,0,0,0,0,0,7.95673E-05
Pabay_25_2_22_1,Pabay,NE,1,25_2_2022,25,2,2022,10,689,13631,7907,0,0,0,0,0,0,0,0.145440749,0.031617554,7906.968382,0,2,2,51,0,17,594,2,0,21,0.030478955,0.002902758,0.002902758,0,0.074020319,0,0.02467344,0.862119013,0.002902758,0,0.999996001,0,0,0,0,0,0,0,1.83939E-05,3.99868E-06
Pabay_25_2_22_2,Pabay,NW,2,25_2_2022,25,2,2022,10,993,17328,12847.5,0,0,0,0,0,0.416423429,0,0,0.023350846,12847.47665,2,68,2,102,0,2,713,102,0,2,0.002014099,0.068479355,0.002014099,0.002014099,0.102719033,0,0.002014099,0.718026183,0.102719033,0,0.999998183,0,0,0,0,0,3.24128E-05,0,0,1.81754E-06
Pabay_25_2_22_3,Pabay,Mid,3,25_2_2022,25,2,2022,10,855,8548,6863.5,0,0,0,0,0,0,0,0,0.087418955,6863.412581,2,17,2,85,0,17,679,34,0,19,0.022222222,0.019883041,0.002339181,0.002339181,0.099415205,0,0.019883041,0.794152047,0.039766082,0,0.999987263,0,0,0,0,0,0,0,0,1.27368E-05
Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,5,519,1155,10058.75,0.109357525,0,0.042251771,0,0.201317261,0.5790978,0.069591152,0.037280974,0.884801789,10057.8652,0,2,0,51,0,2,424,2,2,36,0.069364162,0.003853565,0,0,0.098265896,0,0.003853565,0.816955684,0.003853565,0.003853565,0.999912037,1.08719E-05,0,4.2005E-06,0,2.00141E-05,5.75715E-05,6.91847E-06,3.70632E-06,8.79634E-05
Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,5,678,3697,4580,0,0,0.18558952,0,0.884279476,0.895196507,0.305676856,0,0.742358079,4579.257642,0,27,9,43,0,27,509,2,1,60,0.088495575,0.039823009,0.013274336,0,0.063421829,0,0.039823009,0.750737463,0.002949853,0.001474926,0.999837913,0,0,4.05217E-05,0,0.000193074,0.000195458,6.67417E-05,0,0.000162087
Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,5,836,2541,15537.5,0.14159292,0,0,0,0,0.485921158,0,0.048270314,0.926790024,15536.57321,0,51,17,34,0,51,594,2,0,87,0.104066986,0.061004785,0.020334928,0,0.040669856,0,0.061004785,0.710526316,0.002392344,0,0.999940351,9.11298E-06,0,0,0,0,3.12741E-05,0,3.1067E-06,5.96486E-05
Pabay_30_1_22_1,Pabay,NE,1,30_1_2022,30,1,2022,9,206,,,,,,,,,,,,,0,51,0,17,0,17,102,2,0,17,,,,,,,,,,*,,,,,,,,,,
Pabay_30_1_22_2,Pabay,NW,2,30_1_2022,30,1,2022,9,825,,,,,,,,,,,,,0,85,0,85,0,2,577,68,0,8,,,,,,,,,,,,,,,,,,,,
Pabay_30_1_22_3,Pabay,Mid,3,30_1_2022,30,1,2022,9,380,,,,,,,,,,,,,0,2,0,85,0,2,255,17,0,19,,,,,,,,,,,,,,,,,,,,
Pabay_30_10_21_1,Pabay,NE,1,30_10_2021,30,10,2021,3,5131,4621,491,0,0,0,0,2.138492872,0,0,0,0,491,0,68,0,51,17,68,4787,17,2,121,0.023582148,0.013252777,0,0,0.009939583,0.003313194,0.013252777,0.932956539,0.003313194,0.000389788,1,0,0,0,0,0.004355383,0,0,0,0
Pabay_30_10_21_2,Pabay,NW,2,30_10_2021,30,10,2021,3,3618,7855,1226.5,0,0,0,0,0,0,0,0,0,1226.5,0,85,0,119,0,34,3158,85,0,137,0.037866224,0.023493643,0,0,0.0328911,0,0.009397457,0.872857933,0.023493643,0,1,0,0,0,0,0,0,0,0,0
Pabay_30_10_21_3,Pabay,Mid,3,30_10_2021,30,10,2021,3,3096,3234,11803.5,0,0,0.033888253,0,0,0.097428729,0.173677299,0,0.012708095,11803.48729,2,34,0,85,34,2,2818,2,17,102,0.032945736,0.010981912,0,0.000645995,0.02745478,0.010981912,0.000645995,0.910206718,0.000645995,0.005490956,0.999998923,0,0,2.87103E-06,0,0,8.25422E-06,1.47141E-05,0,1.07664E-06
Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,17,11797,,60441.5,0,0,0.251482839,0.057907233,0,0.05625274,0.013235939,0.053771002,1.501451817,60439.99855,18,33,0,271,271,16,10221,51,306,610,0.051708061,0.002797321,0,0.001525812,0.022971942,0.022971942,0.001356277,0.866406714,0.004323133,0.025938798,0.999975159,0,0,4.16076E-06,9.58071E-07,0,9.30697E-07,2.18988E-07,8.89637E-07,2.48414E-05
Pabay_30_6_22_2,Pabay,NW,2,30_6_2022,30,6,2022,17,19190,,1495,0,0,0,0,0,0,0,0,1.672240803,1493.327759,37,491,0,1359,187,35,15161,136,458,1326,0.069098489,0.025586243,0,0.001928088,0.070818134,0.009744659,0.001823867,0.790046899,0.007087024,0.023866597,0.998881444,0,0,0,0,0,0,0,0,0.001118556
Pabay_30_6_22_3,Pabay,Mid,3,30_6_2022,30,6,2022,17,14882,,21309,0,0,0,0,0,0,0,0,0,21309,22,187,51,544,67,86,12360,204,324,1037,0.069681494,0.012565515,0.003426959,0.001478296,0.036554227,0.004502083,0.005778793,0.83053353,0.013707835,0.021771267,1,0,0,0,0,0,0,0,0,0
Pabay_30_7_22_1,Pabay,NE,1,30_7_2022,30,7,2022,19,6160,,11825.5,0,0,0,0,0,0,0,0,0,11825.5,4,169,16,271,424,35,4482,67,33,659,0.106980519,0.027435065,0.002597403,0.000649351,0.043993506,0.068831169,0.005681818,0.727597403,0.010876623,0.005357143,1,0,0,0,0,0,0,0,0,0
Pabay_30_7_22_2,Pabay,NW,2,30_7_2022,30,7,2022,19,11883,,22251,0,0,0,0,0,0,0,0,0,22251,35,306,0,850,287,0,9371,391,81,562,0.047294454,0.025751073,0,0.002945384,0.071530758,0.02415215,0,0.788605571,0.032904149,0.00681646,1,0,0,0,0,0,0,0,0,0
Pabay_30_7_22_3,Pabay,Mid,3,30_7_2022,30,7,2022,19,5119,,39995,0,0,0,0.246280785,0,0,0,0,0.220027503,39994.77997,57,31,0,570,108,0,3911,108,90,244,0.04766556,0.00605587,0,0.011134987,0.111349873,0.021097871,0,0.764016409,0.021097871,0.017581559,0.999994499,0,0,0,6.15779E-06,0,0,0,0,5.50138E-06
Pabay_7_5_22_1,Pabay,NE,1,7_5_2022,7,5,2022,15,13623,,16931.5,0,0,0,0,0,0.076779966,0.23624605,0,0.676254319,16930.82375,85,68,51,611,5636,0,5178,2,55,1937,0.142186009,0.004991558,0.003743669,0.006239448,0.04485062,0.413712105,0,0.380092491,0.000146811,0.00403729,0.99996006,0,0,0,0,0,4.53474E-06,1.3953E-05,0,3.99406E-05
Pabay_7_5_22_2,Pabay,NW,2,7_5_2022,7,5,2022,15,15613,,9577.5,0,0,0.292351866,0,0,0,0,0,0.125293657,9577.374706,102,61,61,530,4237,0,8617,102,26,1877,0.120220329,0.003907001,0.003907001,0.006533017,0.033946071,0.271376417,0,0.551911868,0.006533017,0.001665279,0.999986918,0,0,3.05249E-05,0,0,0,0,0,1.30821E-05
Pabay_7_5_22_3,Pabay,Mid,3,7_5_2022,7,5,2022,15,7591,,12495,0,0,0,0,0,0,0,0,0,12495,458,51,34,0,2156,0,4380,34,17,461,0.060729812,0.006718482,0.004478988,0.060334607,0,0.284020551,0,0.576999078,0.004478988,0.002239494,1,0,0,0,0,0,0,0,0,0
Pabay_8_2_22_1,Pabay,NE,1,8_2_2022,8,2,2022,11,155,,8453,0,0,0,0,0,0.136046374,0,0.053235538,25.77783036,8427.22217,0,34,0,2,0,0,85,34,0,0,0,0.219354839,0,0,0.012903226,0,0,0.548387097,0.219354839,0,0.996950452,0,0,0,0,0,1.60944E-05,0,6.29783E-06,0.003049548
Pabay_8_2_22_2,Pabay,NW,2,8_2_2022,8,2,2022,11,849,5083,3594.5,0,0,0,0,0,0.111281124,0,0.180831826,14.07706218,3580.422938,0,136,34,136,0,17,492,34,0,0,0,0.160188457,0.040047114,0,0.160188457,0,0.020023557,0.5795053,0.040047114,0,0.996083722,0,0,0,0,0,3.09587E-05,0,5.03079E-05,0.003916278
Pabay_8_2_22_3,Pabay,Mid,3,8_2_2022,8,2,2022,11,719,8779,5686,0,0,0,0,0,0.114315864,0,0,25.03517411,5660.964826,2,34,2,85,0,0,509,68,0,19,0.026425591,0.0472879,0.002781641,0.002781641,0.11821975,0,0,0.707927677,0.0945758,0,0.99559705,0,0,0,0,0,2.01048E-05,0,0,0.00440295
Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,12,3181,56141,18127.5,0,1.677010068,0,0,0.612329334,1.177768584,0.44959316,0.179285616,3.847745139,18123.65225,2,221,2241,289,2,17,323,85,0,1,0.000314367,0.069475008,0.704495442,0.000628733,0.090851933,0.000628733,0.005344231,0.101540396,0.026721157,0,0.99978774,0,9.25119E-05,0,0,3.3779E-05,6.49714E-05,2.48017E-05,9.89026E-06,0.00021226
Pabay_8_3_22_2,Pabay,NW,2,8_3_2022,8,3,2022,12,5044,30034,12718,0.782355716,0.086491587,0,0,0,0,0,0,1.305236672,12716.69476,0,255,3616,204,2,34,781,136,0,16,0.003172086,0.050555115,0.716891356,0,0.040444092,0.000396511,0.006740682,0.154837431,0.026962728,0,0.999897371,6.15156E-05,6.80072E-06,0,0,0,0,0,0,0.000102629
Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,12,6510,72545,27323,0.382461662,11.88742085,0,0,0.018299601,0,1.71833254,0.104307726,1.553636131,27321.44636,2,87,5959,34,2,51,255,102,2,16,0.002457757,0.013364055,0.915360983,0.00030722,0.005222734,0.00030722,0.007834101,0.039170507,0.015668203,0.00030722,0.999943138,1.39978E-05,0.00043507,0,0,6.69751E-07,0,6.28896E-05,3.81758E-06,5.68618E-05
