Sample_code,Station_no,Site,Seaweed,Date,Day,Month,Year,Plankton_Gastropoda,OTU_Doto_coronata,OTU_Lacuna_vincta,OTU_Rissoa_guernei,OTU_Gastropoda_sp,saccharina_Total_Gastropoda,blade_area,alaria_Total_Gastropoda,,otu_total_gastropoda,lacuna_vincta,steromphala_cineraria,rissoa_guernei,mitrella_moleculina,burnupia_sp_ugsb_25228,limapontia_capitata,siphonaria_pectinata,assiminea_grayana,glyptophysa_sp_11_pga_2018,atlanta_ariejansseni,placida_dendritica,peringia_ulvae,stenophysa_marmorata,ercolania_sp_kh_2011,antarctoneptunea_aurora,therasia_thaisa,neritina_canalis,sconsia_sp_mnhn_im_2013_61442,bulinus_nasutus,megalovalvata_piligera
Pabay_15_6_21_3,3,Pabay,Alaria,15_6_2021,15,6,2021,255.5,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_6_21_3,3,Pabay,Saccharina,15_6_2021,15,6,2021,255.5,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_7_22_1,1,Pabay,Alaria,15_7_2022,15,7,2022,102,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_7_22_1,1,Pabay,Saccharina,15_7_2022,15,7,2022,102,0,0,0,0,0,718,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_15_7_22_2,2,Pabay,Alaria,15_7_2022,15,7,2022,67,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068263823,0,0,0,0,0
Pabay_15_7_22_2,2,Pabay,Saccharina,15_7_2022,15,7,2022,67,0,0,0,0,0,633,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068263823,0,0,0,0,0
Pabay_15_7_22_3,3,Pabay,Alaria,15_7_2022,15,7,2022,238,0,0,0,0.097781002,0,,0,,0.097781002,0,0,0,0,0,0,0.097781002,0,0,0,0,0,0,0,0,0,0,0,0.006308452,0
Pabay_15_7_22_3,3,Pabay,Saccharina,15_7_2022,15,7,2022,238,0,0,0,0.097781002,0,394,0,,0.097781002,0,0,0,0,0,0,0.097781002,0,0,0,0,0,0,0,0,0,0,0,0.006308452,0
Pabay_16_9_21_1,1,Pabay,Alaria,16_9_2021,16,9,2021,1681,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_16_9_21_1,1,Pabay,Saccharina,16_9_2021,16,9,2021,1681,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_16_9_21_2,2,Pabay,Alaria,16_9_2021,16,9,2021,611,0,0,0,0.583394506,NA,,NA,,0.583394506,0,0.583394506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_16_9_21_2,2,Pabay,Saccharina,16_9_2021,16,9,2021,611,0,0,0,0.583394506,NA,,NA,,0.583394506,0,0.583394506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_16_9_21_3,3,Pabay,Alaria,16_9_2021,16,9,2021,127,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_16_9_21_3,3,Pabay,Saccharina,16_9_2021,16,9,2021,127,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_1,1,Pabay,Alaria,21_12_2021,21,12,2021,34,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_1,1,Pabay,Saccharina,21_12_2021,21,12,2021,34,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_2,2,Pabay,Alaria,21_12_2021,21,12,2021,68,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_2,2,Pabay,Saccharina,21_12_2021,21,12,2021,68,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_12_21_3,3,Pabay,Alaria,21_12_2021,21,12,2021,10,0,0,0,0.019575856,NA,,NA,,0.019575856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019575856,0,0,0,0,0,0
Pabay_21_12_21_3,3,Pabay,Saccharina,21_12_2021,21,12,2021,10,0,0,0,0.019575856,NA,,NA,,0.019575856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019575856,0,0,0,0,0,0
Pabay_21_3_22_1,1,Pabay,Alaria,21_3_2022,21,3,2022,51,0,0,0,0,0,10.25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_1,1,Pabay,Saccharina,21_3_2022,21,3,2022,51,0,0,0,0,1,2.33,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_2,2,Pabay,Alaria,21_3_2022,21,3,2022,229,0,0,0,0,0,9.3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_2,2,Pabay,Saccharina,21_3_2022,21,3,2022,229,0,0,0,0,2,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_3,3,Pabay,Alaria,21_3_2022,21,3,2022,51,0,0,0,0,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_21_3_22_3,3,Pabay,Saccharina,21_3_2022,21,3,2022,51,0,0,0,0,1,3.85,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_1,1,Pabay,Alaria,22_5_2022,22,5,2022,204,0,0,0,0,0,4226,56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_1,1,Pabay,Saccharina,22_5_2022,22,5,2022,204,0,0,0,0,60,1600,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_2,2,Pabay,Alaria,22_5_2022,22,5,2022,153,0,0,0,0,0,3528,103,,0,0,0,0,0,0,0,0,0.053128625,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_2,2,Pabay,Saccharina,22_5_2022,22,5,2022,153,0,0,0,0,65,540,0,,0,0,0,0,0,0,0,0,0.053128625,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_3,3,Pabay,Alaria,22_5_2022,22,5,2022,163,0,0,0,0,0,1794,73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_22_5_22_3,3,Pabay,Saccharina,22_5_2022,22,5,2022,163,0,0,0,0,82,2303,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_1,1,Pabay,Alaria,25_2_2022,25,2,2022,2,0,0,0,0.145440749,0,12.35294118,0,,0.145440749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145440749,0,0,0,0,0,0
Pabay_25_2_22_1,1,Pabay,Saccharina,25_2_2022,25,2,2022,2,0,0,0,0.145440749,0,54.75,0,,0.145440749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145440749,0,0,0,0,0,0
Pabay_25_2_22_2,2,Pabay,Alaria,25_2_2022,25,2,2022,102,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_2,2,Pabay,Saccharina,25_2_2022,25,2,2022,102,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_3,3,Pabay,Alaria,25_2_2022,25,2,2022,34,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_25_2_22_3,3,Pabay,Saccharina,25_2_2022,25,2,2022,34,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_29_11_21_1,1,Pabay,Alaria,29_11_2021,29,11,2021,2,0,0,0,0.037280974,NA,,NA,,0.037280974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_29_11_21_1,1,Pabay,Saccharina,29_11_2021,29,11,2021,2,0,0,0,0.037280974,NA,,NA,,0.037280974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_29_11_21_2,2,Pabay,Alaria,29_11_2021,29,11,2021,2,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_29_11_21_2,2,Pabay,Saccharina,29_11_2021,29,11,2021,2,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_29_11_21_3,3,Pabay,Alaria,29_11_2021,29,11,2021,2,0,0,0,0.048270314,NA,,NA,,0.048270314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_29_11_21_3,3,Pabay,Saccharina,29_11_2021,29,11,2021,2,0,0,0,0.048270314,NA,,NA,,0.048270314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_1_22_1,1,Pabay,Alaria,30_1_2022,30,1,2022,2,,,,0,0,120,1,,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Pabay_30_1_22_1,1,Pabay,Saccharina,30_1_2022,30,1,2022,2,,,,,1,60.5,0,,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Pabay_30_1_22_2,2,Pabay,Alaria,30_1_2022,30,1,2022,68,,,,0,0,,0,,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Pabay_30_1_22_2,2,Pabay,Saccharina,30_1_2022,30,1,2022,68,,,,,0,,0,,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Pabay_30_1_22_3,3,Pabay,Alaria,30_1_2022,30,1,2022,17,,,,0,0,,0,,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Pabay_30_1_22_3,3,Pabay,Saccharina,30_1_2022,30,1,2022,17,,,,,0,,0,,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
Pabay_30_10_21_1,1,Pabay,Alaria,30_10_2021,30,10,2021,17,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_10_21_1,1,Pabay,Saccharina,30_10_2021,30,10,2021,17,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_10_21_2,2,Pabay,Alaria,30_10_2021,30,10,2021,85,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_10_21_2,2,Pabay,Saccharina,30_10_2021,30,10,2021,85,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_10_21_3,3,Pabay,Alaria,30_10_2021,30,10,2021,2,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_10_21_3,3,Pabay,Saccharina,30_10_2021,30,10,2021,2,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_6_22_1,1,Pabay,Alaria,30_6_2022,30,6,2022,51,0,0,0.011581447,0.042189555,0,,0,,0.053771002,0,0,0.011581447,0.014890431,0,0,0,0,0,0.032262601,0.027299124,0,0,0,0,0,0,0,0,0
Pabay_30_6_22_1,1,Pabay,Saccharina,30_6_2022,30,6,2022,51,0,0,0.011581447,0.042189555,24,955,0,,0.053771002,0,0,0.011581447,0.014890431,0,0,0,0,0,0.032262601,0.027299124,0,0,0,0,0,0,0,0,0
Pabay_30_6_22_2,2,Pabay,Alaria,30_6_2022,30,6,2022,136,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_6_22_2,2,Pabay,Saccharina,30_6_2022,30,6,2022,136,0,0,0,0,2,480,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_6_22_3,3,Pabay,Alaria,30_6_2022,30,6,2022,204,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_6_22_3,3,Pabay,Saccharina,30_6_2022,30,6,2022,204,0,0,0,0,11,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_7_22_1,1,Pabay,Alaria,30_7_2022,30,7,2022,67,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_7_22_1,1,Pabay,Saccharina,30_7_2022,30,7,2022,67,0,0,0,0,336,1763,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_7_22_2,2,Pabay,Alaria,30_7_2022,30,7,2022,391,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_7_22_2,2,Pabay,Saccharina,30_7_2022,30,7,2022,391,0,0,0,0,32,748,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_7_22_3,3,Pabay,Alaria,30_7_2022,30,7,2022,108,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_30_7_22_3,3,Pabay,Saccharina,30_7_2022,30,7,2022,108,0,0,0,0,5,964,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_7_5_22_1,1,Pabay,Alaria,7_5_2022,7,5,2022,2,0,0,0,0,0,1354,12,,0,0,0,0,0,0.212621445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_7_5_22_1,1,Pabay,Saccharina,7_5_2022,7,5,2022,2,0,0,0,0,3,3170,0,,0,0,0,0,0,0.212621445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_7_5_22_2,2,Pabay,Alaria,7_5_2022,7,5,2022,102,0,0,0,0,0,429.3333333,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_7_5_22_2,2,Pabay,Saccharina,7_5_2022,7,5,2022,102,0,0,0,0,24,1606,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_7_5_22_3,3,Pabay,Alaria,7_5_2022,7,5,2022,34,0,0,0,0,0,1800,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_7_5_22_3,3,Pabay,Saccharina,7_5_2022,7,5,2022,34,0,0,0,0,29,1866,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_2_22_1,1,Pabay,Alaria,8_2_2022,8,2,2022,34,0,0,0,0.053235538,0,,0,,0.053235538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053235538,0,0,0
Pabay_8_2_22_1,1,Pabay,Saccharina,8_2_2022,8,2,2022,34,0,0,0,0.053235538,0,56,0,,0.053235538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053235538,0,0,0
Pabay_8_2_22_2,2,Pabay,Alaria,8_2_2022,8,2,2022,34,0,0,0,0.180831826,0,,0,,0.180831826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180831826,0,0,0,0
Pabay_8_2_22_2,2,Pabay,Saccharina,8_2_2022,8,2,2022,34,0,0,0,0.180831826,0,0,0,,0.180831826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180831826,0,0,0,0
Pabay_8_2_22_3,3,Pabay,Alaria,8_2_2022,8,2,2022,68,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_2_22_3,3,Pabay,Saccharina,8_2_2022,8,2,2022,68,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_1,1,Pabay,Alaria,8_3_2022,8,3,2022,85,0.099296649,0.179285616,0,-0.099296649,0,14.995,0,,0.179285616,0.179285615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_1,1,Pabay,Saccharina,8_3_2022,8,3,2022,85,0.099296649,0.179285616,0,-0.099296649,4,3.592,,,0.179285616,0.179285615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_2,2,Pabay,Alaria,8_3_2022,8,3,2022,136,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_2,2,Pabay,Saccharina,8_3_2022,8,3,2022,136,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_3,3,Pabay,Alaria,8_3_2022,8,3,2022,102,0,0,0,0.104307726,0,,0,,0.104307726,0,0,0,0.029279362,0,0,0,0,0.075028364,0,0,0,0,0,0,0,0,0,0,0
Pabay_8_3_22_3,3,Pabay,Saccharina,8_3_2022,8,3,2022,102,0,0,0,0.104307726,0,0,0,,0.104307726,0,0,0,0.029279362,0,0,0,0,0.075028364,0,0,0,0,0,0,0,0,0,0,0
Scalpay_15_6_21_1,1,Scalpay,Alaria,15_6_2021,15,6,2021,127,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_15_6_21_1,1,Scalpay,Saccharina,15_6_2021,15,6,2021,127,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_15_6_21_2,2,Scalpay,Alaria,15_6_2021,15,6,2021,25,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_15_6_21_2,2,Scalpay,Saccharina,15_6_2021,15,6,2021,25,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_15_6_21_3,3,Scalpay,Alaria,15_6_2021,15,6,2021,51,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_15_6_21_3,3,Scalpay,Saccharina,15_6_2021,15,6,2021,51,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_15_6_21_4,4,Scalpay,Alaria,15_6_2021,15,6,2021,51,0,0.003266135,0,0.001525301,NA,,NA,,0.004791436,0.003266135,0,0,0.001525301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_15_6_21_4,4,Scalpay,Saccharina,15_6_2021,15,6,2021,51,0,0.003266135,0,0.001525301,NA,,NA,,0.004791436,0.003266135,0,0,0.001525301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_15_6_21_5,5,Scalpay,Alaria,15_6_2021,15,6,2021,178,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_15_6_21_5,5,Scalpay,Saccharina,15_6_2021,15,6,2021,178,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_21_12_21_1,1,Scalpay,Alaria,21_12_2021,21,12,2021,34,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_21_12_21_1,1,Scalpay,Saccharina,21_12_2021,21,12,2021,34,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scalpay_21_12_21_2,2,Scalpay,Alaria,21_12_2021,21,12,2021,17,0,0,0,0,NA,,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
