Sample_code,Station_no,Site,Seaweed,Date,Day,Month,Year,plankton_bryozoa_larvae,OTU_Membranipora_membranacea,OTU_Electra_pilosa,OTU_Celleporella_hyalina,Saccharina_percent_blade_bryozoans,Alaria_percent_blade_bryozoans,total_area
Pabay_16_9_21_2,2,Pabay,Saccharina,16_9_2021,16,9,2021,2,0,0,0,,, 
Pabay_16_9_21_3,3,Pabay,Alaria,16_9_2021,16,9,2021,51,0,0,0,,, 
Pabay_16_9_21_3,3,Pabay,Saccharina,16_9_2021,16,9,2021,51,0,0,0,,, 
Pabay_21_12_21_1,1,Pabay,Alaria,21_12_2021,21,12,2021,34,0,0,0,,, 
Pabay_21_12_21_1,1,Pabay,Saccharina,21_12_2021,21,12,2021,34,0,0,0,,, 
Pabay_21_12_21_2,2,Pabay,Alaria,21_12_2021,21,12,2021,34,0,0,0,,, 
Pabay_21_12_21_2,2,Pabay,Saccharina,21_12_2021,21,12,2021,34,0,0,0,,, 
Pabay_21_12_21_3,3,Pabay,Alaria,21_12_2021,21,12,2021,34,0,0,0,,, 
Pabay_21_12_21_3,3,Pabay,Saccharina,21_12_2021,21,12,2021,34,0,0,0,,, 
Pabay_21_3_22_1,1,Pabay,Alaria,21_3_2022,21,3,2022,51,0,0,0,0,0,41
Pabay_21_3_22_1,1,Pabay,Saccharina,21_3_2022,21,3,2022,51,0,0,0,0,,2.33
Pabay_21_3_22_2,2,Pabay,Alaria,21_3_2022,21,3,2022,25,0,0,0,0,0,9.3
Pabay_21_3_22_2,2,Pabay,Saccharina,21_3_2022,21,3,2022,25,0,0,0,0,,48
Pabay_21_3_22_3,3,Pabay,Alaria,21_3_2022,21,3,2022,76,0,0,0,0,0,10
Pabay_21_3_22_3,3,Pabay,Saccharina,21_3_2022,21,3,2022,76,0,0,0,0,,19.25
Pabay_22_5_22_1,1,Pabay,Alaria,22_5_2022,22,5,2022,0,0,0,0,0,0,1826
Pabay_22_5_22_1,1,Pabay,Saccharina,22_5_2022,22,5,2022,0,0,0,0,0,,1120
Pabay_22_5_22_2,2,Pabay,Alaria,22_5_2022,22,5,2022,0,0,0,0,0,0,1200
Pabay_22_5_22_2,2,Pabay,Saccharina,22_5_2022,22,5,2022,0,0,0,0,0,,462
Pabay_22_5_22_3,3,Pabay,Alaria,22_5_2022,22,5,2022,0,0,0,0,0,0,796
Pabay_22_5_22_3,3,Pabay,Saccharina,22_5_2022,22,5,2022,0,0,0,0,0,,1002
Pabay_25_2_22_1,1,Pabay,Alaria,25_2_2022,25,2,2022,17,0,0,0,0,0,210
Pabay_25_2_22_1,1,Pabay,Saccharina,25_2_2022,25,2,2022,17,0,0,0,0,,109.5
Pabay_25_2_22_2,2,Pabay,Alaria,25_2_2022,25,2,2022,2,0,0,0,0,0,210
Pabay_25_2_22_2,2,Pabay,Saccharina,25_2_2022,25,2,2022,2,0,0,0,0,,109.5
Pabay_25_2_22_3,3,Pabay,Alaria,25_2_2022,25,2,2022,17,0,0,0,0,0,210
Pabay_25_2_22_3,3,Pabay,Saccharina,25_2_2022,25,2,2022,17,0,0,0,0,,109.5
Pabay_29_11_21_1,1,Pabay,Alaria,29_11_2021,29,11,2021,2,0,0.544302224,0,,, 
Pabay_29_11_21_1,1,Pabay,Saccharina,29_11_2021,29,11,2021,2,0,0.544302224,0,,, 
Pabay_29_11_21_2,2,Pabay,Alaria,29_11_2021,29,11,2021,27,0,0.982532751,0,,, 
Pabay_29_11_21_2,2,Pabay,Saccharina,29_11_2021,29,11,2021,27,0,0.982532751,0,,, 
Pabay_29_11_21_3,3,Pabay,Alaria,29_11_2021,29,11,2021,51,0,0.415124698,0,,, 
Pabay_29_11_21_3,3,Pabay,Saccharina,29_11_2021,29,11,2021,51,0,0.415124698,0,,, 
Pabay_30_1_22_1,1,Pabay,Alaria,30_1_2022,30,1,2022,17, , , ,0,0,120
Pabay_30_1_22_1,1,Pabay,Saccharina,30_1_2022,30,1,2022,17, , , ,0,,60.5
Pabay_30_1_22_2,2,Pabay,Alaria,30_1_2022,30,1,2022,2, , , ,0,0,120
Pabay_30_1_22_2,2,Pabay,Saccharina,30_1_2022,30,1,2022,2, , , ,0,,60.5
Pabay_30_1_22_3,3,Pabay,Alaria,30_1_2022,30,1,2022,2, , , ,0,0,120
Pabay_30_1_22_3,3,Pabay,Saccharina,30_1_2022,30,1,2022,2, , , ,0,,60.5
Pabay_30_10_21_1,1,Pabay,Alaria,30_10_2021,30,10,2021,68,0,2.138492872,0,,, 
Pabay_30_10_21_1,1,Pabay,Saccharina,30_10_2021,30,10,2021,68,0,2.138492872,0,,, 
Pabay_30_10_21_2,2,Pabay,Alaria,30_10_2021,30,10,2021,34,0,0,0,,, 
Pabay_30_10_21_2,2,Pabay,Saccharina,30_10_2021,30,10,2021,34,0,0,0,,, 
Pabay_30_10_21_3,3,Pabay,Alaria,30_10_2021,30,10,2021,2,0,0,0,,, 
Pabay_30_10_21_3,3,Pabay,Saccharina,30_10_2021,30,10,2021,2,0,0,0,,, 
Pabay_30_6_22_1,1,Pabay,Alaria,30_6_2022,30,6,2022,16,0,0,0,,, 
Pabay_30_6_22_1,1,Pabay,Saccharina,30_6_2022,30,6,2022,16,0,0,0,0,,399
Pabay_30_6_22_2,2,Pabay,Alaria,30_6_2022,30,6,2022,35,0,0,0,,, 
Pabay_30_6_22_2,2,Pabay,Saccharina,30_6_2022,30,6,2022,35,0,0,0,0,,480
Pabay_30_6_22_3,3,Pabay,Alaria,30_6_2022,30,6,2022,86,0,0,0,,, 
Pabay_30_6_22_3,3,Pabay,Saccharina,30_6_2022,30,6,2022,86,0,0,0,0,,344
Pabay_30_7_22_1,1,Pabay,Alaria,30_7_2022,30,7,2022,35,0,0,0,,, 
Pabay_30_7_22_1,1,Pabay,Saccharina,30_7_2022,30,7,2022,35,0,0,0,55.20703347,,575
Pabay_30_7_22_2,2,Pabay,Alaria,30_7_2022,30,7,2022,0,0,0,0,,, 
Pabay_30_7_22_2,2,Pabay,Saccharina,30_7_2022,30,7,2022,0,0,0,0,61.38368984,,280
Pabay_30_7_22_3,3,Pabay,Alaria,30_7_2022,30,7,2022,0,0,0,0,,, 
Pabay_30_7_22_3,3,Pabay,Saccharina,30_7_2022,30,7,2022,0,0,0,0,91.63900415,,403
Pabay_7_5_22_1,1,Pabay,Alaria,7_5_2022,7,5,2022,0,0,0,0,0,0,544
Pabay_7_5_22_1,1,Pabay,Saccharina,7_5_2022,7,5,2022,0,0,0,0,0,,1256
Pabay_7_5_22_2,2,Pabay,Alaria,7_5_2022,7,5,2022,0,0,0,0,0,0,1288
Pabay_7_5_22_2,2,Pabay,Saccharina,7_5_2022,7,5,2022,0,0,0,0,0,,812
Pabay_7_5_22_3,3,Pabay,Alaria,7_5_2022,7,5,2022,0,0,0,0,0,0,1800
Pabay_7_5_22_3,3,Pabay,Saccharina,7_5_2022,7,5,2022,0,0,0,0,0,,920
Pabay_8_2_22_1,1,Pabay,Alaria,8_2_2022,8,2,2022,0,0,0,0,,, 
Pabay_8_2_22_1,1,Pabay,Saccharina,8_2_2022,8,2,2022,0,0,0,0,0,,98
Pabay_8_2_22_2,2,Pabay,Alaria,8_2_2022,8,2,2022,17,0,0,0,,, 
Pabay_8_2_22_2,2,Pabay,Saccharina,8_2_2022,8,2,2022,17,0,0,0,0,,98
Pabay_8_2_22_3,3,Pabay,Alaria,8_2_2022,8,2,2022,0,0,0,0,,, 
Pabay_8_2_22_3,3,Pabay,Saccharina,8_2_2022,8,2,2022,0,0,0,0,0,,98
Pabay_8_3_22_1,1,Pabay,Alaria,8_3_2022,8,3,2022,17,0,0,0.877120397,0,0,149.95
Pabay_8_3_22_1,1,Pabay,Saccharina,8_3_2022,8,3,2022,17,0,0,0.877120397,0,,17.96
Pabay_8_3_22_2,2,Pabay,Alaria,8_3_2022,8,3,2022,34,0,0,0,0,0,149.95
Pabay_8_3_22_2,2,Pabay,Saccharina,8_3_2022,8,3,2022,34,0,0,0,0,,17.96
Pabay_8_3_22_3,3,Pabay,Alaria,8_3_2022,8,3,2022,51,0,0,0.018299601,0,0,149.95
Pabay_8_3_22_3,3,Pabay,Saccharina,8_3_2022,8,3,2022,51,0,0,0.018299601,0,,17.96
Scalpay_15_6_21_1,1,Scalpay,Alaria,15_6_2021,15,6,2021,0,0,0,0,,, 
Scalpay_15_6_21_1,1,Scalpay,Saccharina,15_6_2021,15,6,2021,0,0,0,0,,, 
Scalpay_15_6_21_2,2,Scalpay,Alaria,15_6_2021,15,6,2021,25,0,0,0,,, 
Scalpay_15_6_21_2,2,Scalpay,Saccharina,15_6_2021,15,6,2021,25,0,0,0,,, 
Scalpay_15_6_21_3,3,Scalpay,Alaria,15_6_2021,15,6,2021,0,0,0,0,,, 
Scalpay_15_6_21_3,3,Scalpay,Saccharina,15_6_2021,15,6,2021,0,0,0,0,,, 
Scalpay_15_6_21_4,4,Scalpay,Alaria,15_6_2021,15,6,2021,0,0,0,0,,, 
Scalpay_15_6_21_4,4,Scalpay,Saccharina,15_6_2021,15,6,2021,0,0,0,0,,, 
Scalpay_15_6_21_5,5,Scalpay,Alaria,15_6_2021,15,6,2021,0,0,0,0,,, 
Scalpay_15_6_21_5,5,Scalpay,Saccharina,15_6_2021,15,6,2021,0,0,0,0,,, 
Scalpay_21_12_21_1,1,Scalpay,Alaria,21_12_2021,21,12,2021,68,0,0,0,,, 
Scalpay_21_12_21_1,1,Scalpay,Saccharina,21_12_2021,21,12,2021,68,0,0,0,,, 
Scalpay_21_12_21_2,2,Scalpay,Alaria,21_12_2021,21,12,2021,17,0,0,0,,, 
Scalpay_21_12_21_2,2,Scalpay,Saccharina,21_12_2021,21,12,2021,17,0,0,0,,, 
Scalpay_21_12_21_3,3,Scalpay,Alaria,21_12_2021,21,12,2021,51,0,0,0,,, 
Scalpay_21_12_21_3,3,Scalpay,Saccharina,21_12_2021,21,12,2021,51,0,0,0,,, 
