,sample_code,station_no,site,seaweed,date,day,month,year,otu_id,abundance
15187,Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
16257,Pabay_15_7_22_1,1,Pabay,Alaria,15/07/2022,15,7,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
17327,Pabay_15_7_22_2,2,Pabay,Alaria,15/07/2022,15,7,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
18397,Pabay_15_7_22_3,3,Pabay,Alaria,15/07/2022,15,7,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
19467,Pabay_16_9_21_1,1,Pabay,Alaria,16/09/2021,16,9,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
20537,Pabay_16_9_21_2,2,Pabay,Alaria,16/09/2021,16,9,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
21607,Pabay_16_9_21_3,3,Pabay,Alaria,16/09/2021,16,9,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
22677,Pabay_21_12_21_1,1,Pabay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
23747,Pabay_21_12_21_2,2,Pabay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
24817,Pabay_21_12_21_3,3,Pabay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
25887,Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
26957,Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
28027,Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
29097,Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
30167,Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
31237,Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
32307,Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
33377,Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
34447,Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
35517,Pabay_29_11_21_1,1,Pabay,Alaria,29/11/2021,29,11,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
36587,Pabay_29_11_21_2,2,Pabay,Alaria,29/11/2021,29,11,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
37657,Pabay_29_11_21_3,3,Pabay,Alaria,29/11/2021,29,11,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
38727,Pabay_30_1_22_1,1,Pabay,Alaria,30/01/2022,30,1,2022,aequorea_sp_usnm_iz_1448486,NA
,,,,,,,,,,
39797,Pabay_30_1_22_2,2,Pabay,Alaria,30/01/2022,30,1,2022,aequorea_sp_usnm_iz_1448486,NA
,,,,,,,,,,
40867,Pabay_30_1_22_3,3,Pabay,Alaria,30/01/2022,30,1,2022,aequorea_sp_usnm_iz_1448486,NA
,,,,,,,,,,
41937,Pabay_30_10_21_1,1,Pabay,Alaria,30/10/2021,30,10,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
43007,Pabay_30_10_21_2,2,Pabay,Alaria,30/10/2021,30,10,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
44077,Pabay_30_10_21_3,3,Pabay,Alaria,30/10/2021,30,10,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
45147,Pabay_30_6_22_1,1,Pabay,Alaria,30/06/2022,30,6,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
46217,Pabay_30_6_22_2,2,Pabay,Alaria,30/06/2022,30,6,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
47287,Pabay_30_6_22_3,3,Pabay,Alaria,30/06/2022,30,6,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
48357,Pabay_30_7_22_1,1,Pabay,Alaria,30/07/2022,30,7,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
49427,Pabay_30_7_22_2,2,Pabay,Alaria,30/07/2022,30,7,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
50497,Pabay_30_7_22_3,3,Pabay,Alaria,30/07/2022,30,7,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
51567,Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
52637,Pabay_7_5_22_2,2,Pabay,Alaria,07/05/2022,7,5,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
53707,Pabay_7_5_22_3,3,Pabay,Alaria,07/05/2022,7,5,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
54777,Pabay_8_2_22_1,1,Pabay,Alaria,08/02/2022,8,2,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
55847,Pabay_8_2_22_2,2,Pabay,Alaria,08/02/2022,8,2,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
56917,Pabay_8_2_22_3,3,Pabay,Alaria,08/02/2022,8,2,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
57987,Pabay_8_3_22_1,1,Pabay,Alaria,08/03/2022,8,3,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
59057,Pabay_8_3_22_2,2,Pabay,Alaria,08/03/2022,8,3,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
60127,Pabay_8_3_22_3,3,Pabay,Alaria,08/03/2022,8,3,2022,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
61197,Scalpay_15_6_21_1,1,Scalpay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
62267,Scalpay_15_6_21_2,2,Scalpay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
63337,Scalpay_15_6_21_3,3,Scalpay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
64407,Scalpay_15_6_21_4,4,Scalpay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
65477,Scalpay_15_6_21_5,5,Scalpay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
66547,Scalpay_21_12_21_1,1,Scalpay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
67617,Scalpay_21_12_21_2,2,Scalpay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
68687,Scalpay_21_12_21_3,3,Scalpay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
,,,,,,,,,,
212,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
1282,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
2352,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
3422,Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
4492,Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
5562,Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
6632,Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
7702,Pabay_13_11_21_2,2,Pabay,Alaria,13/11/2021,13,11,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
8772,Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
9842,Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
10912,Pabay_14_1_22_2,2,Pabay,Alaria,14/01/2022,14,1,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
11982,Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
13052,Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
14122,Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
15192,Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
16262,Pabay_15_7_22_1,1,Pabay,Alaria,15/07/2022,15,7,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
17332,Pabay_15_7_22_2,2,Pabay,Alaria,15/07/2022,15,7,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
18402,Pabay_15_7_22_3,3,Pabay,Alaria,15/07/2022,15,7,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
19472,Pabay_16_9_21_1,1,Pabay,Alaria,16/09/2021,16,9,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
20542,Pabay_16_9_21_2,2,Pabay,Alaria,16/09/2021,16,9,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
21612,Pabay_16_9_21_3,3,Pabay,Alaria,16/09/2021,16,9,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
22682,Pabay_21_12_21_1,1,Pabay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
23752,Pabay_21_12_21_2,2,Pabay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
24822,Pabay_21_12_21_3,3,Pabay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
25892,Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
26962,Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
28032,Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
29102,Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
30172,Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
31242,Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
32312,Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
33382,Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
34452,Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
35522,Pabay_29_11_21_1,1,Pabay,Alaria,29/11/2021,29,11,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
36592,Pabay_29_11_21_2,2,Pabay,Alaria,29/11/2021,29,11,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
37662,Pabay_29_11_21_3,3,Pabay,Alaria,29/11/2021,29,11,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
38732,Pabay_30_1_22_1,1,Pabay,Alaria,30/01/2022,30,1,2022,aglaophenia_pluma_220,NA
,,,,,,,,,,
39802,Pabay_30_1_22_2,2,Pabay,Alaria,30/01/2022,30,1,2022,aglaophenia_pluma_220,NA
,,,,,,,,,,
40872,Pabay_30_1_22_3,3,Pabay,Alaria,30/01/2022,30,1,2022,aglaophenia_pluma_220,NA
,,,,,,,,,,
41942,Pabay_30_10_21_1,1,Pabay,Alaria,30/10/2021,30,10,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
43012,Pabay_30_10_21_2,2,Pabay,Alaria,30/10/2021,30,10,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
44082,Pabay_30_10_21_3,3,Pabay,Alaria,30/10/2021,30,10,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
45152,Pabay_30_6_22_1,1,Pabay,Alaria,30/06/2022,30,6,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
46222,Pabay_30_6_22_2,2,Pabay,Alaria,30/06/2022,30,6,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
47292,Pabay_30_6_22_3,3,Pabay,Alaria,30/06/2022,30,6,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
48362,Pabay_30_7_22_1,1,Pabay,Alaria,30/07/2022,30,7,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
49432,Pabay_30_7_22_2,2,Pabay,Alaria,30/07/2022,30,7,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
50502,Pabay_30_7_22_3,3,Pabay,Alaria,30/07/2022,30,7,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
51572,Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
52642,Pabay_7_5_22_2,2,Pabay,Alaria,07/05/2022,7,5,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
53712,Pabay_7_5_22_3,3,Pabay,Alaria,07/05/2022,7,5,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
54782,Pabay_8_2_22_1,1,Pabay,Alaria,08/02/2022,8,2,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
55852,Pabay_8_2_22_2,2,Pabay,Alaria,08/02/2022,8,2,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
56922,Pabay_8_2_22_3,3,Pabay,Alaria,08/02/2022,8,2,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
57992,Pabay_8_3_22_1,1,Pabay,Alaria,08/03/2022,8,3,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
59062,Pabay_8_3_22_2,2,Pabay,Alaria,08/03/2022,8,3,2022,aglaophenia_pluma_220,0.904230225
,,,,,,,,,,
60132,Pabay_8_3_22_3,3,Pabay,Alaria,08/03/2022,8,3,2022,aglaophenia_pluma_220,0
,,,,,,,,,,
61202,Scalpay_15_6_21_1,1,Scalpay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
62272,Scalpay_15_6_21_2,2,Scalpay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
63342,Scalpay_15_6_21_3,3,Scalpay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
64412,Scalpay_15_6_21_4,4,Scalpay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
65482,Scalpay_15_6_21_5,5,Scalpay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
66552,Scalpay_21_12_21_1,1,Scalpay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
67622,Scalpay_21_12_21_2,2,Scalpay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
68692,Scalpay_21_12_21_3,3,Scalpay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
,,,,,,,,,,
249,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
1319,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
2389,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
3459,Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
4529,Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
5599,Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
6669,Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
7739,Pabay_13_11_21_2,2,Pabay,Alaria,13/11/2021,13,11,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
8809,Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
9879,Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
10949,Pabay_14_1_22_2,2,Pabay,Alaria,14/01/2022,14,1,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
12019,Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
13089,Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
14159,Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
15229,Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
16299,Pabay_15_7_22_1,1,Pabay,Alaria,15/07/2022,15,7,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
17369,Pabay_15_7_22_2,2,Pabay,Alaria,15/07/2022,15,7,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
18439,Pabay_15_7_22_3,3,Pabay,Alaria,15/07/2022,15,7,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
19509,Pabay_16_9_21_1,1,Pabay,Alaria,16/09/2021,16,9,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
20579,Pabay_16_9_21_2,2,Pabay,Alaria,16/09/2021,16,9,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
21649,Pabay_16_9_21_3,3,Pabay,Alaria,16/09/2021,16,9,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
22719,Pabay_21_12_21_1,1,Pabay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
23789,Pabay_21_12_21_2,2,Pabay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
24859,Pabay_21_12_21_3,3,Pabay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
25929,Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
26999,Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
28069,Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
29139,Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
30209,Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
31279,Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
32349,Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
33419,Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
34489,Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
35559,Pabay_29_11_21_1,1,Pabay,Alaria,29/11/2021,29,11,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
36629,Pabay_29_11_21_2,2,Pabay,Alaria,29/11/2021,29,11,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
37699,Pabay_29_11_21_3,3,Pabay,Alaria,29/11/2021,29,11,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
38769,Pabay_30_1_22_1,1,Pabay,Alaria,30/01/2022,30,1,2022,aglaophenia_pluma_257,NA
,,,,,,,,,,
39839,Pabay_30_1_22_2,2,Pabay,Alaria,30/01/2022,30,1,2022,aglaophenia_pluma_257,NA
,,,,,,,,,,
40909,Pabay_30_1_22_3,3,Pabay,Alaria,30/01/2022,30,1,2022,aglaophenia_pluma_257,NA
,,,,,,,,,,
41979,Pabay_30_10_21_1,1,Pabay,Alaria,30/10/2021,30,10,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
43049,Pabay_30_10_21_2,2,Pabay,Alaria,30/10/2021,30,10,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
44119,Pabay_30_10_21_3,3,Pabay,Alaria,30/10/2021,30,10,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
45189,Pabay_30_6_22_1,1,Pabay,Alaria,30/06/2022,30,6,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
46259,Pabay_30_6_22_2,2,Pabay,Alaria,30/06/2022,30,6,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
47329,Pabay_30_6_22_3,3,Pabay,Alaria,30/06/2022,30,6,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
48399,Pabay_30_7_22_1,1,Pabay,Alaria,30/07/2022,30,7,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
49469,Pabay_30_7_22_2,2,Pabay,Alaria,30/07/2022,30,7,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
50539,Pabay_30_7_22_3,3,Pabay,Alaria,30/07/2022,30,7,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
51609,Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
52679,Pabay_7_5_22_2,2,Pabay,Alaria,07/05/2022,7,5,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
53749,Pabay_7_5_22_3,3,Pabay,Alaria,07/05/2022,7,5,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
54819,Pabay_8_2_22_1,1,Pabay,Alaria,08/02/2022,8,2,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
55889,Pabay_8_2_22_2,2,Pabay,Alaria,08/02/2022,8,2,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
56959,Pabay_8_2_22_3,3,Pabay,Alaria,08/02/2022,8,2,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
58029,Pabay_8_3_22_1,1,Pabay,Alaria,08/03/2022,8,3,2022,aglaophenia_pluma_257,0.055164805
,,,,,,,,,,
59099,Pabay_8_3_22_2,2,Pabay,Alaria,08/03/2022,8,3,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
60169,Pabay_8_3_22_3,3,Pabay,Alaria,08/03/2022,8,3,2022,aglaophenia_pluma_257,0
,,,,,,,,,,
61239,Scalpay_15_6_21_1,1,Scalpay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
62309,Scalpay_15_6_21_2,2,Scalpay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
63379,Scalpay_15_6_21_3,3,Scalpay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
64449,Scalpay_15_6_21_4,4,Scalpay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
65519,Scalpay_15_6_21_5,5,Scalpay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
66589,Scalpay_21_12_21_1,1,Scalpay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
67659,Scalpay_21_12_21_2,2,Scalpay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
68729,Scalpay_21_12_21_3,3,Scalpay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_257,0
,,,,,,,,,,
209,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_tubulifera_217,0
,,,,,,,,,,
1279,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_tubulifera_217,0
,,,,,,,,,,
2349,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_tubulifera_217,0
,,,,,,,,,,
