otu_aglaophenia_pluma,aglaophenia_tubulifera,apolemia_sp,bougainvillia_muscus,clytia_sp_1_sl_2013,clytia_sp_2_afc_2016,coryne_pintneri,dynamena_pumila,ectopleura_larynx,eutima_mira,forskalia_tholoides,garveia_annulata,halecium_sp_bmoo_08734,laodicea_sp_haw02,mitrocomella_brownei,obelia_bidentata,obelia_dichotoma,obelia_sp_3_sl_2013,obelia_sp_mzusp_3356,orthopyxis_crenata,pennaria_disticha,rhizorhagium_arenosum,sarsia_tubulosa,siphonophorae_sp_nhm_339,tiaropsis_multicirrata,Saccharina_percent_blade_Hydrozoans,Alaria_percent_blade_Hydrozoans
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0.022842666,0,0,0,0.025957575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046723635,0,NA,NA
0,0,0.022842666,0,0,0,0.025957575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046723635,0,NA,NA
0,0.041405724,0,0,0,0.703897313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.041405724,0,0,0,0.703897313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.076898949,0,0,0,3.82142297,0,0,0,0,0,0,0,0,0,0.073187307,0,0,0,0,0,0,0,0,0,0,0
0,1.076898949,0,0,0,3.82142297,0,0,0,0,0,0,0,0,0,0.073187307,0,0,0,0,0,0,0,0,0,0,0
0,0.535760728,0,0,0,2.208062419,0,0,0,0,0,0,0,0,0,0.036410923,0,0,0,0,0,0,0,0,0,0,0
0,0.535760728,0,0,0,2.208062419,0,0,0,0,0,0,0,0,0,0.036410923,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05349349,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05349349,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0.006789143,0,0,0,0,0,0.473882168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0.006789143,0,0,0,0,0,0.473882168,0,0,0,0,0,0,0,0,0,0,0,0,0,27.02506964,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185287521,0,0,0,0,0,0,0,0,0.221044762,0,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185287521,0,0,0,0,0,0,0,0,0.221044762,0,36.01895735,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.10659898,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0.480769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0.480769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.878103837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.878103837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.29626124
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4125,0
0,0,0.224441336,0,0.013011092,0.309013434,0,0,0,0,0,0,0,0,0,0,0.165891422,0,0,0,0.123605374,0,0.026022184,0,0,,9.761904762
0,0,0.224441336,0,0.013011092,0.309013434,0,0,0,0,0,0,0,0,0,0,0.165891422,0,0,0,0.123605374,0,0.026022184,0,0,0,0
0,0,0,0,0,0.308999614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.871794872
0,0,0,0,0,0.308999614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023350846,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023350846,0,0,0
0,0,0,0,0,0.029139652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.029139652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.044737169,0,0.357897353,0.007456195,0.044737169,0,0,0,0,0,0,0,0.193861066,0,0,0,0.121784516,0,0,0,0.089474338,0,NA,NA
0,0,0,0.044737169,0,0.357897353,0.007456195,0.044737169,0,0,0,0,0,0,0,0.193861066,0,0,0,0.121784516,0,0,0,0.089474338,0,NA,NA
0,0,0,0,0,0.458515284,0,0.19650655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0.458515284,0,0.19650655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0.057924377,0,0.328238134,0.009654063,0,0,0,0,0,0,0,0,0.251005632,0,0,0,0.157683025,0,0,0,0.115848753,0,NA,NA
0,0,0,0.057924377,0,0.328238134,0.009654063,0,0,0,0,0,0,0,0,0.251005632,0,0,0,0.157683025,0,0,0,0.115848753,0,NA,NA
NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0
NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0
NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0
NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0
NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0
NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012708095,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012708095,NA,NA
0,0,0,0,0.004136231,1.484079647,0,0,0,0,0,0,0,0,0,0,0.013235939,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0.004136231,1.484079647,0,0,0,0,0,0,0,0,0,0,0.013235939,0,0,0,0,0,0,0,0,37.88481675,NA
0,0,0,0,0,0,0,0,0,0,0.568561873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0.568561873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.319342031,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.743315508,NA
0,0.051256407,0,0,0,0.048756095,0,0,0,0,0,0.118764846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0.051256407,0,0,0,0.048756095,0,0,0,0,0,0.118764846,0,0,0,0,0,0,0,0,0,0,0,0,0,2.982365145,NA
0,0,0,0,0,0.410477512,0,0,0,0,0,0,0,0,0,0,0.067920739,0,0,0,0,0,0,0,0,,0.598227474
0,0,0,0,0,0.410477512,0,0,0,0,0,0,0,0,0,0,0.067920739,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.125293657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.125293657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.704856787,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.12540193,0
0,0.047320478,0,0,0,25.7127647,0,0,0,0,0,0,0,0,0,0.017745179,0,0,0,0,0,0,0,0,0,0,0
0,0.047320478,0,0,0,25.7127647,0,0,0,0,0,0,0,0,0,0.017745179,0,0,0,0,0,0,0,0,0,0,0
0,0.250382529,0,0,0,13.71539853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.250382529,0,0,0,13.71539853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,25.03517411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,25.03517411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.055164805,0,0,1.572196938,0,1.24672459,0,0,0.204109778,0.057923045,0,0,0.102054889,0,0,0.4523514,0,0,0.11308785,0,0,0.044131844,0,0,0,0,0
0.055164805,0,0,1.572196938,0,1.24672459,0,0,0.204109778,0.057923045,0,0,0.102054889,0,0,0.4523514,0,0,0.11308785,0,0,0.044131844,0,0,0,0,0
0.904230225,0,0,0,0,0.098285894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.904230225,0,0,0,0,0.098285894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.110785785,0.018299601,0.248874575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040259122,0,0,0,0
0,0,0,1.110785785,0.018299601,0.248874575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040259122,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0.001525301,0,0.000547119,0.001243452,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0.001525301,0,0.000547119,0.001243452,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0.966390148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0.966390148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA

