,sample_code,station_no,site,seaweed,date,day,month,year,parsed_date,species_id,measurement_value,measurement_type,measurement_origin,y_axis,station,sample_order
54,Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2022-04-10_3
241,Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-03-21_1
242,Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-03-21_1
243,Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2022-03-21_1
244,Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2022-03-21_1
245,Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2022-03-21_1
251,Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2022-03-21_2
252,Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2022-03-21_2
253,Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2022-03-21_2
254,Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2022-03-21_2
255,Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2022-03-21_2
261,Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2022-03-21_3
262,Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2022-03-21_3
263,Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2022-03-21_3
264,Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2022-03-21_3
265,Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,21/03/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2022-03-21_3
271,Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-05-22_1
272,Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-05-22_1
273,Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2022-05-22_1
274,Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2022-05-22_1
275,Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2022-05-22_1
281,Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2022-05-22_2
283,Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2022-05-22_2
284,Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2022-05-22_2
291,Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2022-05-22_3
293,Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2022-05-22_3
294,Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2022-05-22_3
301,Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-02-25_1
302,Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-02-25_1
303,Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2022-02-25_1
304,Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2022-02-25_1
305,Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2022-02-25_1
311,Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2022-02-25_2
312,Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2022-02-25_2
313,Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2022-02-25_2
314,Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2022-02-25_2
315,Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2022-02-25_2
321,Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2022-02-25_3
322,Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2022-02-25_3
323,Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2022-02-25_3
324,Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2022-02-25_3
325,Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,25/02/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2022-02-25_3
361,Pabay_30_1_22_1,1,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-01-30_1
362,Pabay_30_1_22_1,1,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-01-30_1
363,Pabay_30_1_22_1,1,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2022-01-30_1
364,Pabay_30_1_22_1,1,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2022-01-30_1
365,Pabay_30_1_22_1,1,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2022-01-30_1
371,Pabay_30_1_22_2,2,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2022-01-30_2
372,Pabay_30_1_22_2,2,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2022-01-30_2
373,Pabay_30_1_22_2,2,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2022-01-30_2
374,Pabay_30_1_22_2,2,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2022-01-30_2
375,Pabay_30_1_22_2,2,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2022-01-30_2
381,Pabay_30_1_22_3,3,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2022-01-30_3
382,Pabay_30_1_22_3,3,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2022-01-30_3
383,Pabay_30_1_22_3,3,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2022-01-30_3
384,Pabay_30_1_22_3,3,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2022-01-30_3
385,Pabay_30_1_22_3,3,Pabay,Saccharina,30/01/2022,30,1,2022,30/01/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2022-01-30_3
482,Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-05-07_1
483,Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2022-05-07_1
484,Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2022-05-07_1
491,Pabay_7_5_22_2,2,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2022-05-07_2
492,Pabay_7_5_22_2,2,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2022-05-07_2
493,Pabay_7_5_22_2,2,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2022-05-07_2
494,Pabay_7_5_22_2,2,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2022-05-07_2
495,Pabay_7_5_22_2,2,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2022-05-07_2
501,Pabay_7_5_22_3,3,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2022-05-07_3
502,Pabay_7_5_22_3,3,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2022-05-07_3
503,Pabay_7_5_22_3,3,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2022-05-07_3
504,Pabay_7_5_22_3,3,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2022-05-07_3
505,Pabay_7_5_22_3,3,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,bivalve_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2022-05-07_3
541,Pabay_8_3_22_1,1,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-03-08_1
542,Pabay_8_3_22_1,1,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-03-08_1
543,Pabay_8_3_22_1,1,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2022-03-08_1
544,Pabay_8_3_22_1,1,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2022-03-08_1
551,Pabay_8_3_22_2,2,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2022-03-08_2
552,Pabay_8_3_22_2,2,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2022-03-08_2
553,Pabay_8_3_22_2,2,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2022-03-08_2
554,Pabay_8_3_22_2,2,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2022-03-08_2
561,Pabay_8_3_22_3,3,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,mytilus_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2022-03-08_3
562,Pabay_8_3_22_3,3,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,ostrea_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2022-03-08_3
563,Pabay_8_3_22_3,3,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,pecten_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2022-03-08_3
564,Pabay_8_3_22_3,3,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,scallop_brown_ala_p_cm,0,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2022-03-08_3
295,Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,bivalve_ala_p_cm,0.000557414,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2022-05-22_3
285,Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,bivalve_ala_p_cm,0.000566893,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2022-05-22_2
481,Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,mytilus_ala_p_cm,0.000738552,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-05-07_1
485,Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,07/05/2022,bivalve_ala_p_cm,0.000738552,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2022-05-07_1
53,Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,pecten_ala_p_cm,0.001503759,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2022-04-10_3
55,Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,bivalve_ala_p_cm,0.001503759,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2022-04-10_3
41,Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,mytilus_ala_p_cm,0.002906977,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2022-04-10_2
35,Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,10/04/2022,bivalve_ala_p_cm,0.002941176,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2022-04-10_1
292,Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,ostrea_ala_p_cm,0.003344482,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2022-05-22_3
282,Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,22/05/2022,ostrea_ala_p_cm,0.004251701,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2022-05-22_2
545,Pabay_8_3_22_1,1,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,bivalve_ala_p_cm,0.133377793,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2022-03-08_1
555,Pabay_8_3_22_2,2,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,bivalve_ala_p_cm,0.133377793,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2022-03-08_2
565,Pabay_8_3_22_3,3,Pabay,Saccharina,08/03/2022,8,3,2022,08/03/2022,bivalve_ala_p_cm,0.133377793,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2022-03-08_3
1,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2021-12-10_1
2,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2021-12-10_1
3,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2021-12-10_1
4,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2021-12-10_1
5,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2021-12-10_1
6,Pabay_10_12_21_1,1,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2021-12-10_1
7,Pabay_10_12_21_1,1,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2021-12-10_1
8,Pabay_10_12_21_1,1,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2021-12-10_1
9,Pabay_10_12_21_1,1,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2021-12-10_1
10,Pabay_10_12_21_1,1,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2021-12-10_1
11,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2021-12-10_2
12,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2021-12-10_2
13,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2021-12-10_2
14,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2021-12-10_2
15,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2021-12-10_2
16,Pabay_10_12_21_2,2,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2021-12-10_2
