,sample_code,station_no,site,seaweed,date,day,month,year,species_id,measurement_value,parsed_date,sample_id,y_label
45,Pabay_7_5_22_3,3,Pabay,Saccharina,07/05/2022,7,5,2022,saccharina_percent_blade_hydrozoans,11.12540193,07/05/2022,Pabay_2022_05_07_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
46,Pabay_22_5_22_1,1,Pabay,Saccharina,22/05/2022,22,5,2022,saccharina_percent_blade_hydrozoans,22.4125,22/05/2022,Pabay_2022_05_22_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
47,Pabay_22_5_22_2,2,Pabay,Saccharina,22/05/2022,22,5,2022,saccharina_percent_blade_hydrozoans,0,22/05/2022,Pabay_2022_05_22_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
48,Pabay_22_5_22_3,3,Pabay,Saccharina,22/05/2022,22,5,2022,saccharina_percent_blade_hydrozoans,0,22/05/2022,Pabay_2022_05_22_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
49,Pabay_30_6_22_1,1,Pabay,Saccharina,30/06/2022,30,6,2022,saccharina_percent_blade_hydrozoans,37.88481675,30/06/2022,Pabay_2022_06_30_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
50,Pabay_30_6_22_2,2,Pabay,Saccharina,30/06/2022,30,6,2022,saccharina_percent_blade_hydrozoans,30,30/06/2022,Pabay_2022_06_30_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
51,Pabay_30_6_22_3,3,Pabay,Saccharina,30/06/2022,30,6,2022,saccharina_percent_blade_hydrozoans,0,30/06/2022,Pabay_2022_06_30_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
52,Pabay_15_7_22_1,1,Pabay,Saccharina,15/07/2022,15,7,2022,saccharina_percent_blade_hydrozoans,27.02506964,15/07/2022,Pabay_2022_07_15_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
53,Pabay_15_7_22_2,2,Pabay,Saccharina,15/07/2022,15,7,2022,saccharina_percent_blade_hydrozoans,36.01895735,15/07/2022,Pabay_2022_07_15_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
54,Pabay_15_7_22_3,3,Pabay,Saccharina,15/07/2022,15,7,2022,saccharina_percent_blade_hydrozoans,43.10659898,15/07/2022,Pabay_2022_07_15_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
55,Pabay_30_7_22_1,1,Pabay,Saccharina,30/07/2022,30,7,2022,saccharina_percent_blade_hydrozoans,4.319342031,30/07/2022,Pabay_2022_07_30_1_SAC,Hydrozoan Blade Coverage - Saccharina (%)
56,Pabay_30_7_22_2,2,Pabay,Saccharina,30/07/2022,30,7,2022,saccharina_percent_blade_hydrozoans,3.743315508,30/07/2022,Pabay_2022_07_30_2_SAC,Hydrozoan Blade Coverage - Saccharina (%)
57,Pabay_30_7_22_3,3,Pabay,Saccharina,30/07/2022,30,7,2022,saccharina_percent_blade_hydrozoans,2.982365145,30/07/2022,Pabay_2022_07_30_3_SAC,Hydrozoan Blade Coverage - Saccharina (%)
