Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,Plankton_Bivalvia,OTU_Mytilus_edulis,OTU_Musculus_sp,OTU_Dosinia_sp,OTU_Kurtiella_bidentata,OTU_Montacutona_sigalionidcola,for_standardizing,Total Bivalves ,Mytilus,Ostrea,Pecten,Scallop_Brown
Saccharina,Pabay_16_9_21_2,Pabay,NW,2,16_9_2021,16,9,2021,509,0,0,0,0,0,,,,,,
Alaria,Pabay_16_9_21_3,Pabay,Mid,3,16_9_2021,16,9,2021,153,0,0,0,0,0,,,,,,
Saccharina,Pabay_16_9_21_3,Pabay,Mid,3,16_9_2021,16,9,2021,153,0,0,0,0,0,,,,,,
Alaria,Pabay_21_12_21_1,Pabay,NE,1,21_12_2021,21,12,2021,2,0,0,0,0,0,,,,,,
Saccharina,Pabay_21_12_21_1,Pabay,NE,1,21_12_2021,21,12,2021,2,0,0,0,0,0,,,,,,
Alaria,Pabay_21_12_21_2,Pabay,NW,2,21_12_2021,21,12,2021,17,0,0,0,0,0,,,,,,
Saccharina,Pabay_21_12_21_2,Pabay,NW,2,21_12_2021,21,12,2021,17,0,0,0,0,0,,,,,,
Alaria,Pabay_21_12_21_3,Pabay,Mid,3,21_12_2021,21,12,2021,17,0,0,0,0,0,,,,,,
Saccharina,Pabay_21_12_21_3,Pabay,Mid,3,21_12_2021,21,12,2021,17,0,0,0,0,0,,,,,,
Alaria,Pabay_21_3_22_1,Pabay,NE,1,21_3_2022,21,3,2022,331,0,0,0,0,0,41,0,0,0,0,0
Saccharina,Pabay_21_3_22_1,Pabay,NE,1,21_3_2022,21,3,2022,331,0,0,0,0,0,2.33,0,0,0,0,0
Alaria,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,611,0,0,0,0,0,9.3,0,0,0,0,0
Saccharina,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,611,0,0,0,0,0,48,0,0,0,0,0
Alaria,Pabay_21_3_22_3,Pabay,Mid,3,21_3_2022,21,3,2022,611,0,0,0,0,0,10,0,0,0,0,0
Saccharina,Pabay_21_3_22_3,Pabay,Mid,3,21_3_2022,21,3,2022,611,0,0,0,0,0,19.25,0,0,0,0,0
Alaria,Pabay_22_5_22_1,Pabay,NE,1,22_5_2022,22,5,2022,900,0,0,0,0,0,4226,0,0,0,0,0
Saccharina,Pabay_22_5_22_1,Pabay,NE,1,22_5_2022,22,5,2022,900,0,0,0,0,0,1600,1,1,21,1,0
Alaria,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,390,0,0,0,0.043370307,0,3528,2,0,15,0,0
Saccharina,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,390,0,0,0,0.043370307,0,540,0,0,20,0,0
Alaria,Pabay_22_5_22_3,Pabay,Mid,3,22_5_2022,22,5,2022,224,0,0,0,0,0,1794,1,0,6,0,0
Saccharina,Pabay_22_5_22_3,Pabay,Mid,3,22_5_2022,22,5,2022,224,0,0,0,0,0,2303,0,0,8,0,0
Alaria,Pabay_25_2_22_1,Pabay,NE,1,25_2_2022,25,2,2022,51,0,0,0,0,0,210,0,0,0,0,0
Saccharina,Pabay_25_2_22_1,Pabay,NE,1,25_2_2022,25,2,2022,51,0,0,0,0,0,109.5,0,0,0,0,0
Alaria,Pabay_25_2_22_2,Pabay,NW,2,25_2_2022,25,2,2022,102,0,0,0,0,0,210,0,0,0,0,0
Saccharina,Pabay_25_2_22_2,Pabay,NW,2,25_2_2022,25,2,2022,102,0,0,0,0,0,109.5,0,0,0,0,0
Alaria,Pabay_25_2_22_3,Pabay,Mid,3,25_2_2022,25,2,2022,85,0,0,0,0,0,210,0,0,0,0,0
Saccharina,Pabay_25_2_22_3,Pabay,Mid,3,25_2_2022,25,2,2022,85,0,0,0,0,0,109.5,0,0,0,0,0
Alaria,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,51,0,0,0,0,0.042251771,,,,,,
Saccharina,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,51,0,0,0,0,0.042251771,,,,,,
Alaria,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,42.5,0,0,0,0,0.18558952,,,,,,
Saccharina,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,42.5,0,0,0,0,0.18558952,,,,,,
Alaria,Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,34,0,0,0,0,0,,,,,,
Saccharina,Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,34,0,0,0,0,0,,,,,,
Alaria,Pabay_30_1_22_1,Pabay,NE,1,30_1_2022,30,1,2022,17,,,,,,120,0,0,0,0,0
Saccharina,Pabay_30_1_22_1,Pabay,NE,1,30_1_2022,30,1,2022,17,,,,,,60.5,0,0,0,0,0
Alaria,Pabay_30_1_22_2,Pabay,NW,2,30_1_2022,30,1,2022,85,,,,,,120,0,0,0,0,0
Saccharina,Pabay_30_1_22_2,Pabay,NW,2,30_1_2022,30,1,2022,85,,,,,,60.5,0,0,0,0,0
Alaria,Pabay_30_1_22_3,Pabay,Mid,3,30_1_2022,30,1,2022,85,,,,,,120,0,0,0,0,0
Saccharina,Pabay_30_1_22_3,Pabay,Mid,3,30_1_2022,30,1,2022,85,,,,,,60.5,0,0,0,0,0
Alaria,Pabay_30_10_21_1,Pabay,NE,1,30_10_2021,30,10,2021,51,0,0,0,0,0,,,,,,
Saccharina,Pabay_30_10_21_1,Pabay,NE,1,30_10_2021,30,10,2021,51,0,0,0,0,0,,,,,,
Alaria,Pabay_30_10_21_2,Pabay,NW,2,30_10_2021,30,10,2021,119,0,0,0,0,0,,,,,,
Saccharina,Pabay_30_10_21_2,Pabay,NW,2,30_10_2021,30,10,2021,119,0,0,0,0,0,,,,,,
Alaria,Pabay_30_10_21_3,Pabay,Mid,3,30_10_2021,30,10,2021,85,0,0,0,0,0.033888253,,,,,,
Saccharina,Pabay_30_10_21_3,Pabay,Mid,3,30_10_2021,30,10,2021,85,0,0,0,0,0.033888253,,,,,,
Alaria,Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,271,0,0.003308985,0.248173854,0,0,,,,,,
Saccharina,Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,271,0,0.003308985,0.248173854,0,0,955,1,3,12,0,0
Alaria,Pabay_30_6_22_2,Pabay,NW,2,30_6_2022,30,6,2022,1359,0,0,0,0,0,,,,,,
Saccharina,Pabay_30_6_22_2,Pabay,NW,2,30_6_2022,30,6,2022,1359,0,0,0,0,0,480,0,0,0,0,0
Alaria,Pabay_30_6_22_3,Pabay,Mid,3,30_6_2022,30,6,2022,544,0,0,0,0,0,,,,,,
Saccharina,Pabay_30_6_22_3,Pabay,Mid,3,30_6_2022,30,6,2022,544,0,0,0,0,0,344,0,4,10,0,0
Alaria,Pabay_30_7_22_1,Pabay,NE,1,30_7_2022,30,7,2022,271,0,0,0,0,0,,,,,,
Saccharina,Pabay_30_7_22_1,Pabay,NE,1,30_7_2022,30,7,2022,271,0,0,0,0,0,575,5688,1600,0,572,336
Alaria,Pabay_30_7_22_2,Pabay,NW,2,30_7_2022,30,7,2022,850,0,0,0,0,0,,,,,,
Saccharina,Pabay_30_7_22_2,Pabay,NW,2,30_7_2022,30,7,2022,850,0,0,0,0,0,280,252,968,0,16,4
Alaria,Pabay_30_7_22_3,Pabay,Mid,3,30_7_2022,30,7,2022,570,0,0,0,0,0,,,,,,
Saccharina,Pabay_30_7_22_3,Pabay,Mid,3,30_7_2022,30,7,2022,570,0,0,0,0,0,403,11,21,0,0,1
Alaria,Pabay_7_5_22_1,Pabay,NE,1,7_5_2022,7,5,2022,611,0,0,0,0,0,1354,1,1,0,0,0
Saccharina,Pabay_7_5_22_1,Pabay,NE,1,7_5_2022,7,5,2022,611,0,0,0,0,0,1256,0,1,0,0,0
Alaria,Pabay_7_5_22_2,Pabay,NW,2,7_5_2022,7,5,2022,530,0,0,0,0.292351866,0,1288,0,0,0,0,0
Saccharina,Pabay_7_5_22_2,Pabay,NW,2,7_5_2022,7,5,2022,530,0,0,0,0.292351866,0,1606,0,0,0,0,0
Alaria,Pabay_7_5_22_3,Pabay,Mid,3,7_5_2022,7,5,2022,0,0,0,0,0,0,1800,0,0,0,0,0
Saccharina,Pabay_7_5_22_3,Pabay,Mid,3,7_5_2022,7,5,2022,0,0,0,0,0,0,1866,0,0,5,0,0
Alaria,Pabay_8_2_22_1,Pabay,NE,1,8_2_2022,8,2,2022,2,0,0,0,0,0,,,,,,
Saccharina,Pabay_8_2_22_1,Pabay,NE,1,8_2_2022,8,2,2022,2,0,0,0,0,0,98,0,0,0,0,0
Alaria,Pabay_8_2_22_2,Pabay,NW,2,8_2_2022,8,2,2022,136,0,0,0,0,0,,,,,,
Saccharina,Pabay_8_2_22_2,Pabay,NW,2,8_2_2022,8,2,2022,136,0,0,0,0,0,98,0,0,0,0,0
Alaria,Pabay_8_2_22_3,Pabay,Mid,3,8_2_2022,8,2,2022,85,0,0,0,0,0,,,,,,
Saccharina,Pabay_8_2_22_3,Pabay,Mid,3,8_2_2022,8,2,2022,85,0,0,0,0,0,98,0,0,0,0,0
Alaria,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,289,0,0,0,0,0,149.95,2,0,0,0,0
Saccharina,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,289,0,0,0,0,0,17.96,0,0,0,0,0
Alaria,Pabay_8_3_22_2,Pabay,NW,2,8_3_2022,8,3,2022,204,0,0,0,0,0,149.95,0,0,0,0,0
Saccharina,Pabay_8_3_22_2,Pabay,NW,2,8_3_2022,8,3,2022,204,0,0,0,0,0,17.96,0,0,0,0,0
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,34,0,0,0,0,0,149.95,0,0,0,0,0
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,34,0,0,0,0,0,17.96,0,0,0,0,0
Alaria,Scalpay_15_6_21_1,Scalpay,SW,1,15_6_2021,15,6,2021,1833,0,0,0,0,0,,,,,,
Saccharina,Scalpay_15_6_21_1,Scalpay,SW,1,15_6_2021,15,6,2021,1833,0,0,0,0,0,,,,,,
Alaria,Scalpay_15_6_21_2,Scalpay,U,2,15_6_2021,15,6,2021,1197,0,0,0,0,0,,,,,,
Saccharina,Scalpay_15_6_21_2,Scalpay,U,2,15_6_2021,15,6,2021,1197,0,0,0,0,0,,,,,,
Alaria,Scalpay_15_6_21_3,Scalpay,NW,3,15_6_2021,15,6,2021,662,0,0,0.013245472,0,0,,,,,,
Saccharina,Scalpay_15_6_21_3,Scalpay,NW,3,15_6_2021,15,6,2021,662,0,0,0.013245472,0,0,,,,,,
Alaria,Scalpay_15_6_21_4,Scalpay,4,4,15_6_2021,15,6,2021,1171,0,0.225064864,0,0,0,,,,,,
Saccharina,Scalpay_15_6_21_4,Scalpay,4,4,15_6_2021,15,6,2021,1171,0,0.225064864,0,0,0,,,,,,
Alaria,Scalpay_15_6_21_5,Scalpay,5,5,15_6_2021,15,6,2021,1248,0,0,0,0,0,,,,,,
Saccharina,Scalpay_15_6_21_5,Scalpay,5,5,15_6_2021,15,6,2021,1248,0,0,0,0,0,,,,,,
Alaria,Scalpay_21_12_21_1,Scalpay,SW,1,21_12_2021,21,12,2021,34,0,0,0,0,0,,,,,,
Saccharina,Scalpay_21_12_21_1,Scalpay,SW,1,21_12_2021,21,12,2021,34,0,0,0,0,0,,,,,,
Alaria,Scalpay_21_12_21_2,Scalpay,Mid,2,21_12_2021,21,12,2021,102,0,0,0,0,0,,,,,,
Saccharina,Scalpay_21_12_21_2,Scalpay,Mid,2,21_12_2021,21,12,2021,102,0,0,0,0,0,,,,,,
Alaria,Scalpay_21_12_21_3,Scalpay,NW,3,21_12_2021,21,12,2021,51,0,0,0,0,0,,,,,,
Saccharina,Scalpay_21_12_21_3,Scalpay,NW,3,21_12_2021,21,12,2021,51,0,0,0,0,0,,,,,,
