,sample_code,station_no,site,seaweed,date,day,month,year,otu_id,abundance
43007,Pabay_30_10_21_2,2,Pabay,Alaria,30/10/2021,30,10,2021,aequorea_sp_usnm_iz_1448486,0
43542,Pabay_30_10_21_2,2,Pabay,Saccharina,30/10/2021,30,10,2021,aequorea_sp_usnm_iz_1448486,0
44077,Pabay_30_10_21_3,3,Pabay,Alaria,30/10/2021,30,10,2021,aequorea_sp_usnm_iz_1448486,0
44612,Pabay_30_10_21_3,3,Pabay,Saccharina,30/10/2021,30,10,2021,aequorea_sp_usnm_iz_1448486,0
45147,Pabay_30_6_22_1,1,Pabay,Alaria,30/06/2022,30,6,2022,aequorea_sp_usnm_iz_1448486,0
45682,Pabay_30_6_22_1,1,Pabay,Saccharina,30/06/2022,30,6,2022,aequorea_sp_usnm_iz_1448486,0
46217,Pabay_30_6_22_2,2,Pabay,Alaria,30/06/2022,30,6,2022,aequorea_sp_usnm_iz_1448486,0
46752,Pabay_30_6_22_2,2,Pabay,Saccharina,30/06/2022,30,6,2022,aequorea_sp_usnm_iz_1448486,0
47287,Pabay_30_6_22_3,3,Pabay,Alaria,30/06/2022,30,6,2022,aequorea_sp_usnm_iz_1448486,0
47822,Pabay_30_6_22_3,3,Pabay,Saccharina,30/06/2022,30,6,2022,aequorea_sp_usnm_iz_1448486,0
48357,Pabay_30_7_22_1,1,Pabay,Alaria,30/07/2022,30,7,2022,aequorea_sp_usnm_iz_1448486,0
48892,Pabay_30_7_22_1,1,Pabay,Saccharina,30/07/2022,30,7,2022,aequorea_sp_usnm_iz_1448486,0
49427,Pabay_30_7_22_2,2,Pabay,Alaria,30/07/2022,30,7,2022,aequorea_sp_usnm_iz_1448486,0
49962,Pabay_30_7_22_2,2,Pabay,Saccharina,30/07/2022,30,7,2022,aequorea_sp_usnm_iz_1448486,0
50497,Pabay_30_7_22_3,3,Pabay,Alaria,30/07/2022,30,7,2022,aequorea_sp_usnm_iz_1448486,0
51032,Pabay_30_7_22_3,3,Pabay,Saccharina,30/07/2022,30,7,2022,aequorea_sp_usnm_iz_1448486,0
51567,Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,aequorea_sp_usnm_iz_1448486,0
52102,Pabay_7_5_22_1,1,Pabay,Saccharina,07/05/2022,7,5,2022,aequorea_sp_usnm_iz_1448486,0
52637,Pabay_7_5_22_2,2,Pabay,Alaria,07/05/2022,7,5,2022,aequorea_sp_usnm_iz_1448486,0
53172,Pabay_7_5_22_2,2,Pabay,Saccharina,07/05/2022,7,5,2022,aequorea_sp_usnm_iz_1448486,0
53707,Pabay_7_5_22_3,3,Pabay,Alaria,07/05/2022,7,5,2022,aequorea_sp_usnm_iz_1448486,0
54242,Pabay_7_5_22_3,3,Pabay,Saccharina,07/05/2022,7,5,2022,aequorea_sp_usnm_iz_1448486,0
54777,Pabay_8_2_22_1,1,Pabay,Alaria,08/02/2022,8,2,2022,aequorea_sp_usnm_iz_1448486,0
55312,Pabay_8_2_22_1,1,Pabay,Saccharina,08/02/2022,8,2,2022,aequorea_sp_usnm_iz_1448486,0
55847,Pabay_8_2_22_2,2,Pabay,Alaria,08/02/2022,8,2,2022,aequorea_sp_usnm_iz_1448486,0
56382,Pabay_8_2_22_2,2,Pabay,Saccharina,08/02/2022,8,2,2022,aequorea_sp_usnm_iz_1448486,0
56917,Pabay_8_2_22_3,3,Pabay,Alaria,08/02/2022,8,2,2022,aequorea_sp_usnm_iz_1448486,0
57452,Pabay_8_2_22_3,3,Pabay,Saccharina,08/02/2022,8,2,2022,aequorea_sp_usnm_iz_1448486,0
57987,Pabay_8_3_22_1,1,Pabay,Alaria,08/03/2022,8,3,2022,aequorea_sp_usnm_iz_1448486,0
58522,Pabay_8_3_22_1,1,Pabay,Saccharina,08/03/2022,8,3,2022,aequorea_sp_usnm_iz_1448486,0
59057,Pabay_8_3_22_2,2,Pabay,Alaria,08/03/2022,8,3,2022,aequorea_sp_usnm_iz_1448486,0
59592,Pabay_8_3_22_2,2,Pabay,Saccharina,08/03/2022,8,3,2022,aequorea_sp_usnm_iz_1448486,0
60127,Pabay_8_3_22_3,3,Pabay,Alaria,08/03/2022,8,3,2022,aequorea_sp_usnm_iz_1448486,0
60662,Pabay_8_3_22_3,3,Pabay,Saccharina,08/03/2022,8,3,2022,aequorea_sp_usnm_iz_1448486,0
61197,Scalpay_15_6_21_1,1,Scalpay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
61732,Scalpay_15_6_21_1,1,Scalpay,Saccharina,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
62267,Scalpay_15_6_21_2,2,Scalpay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
62802,Scalpay_15_6_21_2,2,Scalpay,Saccharina,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
63337,Scalpay_15_6_21_3,3,Scalpay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
63872,Scalpay_15_6_21_3,3,Scalpay,Saccharina,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
64407,Scalpay_15_6_21_4,4,Scalpay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
64942,Scalpay_15_6_21_4,4,Scalpay,Saccharina,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
65477,Scalpay_15_6_21_5,5,Scalpay,Alaria,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
66012,Scalpay_15_6_21_5,5,Scalpay,Saccharina,15/06/2021,15,6,2021,aequorea_sp_usnm_iz_1448486,0
66547,Scalpay_21_12_21_1,1,Scalpay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
67082,Scalpay_21_12_21_1,1,Scalpay,Saccharina,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
67617,Scalpay_21_12_21_2,2,Scalpay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
68152,Scalpay_21_12_21_2,2,Scalpay,Saccharina,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
68687,Scalpay_21_12_21_3,3,Scalpay,Alaria,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
69222,Scalpay_21_12_21_3,3,Scalpay,Saccharina,21/12/2021,21,12,2021,aequorea_sp_usnm_iz_1448486,0
212,Pabay_10_12_21_1,1,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_pluma_220,0
747,Pabay_10_12_21_1,1,Pabay,Saccharina,10/12/2021,10,12,2021,aglaophenia_pluma_220,0
1282,Pabay_10_12_21_2,2,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_pluma_220,0
1817,Pabay_10_12_21_2,2,Pabay,Saccharina,10/12/2021,10,12,2021,aglaophenia_pluma_220,0
2352,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,aglaophenia_pluma_220,0
2887,Pabay_10_12_21_3,3,Pabay,Saccharina,10/12/2021,10,12,2021,aglaophenia_pluma_220,0
3422,Pabay_10_4_22_1,1,Pabay,Alaria,10/04/2022,10,4,2022,aglaophenia_pluma_220,0
3957,Pabay_10_4_22_1,1,Pabay,Saccharina,10/04/2022,10,4,2022,aglaophenia_pluma_220,0
4492,Pabay_10_4_22_2,2,Pabay,Alaria,10/04/2022,10,4,2022,aglaophenia_pluma_220,0
5027,Pabay_10_4_22_2,2,Pabay,Saccharina,10/04/2022,10,4,2022,aglaophenia_pluma_220,0
5562,Pabay_10_4_22_3,3,Pabay,Alaria,10/04/2022,10,4,2022,aglaophenia_pluma_220,0
6097,Pabay_10_4_22_3,3,Pabay,Saccharina,10/04/2022,10,4,2022,aglaophenia_pluma_220,0
6632,Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,aglaophenia_pluma_220,0
7167,Pabay_13_11_21_1,1,Pabay,Saccharina,13/11/2021,13,11,2021,aglaophenia_pluma_220,0
7702,Pabay_13_11_21_2,2,Pabay,Alaria,13/11/2021,13,11,2021,aglaophenia_pluma_220,0
8237,Pabay_13_11_21_2,2,Pabay,Saccharina,13/11/2021,13,11,2021,aglaophenia_pluma_220,0
8772,Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,aglaophenia_pluma_220,0
9307,Pabay_13_11_21_3,3,Pabay,Saccharina,13/11/2021,13,11,2021,aglaophenia_pluma_220,0
9842,Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,aglaophenia_pluma_220,0
10377,Pabay_14_1_22_1,1,Pabay,Saccharina,14/01/2022,14,1,2022,aglaophenia_pluma_220,0
10912,Pabay_14_1_22_2,2,Pabay,Alaria,14/01/2022,14,1,2022,aglaophenia_pluma_220,0
11447,Pabay_14_1_22_2,2,Pabay,Saccharina,14/01/2022,14,1,2022,aglaophenia_pluma_220,0
11982,Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,aglaophenia_pluma_220,0
12517,Pabay_14_1_22_3,3,Pabay,Saccharina,14/01/2022,14,1,2022,aglaophenia_pluma_220,0
13052,Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
13587,Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
14122,Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
14657,Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
15192,Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
15727,Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,aglaophenia_pluma_220,0
16262,Pabay_15_7_22_1,1,Pabay,Alaria,15/07/2022,15,7,2022,aglaophenia_pluma_220,0
16797,Pabay_15_7_22_1,1,Pabay,Saccharina,15/07/2022,15,7,2022,aglaophenia_pluma_220,0
17332,Pabay_15_7_22_2,2,Pabay,Alaria,15/07/2022,15,7,2022,aglaophenia_pluma_220,0
17867,Pabay_15_7_22_2,2,Pabay,Saccharina,15/07/2022,15,7,2022,aglaophenia_pluma_220,0
18402,Pabay_15_7_22_3,3,Pabay,Alaria,15/07/2022,15,7,2022,aglaophenia_pluma_220,0
18937,Pabay_15_7_22_3,3,Pabay,Saccharina,15/07/2022,15,7,2022,aglaophenia_pluma_220,0
19472,Pabay_16_9_21_1,1,Pabay,Alaria,16/09/2021,16,9,2021,aglaophenia_pluma_220,0
20007,Pabay_16_9_21_1,1,Pabay,Saccharina,16/09/2021,16,9,2021,aglaophenia_pluma_220,0
20542,Pabay_16_9_21_2,2,Pabay,Alaria,16/09/2021,16,9,2021,aglaophenia_pluma_220,0
21077,Pabay_16_9_21_2,2,Pabay,Saccharina,16/09/2021,16,9,2021,aglaophenia_pluma_220,0
21612,Pabay_16_9_21_3,3,Pabay,Alaria,16/09/2021,16,9,2021,aglaophenia_pluma_220,0
22147,Pabay_16_9_21_3,3,Pabay,Saccharina,16/09/2021,16,9,2021,aglaophenia_pluma_220,0
22682,Pabay_21_12_21_1,1,Pabay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
23217,Pabay_21_12_21_1,1,Pabay,Saccharina,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
23752,Pabay_21_12_21_2,2,Pabay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
24287,Pabay_21_12_21_2,2,Pabay,Saccharina,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
24822,Pabay_21_12_21_3,3,Pabay,Alaria,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
25357,Pabay_21_12_21_3,3,Pabay,Saccharina,21/12/2021,21,12,2021,aglaophenia_pluma_220,0
25892,Pabay_21_3_22_1,1,Pabay,Alaria,21/03/2022,21,3,2022,aglaophenia_pluma_220,0
26427,Pabay_21_3_22_1,1,Pabay,Saccharina,21/03/2022,21,3,2022,aglaophenia_pluma_220,0
26962,Pabay_21_3_22_2,2,Pabay,Alaria,21/03/2022,21,3,2022,aglaophenia_pluma_220,0
27497,Pabay_21_3_22_2,2,Pabay,Saccharina,21/03/2022,21,3,2022,aglaophenia_pluma_220,0
28032,Pabay_21_3_22_3,3,Pabay,Alaria,21/03/2022,21,3,2022,aglaophenia_pluma_220,0
28567,Pabay_21_3_22_3,3,Pabay,Saccharina,21/03/2022,21,3,2022,aglaophenia_pluma_220,0
29102,Pabay_22_5_22_1,1,Pabay,Alaria,22/05/2022,22,5,2022,aglaophenia_pluma_220,0
29637,Pabay_22_5_22_1,1,Pabay,Saccharina,22/05/2022,22,5,2022,aglaophenia_pluma_220,0
30172,Pabay_22_5_22_2,2,Pabay,Alaria,22/05/2022,22,5,2022,aglaophenia_pluma_220,0
30707,Pabay_22_5_22_2,2,Pabay,Saccharina,22/05/2022,22,5,2022,aglaophenia_pluma_220,0
31242,Pabay_22_5_22_3,3,Pabay,Alaria,22/05/2022,22,5,2022,aglaophenia_pluma_220,0
31777,Pabay_22_5_22_3,3,Pabay,Saccharina,22/05/2022,22,5,2022,aglaophenia_pluma_220,0
32312,Pabay_25_2_22_1,1,Pabay,Alaria,25/02/2022,25,2,2022,aglaophenia_pluma_220,0
32847,Pabay_25_2_22_1,1,Pabay,Saccharina,25/02/2022,25,2,2022,aglaophenia_pluma_220,0
33382,Pabay_25_2_22_2,2,Pabay,Alaria,25/02/2022,25,2,2022,aglaophenia_pluma_220,0
33917,Pabay_25_2_22_2,2,Pabay,Saccharina,25/02/2022,25,2,2022,aglaophenia_pluma_220,0
34452,Pabay_25_2_22_3,3,Pabay,Alaria,25/02/2022,25,2,2022,aglaophenia_pluma_220,0
34987,Pabay_25_2_22_3,3,Pabay,Saccharina,25/02/2022,25,2,2022,aglaophenia_pluma_220,0
35522,Pabay_29_11_21_1,1,Pabay,Alaria,29/11/2021,29,11,2021,aglaophenia_pluma_220,0
36057,Pabay_29_11_21_1,1,Pabay,Saccharina,29/11/2021,29,11,2021,aglaophenia_pluma_220,0
36592,Pabay_29_11_21_2,2,Pabay,Alaria,29/11/2021,29,11,2021,aglaophenia_pluma_220,0
37127,Pabay_29_11_21_2,2,Pabay,Saccharina,29/11/2021,29,11,2021,aglaophenia_pluma_220,0
37662,Pabay_29_11_21_3,3,Pabay,Alaria,29/11/2021,29,11,2021,aglaophenia_pluma_220,0
38197,Pabay_29_11_21_3,3,Pabay,Saccharina,29/11/2021,29,11,2021,aglaophenia_pluma_220,0
38732,Pabay_30_1_22_1,1,Pabay,Alaria,30/01/2022,30,1,2022,aglaophenia_pluma_220,NA
39267,Pabay_30_1_22_1,1,Pabay,Saccharina,30/01/2022,30,1,2022,aglaophenia_pluma_220,NA
39802,Pabay_30_1_22_2,2,Pabay,Alaria,30/01/2022,30,1,2022,aglaophenia_pluma_220,NA
40337,Pabay_30_1_22_2,2,Pabay,Saccharina,30/01/2022,30,1,2022,aglaophenia_pluma_220,NA
40872,Pabay_30_1_22_3,3,Pabay,Alaria,30/01/2022,30,1,2022,aglaophenia_pluma_220,NA
41407,Pabay_30_1_22_3,3,Pabay,Saccharina,30/01/2022,30,1,2022,aglaophenia_pluma_220,NA
41942,Pabay_30_10_21_1,1,Pabay,Alaria,30/10/2021,30,10,2021,aglaophenia_pluma_220,0
42477,Pabay_30_10_21_1,1,Pabay,Saccharina,30/10/2021,30,10,2021,aglaophenia_pluma_220,0
43012,Pabay_30_10_21_2,2,Pabay,Alaria,30/10/2021,30,10,2021,aglaophenia_pluma_220,0
43547,Pabay_30_10_21_2,2,Pabay,Saccharina,30/10/2021,30,10,2021,aglaophenia_pluma_220,0
44082,Pabay_30_10_21_3,3,Pabay,Alaria,30/10/2021,30,10,2021,aglaophenia_pluma_220,0
44617,Pabay_30_10_21_3,3,Pabay,Saccharina,30/10/2021,30,10,2021,aglaophenia_pluma_220,0
45152,Pabay_30_6_22_1,1,Pabay,Alaria,30/06/2022,30,6,2022,aglaophenia_pluma_220,0
45687,Pabay_30_6_22_1,1,Pabay,Saccharina,30/06/2022,30,6,2022,aglaophenia_pluma_220,0
46222,Pabay_30_6_22_2,2,Pabay,Alaria,30/06/2022,30,6,2022,aglaophenia_pluma_220,0
46757,Pabay_30_6_22_2,2,Pabay,Saccharina,30/06/2022,30,6,2022,aglaophenia_pluma_220,0
47292,Pabay_30_6_22_3,3,Pabay,Alaria,30/06/2022,30,6,2022,aglaophenia_pluma_220,0
47827,Pabay_30_6_22_3,3,Pabay,Saccharina,30/06/2022,30,6,2022,aglaophenia_pluma_220,0
48362,Pabay_30_7_22_1,1,Pabay,Alaria,30/07/2022,30,7,2022,aglaophenia_pluma_220,0
48897,Pabay_30_7_22_1,1,Pabay,Saccharina,30/07/2022,30,7,2022,aglaophenia_pluma_220,0
49432,Pabay_30_7_22_2,2,Pabay,Alaria,30/07/2022,30,7,2022,aglaophenia_pluma_220,0
49967,Pabay_30_7_22_2,2,Pabay,Saccharina,30/07/2022,30,7,2022,aglaophenia_pluma_220,0
50502,Pabay_30_7_22_3,3,Pabay,Alaria,30/07/2022,30,7,2022,aglaophenia_pluma_220,0
51037,Pabay_30_7_22_3,3,Pabay,Saccharina,30/07/2022,30,7,2022,aglaophenia_pluma_220,0
51572,Pabay_7_5_22_1,1,Pabay,Alaria,07/05/2022,7,5,2022,aglaophenia_pluma_220,0
