Blade Observer,sample no,Epibiont observer,Analysis by Sofie,Analysis by Eleni,Photo links,Analysis time by Sofie,blade foto,Segment,Seaweed species,Notes on blades,Extra data,Site,replicate,merged_replicate,part_replicate,Date,Day,Month,Year,epibiont notes,blade_area,total_area,for_standardizing,percent_blade_Hydrozoans,percent_blade_bryozoans,percent_blade_tufts,mussel juveniles,percent_epiphytes,percent_brown_blotches,percent_Hydrozoans,percent_Bryozoans,Tufts_cm2,Total_Amphipoda,Total_Bivalvia,Total_Copepoda,Total_Gasteropoda,Total_Isopoda,Total_Nemerta,POLYCHAETA_tot,Halacaridae,Arthropod,Amphipod,Caprellidae,Gammaridae,Jassa,Annelida_tube,Asteroidea ,Bivalve ,Cerastoderma,Mytilus,Ostrea,Pecten,Scallop_Brown,Scallop_Pink,Cirripedia,Copepod,Harpacticoida,Corophium,Cumacea,Cancer_pagurus,Brachyura,Dendronotidae,Echinoidea ,Calcareous,Euphausiacea,Gastropod,Gibbula,Lacuna,Rissoa,Patella,Isopod,Idoteidae,Janiridae,Isopod_larvae,Zoea_larva ,Mysid,Nemertea,Cephalothrix,Haplonemertea,Oligochaeta_Nereididae,Ostracoda,Polychaeta_larvae,Phyllodocida,Polycheate_tube,Foraminifer,Sponge,Ascidiacea,Trichodesmium,Diatoms,Licmophora,Striatella,Filamentous green algae,Fillamentous Algae,Fucus ,Hydroid,Campanulariidae,Obelia,Bryozoans,Membraniporidae,Electra_pilosa,Kelp ,Laminaria_digitata,Macroalga_sporangio,Macroalgae,Red algae,Ceramidae,Codium,Sacharina,Sacharina_latissima
Sofie,23,Victoria,08/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-08+13.09.10.jpg,01:09,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230310_103608963.jpg,tip,Alaria,"2 blades across multiple bottles. this one had the tips and some middle blade sizes: 90*17, 70*10",,Pabay,3,,1 all,22/05/2022,22,5,2022,"part 1,2, 3 merged",1794,796,1794,0.871794872,0,11,,,,1,,11,52,7,298,73,14,1,0,4,,42,1,1,8,,,1,,,6,,,,3,9,289,,8,1,,,,,,,,60,13,,,1,2,11,,,,1,,,,,,,,,,,,rare,,,dominante,,present,numerous,,,,,,,,,,,,,
Sofie,24,Victoria,08/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-08+13.09.40.jpg,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230310_104422826.jpg,middle,Alaria,"2 blades across multiple bottles. this one had the middle of the bigger blade, blade sizes: 90*17, 70*10",,Pabay,3,,2,22/05/2022,22,5,2022,,,768,,,,,,,,1,,11,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,25,Victoria,08/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-08+13.28.28.jpg,01:28,,base,Alaria,"2 blades across multiple bottles. this one had the two bases, blade sizes: 90*17, 70*10",,Pabay,3,,3,22/05/2022,22,5,2022,,,230,,,,,,,,0,,11,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,26,"Eleni, Victoria",,20/04/2022,,,,,Digitata,2 blades,,Pabay,1,1,,30/01/2022,30,1,2022,,38,76,76,,,,,,,,,,0,0,6,0,1,2,0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,,,numerous,,,,present,,,,,,,,present,,,rare,,,,,
Sofie,27,"Eleni, Victoria",,28/03/2022,,,,,Digitata,one blade,,Pabay,1,1,,08/02/2022,8,2,2022,,160,160,160,,,,,,,,,,0,0,4,5,1,0,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,3,,,,,1,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,rare,,,,,,,
Sofie,28,"Eleni, Victoria",,25/04/2022,,,,,Digitata,5 blades,,Pabay,1,1,,25/02/2022,25,2,2022,,23.7,118.5,118.5,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,rare,,,rare,,,,,,,,,,,rare,,,,,
Sofie,29,"Eleni, Victoria",07/03/2023,09/05/2022,no photo,,,,Digitata,"13 blades, amacroalgae epibionts attached to some blades but also loose probably from the rope",,Pabay,1,1,,08/03/2022,8,3,2022,,4.738461538,61.6,61.6,,,,,,,,,,0,0,12,0,1,0,0,1,,,,,,,,,,,,,,,,,12,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,rare,dominante,,numerous,,,,,,,,present,,,,,,,,
Sofie,30,"Eleni, Victoria",,13/04/2022,,,,,Digitata,"2.5 blades, clean",,Pabay,1,1,,21/03/2022,21,3,2022,,16,45,45,,,,,,,,,,1,0,0,1,3,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,1,,,,,,,,,,,,rare,,,rare,present,,,,,,,,rare,,,rare,,,,,
Sofie,31,"Eleni, Victoria",,13/04/2022,,,,,Digitata,"1 blade, clean",,Pabay,2,2,,21/03/2022,21,3,2022,,14,14,14,,,,,,,,,,1,0,0,0,0,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,rare,rare,,rare,,,,,,,,rare,,,,,,,,
Sofie,32,"Eleni, Victoria",,13/04/2022,,,,,Digitata,"1 blade, clean",,Pabay,3,3,,21/03/2022,21,3,2022,,84,84,84,,,,,,,,,,2,0,0,0,0,0,0,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,present,,numerous,,,,,,,,,,,,,,,,
Sofie,33,Eleni,07/03/2023,09/05/2022,no photo,,,,Saccharina,6 blades,growth rate only until end of may as after that seaweed come from newer geenrations,Pabay,1,1,,14/01/2022,14,1,2022,,4.233333333,25.4,25.4,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,rare,,,,,,,,,,,,,,,,,,,
Sofie,34,"Eleni, Victoria",,20/04/2022,,,,,Saccharina,"one blade, clean",,Pabay,1,1,,30/01/2022,30,1,2022,,60.5,60.5,60.5,,,,,,,,,,0,0,0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,rare,,,present,,,,rare,,,,,,,,,,,,rare,,,,
Sofie,35,Eleni,,28/03/2022,,,,,Saccharina,"2 blades:one whole one cut, clean",,Pabay,1,1,,08/02/2022,8,2,2022,,56,98,98,,,,,,,,,,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare
Sofie,36,"Eleni, Victoria",,25/04/2022,,,,,Saccharina,2 blades,,Pabay,1,1,,25/02/2022,25,2,2022,,54.75,109.5,109.5,,,,,,,,,,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,rare,,,,rare,,,,,,,,rare,,,,,,,,
Sofie,37,"Eleni, Victoria",07/03/2023,09/05/2022,no photo,,,,Saccharina,"5 blades, epibionts semmed to come from the rope",,Pabay,1,1,,08/03/2022,8,3,2022,,3.592,17.96,17.96,,,,,,,,,,2,0,1,4,1,1,0,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,1,,,1,,,,,,,,1,,,,rare,,present,,rare,,rare,,,,,,rare,,rare,rare,,,,,
Sofie,38,Victoria,09/02/2023,,,16:17,,,Saccharina,3 blades,,Pabay,1,1,,21/03/2022,21,3,2022,,2.33,2.33,2.33,,,,,,,,,,4,0,0,1,2,1,0,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,1,,,,,,,,,,,,rare,,rare,,,,,,,,,,,,,,,,,
Sofie,39,Victoria,09/02/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230209_162536689.jpg,16:25,,,Saccharina,8 blades,,Pabay,2,2,,21/03/2022,21,3,2022,,6,48,48,,,,,,,,,,2,0,2,2,4,0,0,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,,,1,3,,,,,,1,1,,,,,,,,,rare,rare,rare,rare,,,,,,,,present,,,,,,,,
Sofie,40,Victoria,09/02/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230209_163309950.jpg,16:32,,,Saccharina,5 blades,,Pabay,3,3,,21/03/2022,21,3,2022,,3.85,19.25,19.25,,,,,,,,,,1,0,0,1,0,0,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,rare,,,,,,,,,rare,,,,,,,,
Sofie,41,"Eleni, Victoria",02/03/2023,09/05/2022,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2023-03-02+15.43.26.jpg,15:44,,,Saccharina,one plant?clean but fragmented in pieces,,Pabay,1,,,10/04/2022,10,4,2022,,1328,1328,1328,,,,,,,,,,0,0,5,0,1,0,0,,,,,,,,,,,,,,,,1,3,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,rare,rare,,,,,,,,,,,,,,,,
Sofie,42,"Eleni, Victoria",02/03/2023,09/05/2022,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2023-03-02+15.53.04.jpg,15:53,,,Saccharina,one plant?clean but fragmented in pieces,,Pabay,2,,,10/04/2022,10,4,2022,,888,888,888,,,,,,,,,,1,0,3,0,3,0,0,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,,2,,,,,,,1,,,,,,,numerous,,,,,,,,,,,,,,,,,,,,,
Sofie,43,"Eleni, Victoria",02/03/2023,09/05/2022,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2023-03-02+16.26.57.jpg,16:27,,,Saccharina,"one plant?clean but fragmented in pieces, base visible",,Pabay,3,,,10/04/2022,10,4,2022,,364,364,364,,,,,,,,,,1,0,4,1,1,0,0,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,
Sofie,44,Victoria,02/03/2023,13/07/2022,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2023-03-02+16.34.20.jpg,16:34,,base,Saccharina,"clean, circle shape",,Pabay,1,,1,07/05/2022,7,5,2022,,3170,1256,1256,,,,,,,,,,1,1,5,3,0,0,1,,,,,,1,1,,,,1,,,,,,3,2,,,,,,,1,,1,,2,,,,,,,,,,,,,,,1,,1,,,,rare,,,,present,,,rare,,,,,,,,,,,,rare,
Sofie,45,Victoria,02/03/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2023-03-02+16.38.26.jpg,16:38,,middle,Saccharina,clean,,Pabay,1,,2,07/05/2022,7,5,2022,,,714,714,,,,,,,,,,0,3,3,2,1,0,0,,,,,,,,,,,1,2,,,,,,3,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,
Sofie,46,Victoria,02/03/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2023-03-02+16.42.47.jpg,16:43,,tip,Saccharina,clean,,Pabay,1,,3,07/05/2022,7,5,2022,,,1200,1200,,,,,,,,,,2,0,12,4,5,0,0,,,1,,,1,,,,,,,,,,,1,11,,,,,,,,,,,4,,,,,,5,,,,,,,2,,,,,,,,,,,,present,,,,,,,,,,,,,,,,
Sofie,47,Victoria,10/11/2022,,,,,base,Saccharina,clean,,Pabay,2,,1,07/05/2022,7,5,2022,"part 1,2, 3 merged",1606,812,1606,1.704856787,0,0,,,,0,,,4,0,45,24,3,0,0,,,3,,1,,,,,,,,,,,,2,43,,1,,,,,,,,,22,2,,,,1,2,,,,,,,,,,,,,,rare,,,,,,,,rare,,,,,,,,,,,,,
Sofie,48,Victoria,10/11/2022,,,,,tip,Saccharina,,,Pabay,2,,2,07/05/2022,7,5,2022,,,486,,,,,,,,5,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,49,Victoria,10/11/2022,,,,,middle,Saccharina,,,Pabay,2,,3,07/05/2022,7,5,2022,,,308,,,,,,,,1,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,50,Victoria,10/11/2022,,,14:16,,base,Saccharina,good condition,,Pabay,3,,1,07/05/2022,7,5,2022,"part 1,2, 3 merged",1866,920,1866,11.12540193,0,0,,,,2,,,45,5,69,29,7,1,0,,,34,,1,10,,,,,,5,,,,,9,60,,,,,,1,,1,,,25,3,1,,,5,2,,,1,,,,,,,,1,,rare,dominante,,,,,present,,,rare,,,,,,,,,,,,,
Sofie,51,Victoria,10/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-10+14.27.54.jpg,14:28,,middle,Saccharina,quite damaged,,Pabay,3,,2,07/05/2022,7,5,2022,,,616,,,,,,,,20,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,52,Victoria,10/11/2022,,,14:32,,tip,Saccharina,quite damaged,,Pabay,3,,3,07/05/2022,7,5,2022,,,330,,,,,,,,20,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,53,Victoria,09/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-09+12.43.24.jpg,12:43,,middle,Saccharina,,,Pabay,1,,1,22/05/2022,22,5,2022,part 1 and 2 merged,1600,1120,1600,22.4125,0,,,,0,10,,,24,24,51,60,11,1,5,,,11,,,13,,,1,,1,21,1,,,,2,49,,4,,,,,,,,,53,7,,,,6,5,,,,1,,,,5,,,,rare,rare,,,,,,numerous,,,present,,,,,,,,,,,,,
Sofie,54,Victoria,09/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-09+12.50.32.jpg,12:50,,tip,Saccharina,maybe two species of hydroids?,,Pabay,1,,2,22/05/2022,22,5,2022,,,480,,,,,,,0,40,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,55,Victoria,09/11/2022,,,,,base,Saccharina,clean,,Pabay,2,,1,22/05/2022,22,5,2022,part 1 and 2 merged,540,462,540,,,,,,0,0,,,97,20,44,65,5,11,1,,,63,1,13,20,,,,,,20,,,,,,44,1,,,,,,,,,,52,13,,,,2,3,,,,11,,,,1,,,,,,,present,,,,dominante,rare,,,,,,,rare,,,,,,present,,
Sofie,56,Victoria,09/11/2022,,"https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-09+14.14.13.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-09+14.13.47.jpg",14:11,,tip,Saccharina,Blade destroyed by hydrozoans and big brown spots,,Pabay,2,,2,22/05/2022,22,5,2022,,,78,,,,,,,30,70,,,5,0,0,0,0,0,0,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,57,Victoria,09/11/2022,,,,,middle,Saccharina,Blade destroyed by hydrozoans at the very tip,"#11462: hydroid, other pics: 11463-11465",Pabay,3,,1,22/05/2022,22,5,2022,"part 1,2, 3 merged",2303,1002,2303,,,,,,,10,,,33,8,65,82,7,0,6,,1,26,,,7,,,,,,8,,,,,18,47,,,,,,,,,,,70,12,,,,2,5,,,,,,,,6,,,,,,,,,,,numerous,,,,,,,,,,,,,,,,
