tag_no_x,tag_color,seaweed_id,age,rock_no_x,epibiont_sampling_date,longest_blade_length_initial,juv_blade_length_at_sampling_date,notes,blade_side,blade_zone,blade_no,species,colony_length_max,colony_area,species_count,length_measurement_date,origin,biofouling_removed_14_5_25,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,swab_prior_enrichment,swab_after_ernichment_16_5
19,Blue,AB19,adult,NA,04/06/2025,150,,,x,tip,NA,Membranipora,0.2,0.031415927,1,12_5_2025,farland,bryo=1;hydro=28;maerl=5,NA,6,5,Low,P,51,136
19,Blue,AB19,adult,NA,04/06/2025,150,,,y,middle,NA,Membranipora,0.2,0.031415927,2,12_5_2025,farland,bryo=1;hydro=28;maerl=5,NA,6,5,Low,P,51,136
19,Blue,AB19,adult,NA,04/06/2025,150,,,y,middle,NA,Membranipora,0.1,0.007853982,,12_5_2025,farland,bryo=1;hydro=28;maerl=5,NA,6,5,Low,P,51,136
19,Blue,AB19,adult,NA,04/06/2025,150,,,y,tip,NA,Membranipora,0.8,0.502654825,1,12_5_2025,farland,bryo=1;hydro=28;maerl=5,NA,6,5,Low,P,51,136
20,Blue,AB20,adult,NA,04/06/2025,270,,,x,middle,NA,Membranipora,0.5,0.196349541,2,12_5_2025,farland,bryo=4;hydro=14;snail=1,NA,7,4,High,C,52,153
20,Blue,AB20,adult,NA,04/06/2025,270,,,x,middle,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,bryo=4;hydro=14;snail=1,NA,7,4,High,C,52,153
20,Blue,AB20,adult,NA,04/06/2025,270,,,y,base,NA,Membranipora,0.5,0.196349541,3,12_5_2025,farland,bryo=4;hydro=14;snail=1,NA,7,4,High,C,52,153
20,Blue,AB20,adult,NA,04/06/2025,270,,,y,base,NA,Membranipora,0.2,0.031415927,,12_5_2025,farland,bryo=4;hydro=14;snail=1,NA,7,4,High,C,52,153
20,Blue,AB20,adult,NA,04/06/2025,270,,,y,base,NA,Membranipora,0.2,0.031415927,,12_5_2025,farland,bryo=4;hydro=14;snail=1,NA,7,4,High,C,52,153
20,Blue,AB20,adult,NA,04/06/2025,270,,,y,middle,NA,Membranipora,0.8,0.502654825,1,12_5_2025,farland,bryo=4;hydro=14;snail=1,NA,7,4,High,C,52,153
21,Blue,AB21,adult,NA,04/06/2025,240,,,x,base,NA,Pilosa,1,0.523598776,1,12_5_2025,farland,hydro=59;bryo=10;snail=1;maerl=1,NA,6,2,High,P,53,137
21,Blue,AB21,adult,NA,04/06/2025,240,,,x,middle,NA,Membranipora,0.5,0.196349541,1,12_5_2025,farland,hydro=59;bryo=10;snail=1;maerl=1,NA,6,2,High,P,53,137
21,Blue,AB21,adult,NA,04/06/2025,240,,,x,tip,NA,Pilosa,2,2.094395102,1,12_5_2025,farland,hydro=59;bryo=10;snail=1;maerl=1,NA,6,2,High,P,53,137
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,x,middle,NA,Pilosa,0.3,0.04712389,1,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,x,tip,NA,Pilosa,0.5,0.130899694,1,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,x,tip,NA,Spirobranchus,,NA,1,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,y,middle,NA,Hydrozoa,,NA,10,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,y,middle,NA,Pilosa,0.3,0.04712389,1,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,y,tip,NA,Hydrozoa,,NA,5,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,y,tip,NA,Membranipora,0.8,0.502654825,2,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,y,tip,NA,Membranipora,0.4,0.125663706,,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,y,tip,NA,Pilosa,0.6,0.188495559,3,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,y,tip,NA,Pilosa,1,0.523598776,,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
22,Blue,AB22,adult,NA,04/06/2025,250,,tag detached_100,y,tip,NA,Pilosa,0.2,0.020943951,,12_5_2025,farland,hydro=345;bryo=1,NA,7,5,Low,C,54,155
23,Blue,AB23,adult,NA,04/06/2025,240,,,x,base,NA,Membranipora,0.5,0.196349541,1,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
23,Blue,AB23,adult,NA,04/06/2025,240,,,x,middle,NA,Membranipora,0.5,0.196349541,1,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
23,Blue,AB23,adult,NA,04/06/2025,240,,,y,base,NA,Spirobranchus,,NA,1,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
23,Blue,AB23,adult,NA,04/06/2025,240,,,y,middle,NA,Pilosa,0.4,0.083775804,1,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
23,Blue,AB23,adult,NA,04/06/2025,240,,,y,tip,NA,Hydrozoa,,NA,10,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
23,Blue,AB23,adult,NA,04/06/2025,240,,,y,tip,NA,Membranipora,0.1,0.007853982,6,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
23,Blue,AB23,adult,NA,04/06/2025,240,,,y,tip,NA,Membranipora,0.4,0.125663706,,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
23,Blue,AB23,adult,NA,04/06/2025,240,,,y,tip,NA,Membranipora,0.6,0.282743339,,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
23,Blue,AB23,adult,NA,04/06/2025,240,,,y,tip,NA,Membranipora,0.4,0.125663706,,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
23,Blue,AB23,adult,NA,04/06/2025,240,,,y,tip,NA,Membranipora,1,0.785398163,,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
23,Blue,AB23,adult,NA,04/06/2025,240,,,y,tip,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,hydro=62;bryo=19+1colony 2cm; maerl=11,NA,5,2,High,N,55,116
24,Blue,AB24,adult,NA,04/06/2025,200,,,x,tip,NA,Pilosa,0.5,0.130899694,1,12_5_2025,farland,hydro=16;bryo=2;donut=12;snail=5,NA,6,6,High,P,56,131
24,Blue,AB24,adult,NA,04/06/2025,200,,,y,middle,NA,Hydrozoa,,NA,4,12_5_2025,farland,hydro=16;bryo=2;donut=12;snail=5,NA,6,6,High,P,56,131
24,Blue,AB24,adult,NA,04/06/2025,200,,,y,middle,NA,Membranipora,0.1,0.007853982,1,12_5_2025,farland,hydro=16;bryo=2;donut=12;snail=5,NA,6,6,High,P,56,131
24,Blue,AB24,adult,NA,04/06/2025,200,,,y,tip,NA,Membranipora,0.2,0.031415927,2,12_5_2025,farland,hydro=16;bryo=2;donut=12;snail=5,NA,6,6,High,P,56,131
24,Blue,AB24,adult,NA,04/06/2025,200,,,y,tip,NA,Membranipora,0.1,0.007853982,,12_5_2025,farland,hydro=16;bryo=2;donut=12;snail=5,NA,6,6,High,P,56,131
24,Blue,AB24,adult,NA,04/06/2025,200,,,y,tip,NA,Pilosa,1,0.523598776,5,12_5_2025,farland,hydro=16;bryo=2;donut=12;snail=5,NA,6,6,High,P,56,131
24,Blue,AB24,adult,NA,04/06/2025,200,,,y,tip,NA,Pilosa,0.8,0.335103216,,12_5_2025,farland,hydro=16;bryo=2;donut=12;snail=5,NA,6,6,High,P,56,131
24,Blue,AB24,adult,NA,04/06/2025,200,,,y,tip,NA,Pilosa,0.3,0.04712389,,12_5_2025,farland,hydro=16;bryo=2;donut=12;snail=5,NA,6,6,High,P,56,131
24,Blue,AB24,adult,NA,04/06/2025,200,,,y,tip,NA,Pilosa,0.3,0.04712389,,12_5_2025,farland,hydro=16;bryo=2;donut=12;snail=5,NA,6,6,High,P,56,131
24,Blue,AB24,adult,NA,04/06/2025,200,,,y,tip,NA,Pilosa,0.8,0.335103216,,12_5_2025,farland,hydro=16;bryo=2;donut=12;snail=5,NA,6,6,High,P,56,131
25,Blue,AB25,adult,NA,04/06/2025,160,,,x,base,NA,Hydrozoa,,NA,30,12_5_2025,farland,clean,NA,7,2,High,C,57,156
25,Blue,AB25,adult,NA,04/06/2025,160,,,x,middle,NA,Pilosa,0.5,0.130899694,1,12_5_2025,farland,clean,NA,7,2,High,C,57,156
25,Blue,AB25,adult,NA,04/06/2025,160,,,x,tip,NA,Hydrozoa,,NA,6,12_5_2025,farland,clean,NA,7,2,High,C,57,156
25,Blue,AB25,adult,NA,04/06/2025,160,,,x,tip,NA,Pilosa,1,0.523598776,1,12_5_2025,farland,clean,NA,7,2,High,C,57,156
25,Blue,AB25,adult,NA,04/06/2025,160,,,y,middle,NA,Hydrozoa,,NA,6,12_5_2025,farland,clean,NA,7,2,High,C,57,156
25,Blue,AB25,adult,NA,04/06/2025,160,,,y,middle,NA,Spirobranchus,,NA,1,12_5_2025,farland,clean,NA,7,2,High,C,57,156
25,Blue,AB25,adult,NA,04/06/2025,160,,,y,tip,NA,Hydrozoa,,NA,6,12_5_2025,farland,clean,NA,7,2,High,C,57,156
26,Blue,AB26,adult,NA,04/06/2025,190,,,x,tip,NA,Membranipora,0.3,0.070685835,1,12_5_2025,farland,hydro=12;bryo=18;donut=2;maerl=3,NA,5,3,Low,N,58,114
26,Blue,AB26,adult,NA,04/06/2025,190,,,y,middle,NA,Membranipora,1.2,1.130973355,2,12_5_2025,farland,hydro=12;bryo=18;donut=2;maerl=3,NA,5,3,Low,N,58,114
26,Blue,AB26,adult,NA,04/06/2025,190,,,y,middle,NA,Membranipora,1.3,1.327322896,,12_5_2025,farland,hydro=12;bryo=18;donut=2;maerl=3,NA,5,3,Low,N,58,114
27,Blue,AB27,adult,NA,04/06/2025,210,,,x,tip,NA,Pilosa,0.5,0.130899694,2,12_5_2025,farland,hydro=29;bryo=8,NA,6,3,Low,P,59,135
27,Blue,AB27,adult,NA,04/06/2025,210,,,x,tip,NA,Pilosa,0.5,0.130899694,,12_5_2025,farland,hydro=29;bryo=8,NA,6,3,Low,P,59,135
27,Blue,AB27,adult,NA,04/06/2025,210,,,x,tip,NA,Spirobranchus,,NA,1,12_5_2025,farland,hydro=29;bryo=8,NA,6,3,Low,P,59,135
27,Blue,AB27,adult,NA,04/06/2025,210,,,y,base,NA,Spirobranchus,,NA,1,12_5_2025,farland,hydro=29;bryo=8,NA,6,3,Low,P,59,135
28,Blue,AB28,adult,NA,04/06/2025,320,,,x,middle,NA,Hydrozoa,,NA,4,12_5_2025,farland,bryo=19;hydro=123;donut=5;maerl=5,NA,7,6,High,C,60,151
28,Blue,AB28,adult,NA,04/06/2025,320,,,x,middle,NA,Membranipora,0.5,0.196349541,3,12_5_2025,farland,bryo=19;hydro=123;donut=5;maerl=5,NA,7,6,High,C,60,151
28,Blue,AB28,adult,NA,04/06/2025,320,,,x,middle,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,bryo=19;hydro=123;donut=5;maerl=5,NA,7,6,High,C,60,151
28,Blue,AB28,adult,NA,04/06/2025,320,,,x,middle,NA,Membranipora,0.2,0.031415927,,12_5_2025,farland,bryo=19;hydro=123;donut=5;maerl=5,NA,7,6,High,C,60,151
28,Blue,AB28,adult,NA,04/06/2025,320,,,x,middle,NA,Pilosa,0.5,0.130899694,1,12_5_2025,farland,bryo=19;hydro=123;donut=5;maerl=5,NA,7,6,High,C,60,151
28,Blue,AB28,adult,NA,04/06/2025,320,,,y,middle,NA,Membranipora,0.3,0.070685835,1,12_5_2025,farland,bryo=19;hydro=123;donut=5;maerl=5,NA,7,6,High,C,60,151
28,Blue,AB28,adult,NA,04/06/2025,320,,,y,middle,NA,Pilosa,0.4,0.083775804,3,12_5_2025,farland,bryo=19;hydro=123;donut=5;maerl=5,NA,7,6,High,C,60,151
28,Blue,AB28,adult,NA,04/06/2025,320,,,y,middle,NA,Pilosa,0.4,0.083775804,,12_5_2025,farland,bryo=19;hydro=123;donut=5;maerl=5,NA,7,6,High,C,60,151
29,Blue,AB29,adult,NA,04/06/2025,230,,tag detached178,x,middle,NA,Pilosa,,0,,12_5_2025,farland,hydro=137;bryo=1,NA,5,5,Low,N,61,113
29,Blue,AB29,adult,NA,04/06/2025,230,,tag detached178,x,middle,NA,Spirobranchus,,NA,1,12_5_2025,farland,hydro=137;bryo=1,NA,5,5,Low,N,61,113
29,Blue,AB29,adult,NA,04/06/2025,230,,tag detached178,x,tip,NA,Membranipora,0.4,0.125663706,1,12_5_2025,farland,hydro=137;bryo=1,NA,5,5,Low,N,61,113
29,Blue,AB29,adult,NA,04/06/2025,230,,tag detached178,x,tip,NA,Pilosa,0.5,0.130899694,2,12_5_2025,farland,hydro=137;bryo=1,NA,5,5,Low,N,61,113
29,Blue,AB29,adult,NA,04/06/2025,230,,tag detached178,y,base,NA,Pilosa,0.5,0.130899694,,12_5_2025,farland,hydro=137;bryo=1,NA,5,5,Low,N,61,113
29,Blue,AB29,adult,NA,04/06/2025,230,,tag detached178,y,middle,NA,Spirobranchus,,NA,1,12_5_2025,farland,hydro=137;bryo=1,NA,5,5,Low,N,61,113
29,Blue,AB29,adult,NA,04/06/2025,230,,tag detached178,y,tip,NA,Membranipora,0.4,0.125663706,1,12_5_2025,farland,hydro=137;bryo=1,NA,5,5,Low,N,61,113
29,Blue,AB29,adult,NA,04/06/2025,230,,tag detached178,y,tip,NA,Pilosa,1,0.523598776,1,12_5_2025,farland,hydro=137;bryo=1,NA,5,5,Low,N,61,113
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,middle,NA,Hydrozoa,,NA,1,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,middle,NA,Membranipora,0.5,0.196349541,4,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,middle,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,middle,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,middle,NA,Membranipora,0.4,0.125663706,,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,middle,NA,Pilosa,0.5,0.130899694,2,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,middle,NA,Pilosa,0.3,0.04712389,,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,tip,NA,Hydrozoa,,NA,5,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,tip,NA,Membranipora,0.2,0.031415927,1,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,tip,NA,Pilosa,0.1,0.005235988,2,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,x,tip,NA,Pilosa,0.2,0.020943951,,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,y,middle,NA,Hydrozoa,,NA,1,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,y,middle,NA,Membranipora,1,0.785398163,4,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,y,middle,NA,Membranipora,0.4,0.125663706,,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,y,middle,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,y,middle,NA,Membranipora,0.2,0.031415927,,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,y,tip,NA,Hydrozoa,,NA,4,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
30,Blue,AB30,adult,NA,04/06/2025,200,,,y,tip,NA,Pilosa,1,0.523598776,1,12_5_2025,farland,bryo=11;hydro=37,NA,6,4,High,P,62,134
31,Blue,AB31,adult,NA,04/06/2025,240,,,x,middle,NA,Membranipora,0.8,0.502654825,2,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,x,middle,NA,Membranipora,0.5,0.196349541,,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,x,tip,NA,Hydrozoa,,NA,10,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,x,tip,NA,Membranipora,0.3,0.070685835,2,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,x,tip,NA,Membranipora,0.4,0.125663706,,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,x,tip,NA,Pilosa,0.5,0.130899694,1,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,y,tip,NA,Hydrozoa,,NA,4,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,y,tip,NA,Membranipora,0.4,0.125663706,4,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,y,tip,NA,Membranipora,0.5,0.196349541,,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,y,tip,NA,Membranipora,0.3,0.070685835,,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,y,tip,NA,Membranipora,0.2,0.031415927,,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
31,Blue,AB31,adult,NA,04/06/2025,240,,,y,tip,NA,Pilosa,0.4,0.083775804,1,12_5_2025,farland,"bryo=29;hydro=74,blueRay_limpet=1",NA,7,3,Low,C,63,152
32,Blue,AB32,adult,NA,04/06/2025,120,,,x,middle,NA,Spirobranchus,,NA,1,12_5_2025,farland,clean,NA,5,7,Low,N,64,117
32,Blue,AB32,adult,NA,04/06/2025,120,,,x,tip,NA,Membranipora,1,0.785398163,1,12_5_2025,farland,clean,NA,5,7,Low,N,64,117
32,Blue,AB32,adult,NA,04/06/2025,120,,,y,middle,NA,Membranipora,0.5,0.196349541,1,12_5_2025,farland,clean,NA,5,7,Low,N,64,117
36,Green,AG36,adult,NA,04/06/2025,175,,tag detached_160cm,x,middle,NA,Pilosa,1,0.523598776,2,12_5_2025,farland,hydro=37;bryo=1;donut=1;maerl=1,NA,6,5,Low,P,68,132
36,Green,AG36,adult,NA,04/06/2025,175,,tag detached_160cm,x,middle,NA,Pilosa,0.6,0.188495559,,12_5_2025,farland,hydro=37;bryo=1;donut=1;maerl=1,NA,6,5,Low,P,68,132
36,Green,AG36,adult,NA,04/06/2025,175,,tag detached_160cm,x,tip,NA,Pilosa,0.5,0.130899694,1,12_5_2025,farland,hydro=37;bryo=1;donut=1;maerl=1,NA,6,5,Low,P,68,132
36,Green,AG36,adult,NA,04/06/2025,175,,tag detached_160cm,y,middle,NA,Membranipora,0.5,0.196349541,1,12_5_2025,farland,hydro=37;bryo=1;donut=1;maerl=1,NA,6,5,Low,P,68,132
36,Green,AG36,adult,NA,04/06/2025,175,,tag detached_160cm,y,middle,NA,Pilosa,0.5,0.130899694,2,12_5_2025,farland,hydro=37;bryo=1;donut=1;maerl=1,NA,6,5,Low,P,68,132
36,Green,AG36,adult,NA,04/06/2025,175,,tag detached_160cm,y,middle,NA,Pilosa,0.3,0.04712389,,12_5_2025,farland,hydro=37;bryo=1;donut=1;maerl=1,NA,6,5,Low,P,68,132
36,Green,AG36,adult,NA,04/06/2025,175,,tag detached_160cm,y,tip,NA,Pilosa,0.5,0.130899694,3,12_5_2025,farland,hydro=37;bryo=1;donut=1;maerl=1,NA,6,5,Low,P,68,132
36,Green,AG36,adult,NA,04/06/2025,175,,tag detached_160cm,y,tip,NA,Pilosa,0.3,0.04712389,,12_5_2025,farland,hydro=37;bryo=1;donut=1;maerl=1,NA,6,5,Low,P,68,132
36,Green,AG36,adult,NA,04/06/2025,175,,tag detached_160cm,y,tip,NA,Pilosa,0.3,0.04712389,,12_5_2025,farland,hydro=37;bryo=1;donut=1;maerl=1,NA,6,5,Low,P,68,132
37,Green,AG37,adult,NA,04/06/2025,200,,tag detached_120,x,middle,NA,Pilosa,0.5,0.130899694,2,12_5_2025,farland,bryo=14;hydro11;maerl=4;snail=1,NA,7,3,Low,C,69,154
