,tag_no.x,tag_colour,sea_id,rock_no,origin,tag_color,tag_no.y,rock_number,date,longest_blade,collected_from,biofouling_removed_14_5_25,no_blades,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,swab_prior_enrichment,swab_after_ernichment_16_5,date_sampled,blade_length,notes,blade_side,blade_zone,blade_no,sp,colony_length_max,colony_area,no_h,no_m,no_long_m
33,2,white,AW2,,Adult_local,White,2,NA,13_5_2025,120,FSC slip,,NA,NA,3,3,Low,C,82,147,04/06/2025,NA,,x,tip,NA,,,NA,,1,NA
34,2,white,AW2,,Adult_local,White,2,NA,13_5_2025,120,FSC slip,,NA,NA,3,3,Low,C,82,147,04/06/2025,NA,,y,base,NA,,,NA,,NA,NA
35,2,white,AW2,,Adult_local,White,2,NA,13_5_2025,120,FSC slip,,NA,NA,3,3,Low,C,82,147,04/06/2025,NA,,y,middle,NA,,,NA,,NA,NA
36,2,white,AW2,,Adult_local,White,2,NA,13_5_2025,120,FSC slip,,NA,NA,3,3,Low,C,82,147,04/06/2025,NA,,y,tip,NA,ep,0.5,0.130899694,,NA,NA
37,2,white,AW2,,Adult_local,White,2,NA,13_5_2025,120,FSC slip,,NA,NA,3,3,Low,C,82,147,04/06/2025,NA,,y,tip,NA,mm,0.2,0.031415927,,NA,NA
38,2,white,AW2,,Adult_local,White,2,NA,13_5_2025,120,FSC slip,,NA,NA,3,3,Low,C,82,147,04/06/2025,NA,,y,tip,NA,mm,0.3,0.070685835,,NA,NA
39,2,white,AW2,,Adult_local,White,2,NA,13_5_2025,120,FSC slip,,NA,NA,3,3,Low,C,82,147,04/06/2025,NA,,y,tip,NA,mm,0.2,0.031415927,,NA,NA
40,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,x,base,NA,,,NA,3,NA,NA
41,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,x,middle,NA,ep,1,0.523598776,,NA,NA
42,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,x,middle,NA,mm,0.2,0.031415927,,NA,NA
43,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,x,middle,NA,mm,0.2,0.031415927,,NA,NA
44,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,x,middle,NA,mm,0.1,0.007853982,,NA,NA
45,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,x,middle,NA,mm,1,0.785398163,,NA,NA
46,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,x,middle,NA,mm,1,0.785398163,,NA,NA
47,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,x,tip,NA,,,NA,,NA,NA
48,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,y,base,NA,mm,1.5,1.767145868,,NA,NA
49,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,y,middle,NA,mm,0.5,0.196349541,,1,NA
50,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,y,middle,NA,mm,0.5,0.196349541,,NA,NA
51,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,y,middle,NA,ep,1,0.523598776,,NA,NA
52,2,red,AR2,,Adult_local,Red,2,NA,27_4_2025,110,FSC slip,,NA,4,2,7,Low,P,2,128,04/06/2025,NA,,y,tip,NA,ep,1.5,1.178097245,,NA,NA
53,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,x,base,NA,mm,0.1,0.007853982,,NA,NA
54,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,x,middle,NA,mm,0.3,0.070685835,,NA,NA
55,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,x,middle,NA,mm,0.3,0.070685835,,NA,NA
56,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,x,tip,NA,mm,0.1,0.007853982,,NA,NA
57,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,x,tip,NA,mm,0.1,0.007853982,,NA,NA
58,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,y,base,NA,mm,0.8,0.502654825,,1,NA
59,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,y,base,NA,mm,0.1,0.007853982,,NA,NA
60,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,y,base,NA,mm,0.1,0.007853982,,NA,NA
61,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,y,middle,NA,mm,0.2,0.031415927,,5,NA
62,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,y,middle,NA,ep,1.1,0.633554518,,NA,NA
63,3,red,AR3,,Adult_local,Red,3,NA,27_4_2025,80,FSC slip,,NA,2,3,5,Low,C,13,144,04/06/2025,NA,tag detached_90,y,tip,NA,,,NA,,NA,NA
64,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,base,NA,,,NA,,1,NA
65,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,middle,NA,ep,1.2,0.753982237,,1,NA
66,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,middle,NA,mm,1.3,1.327322896,,NA,NA
67,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,middle,NA,mm,0.2,0.031415927,,NA,NA
68,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,middle,NA,mm,0.1,0.007853982,,NA,NA
69,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,tip,NA,mm,0.2,0.031415927,,NA,NA
70,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,y,base,NA,,,NA,,NA,NA
71,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,y,middle,NA,mm,0.4,0.125663706,,NA,NA
72,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,y,tip,NA,,,NA,,NA,NA
73,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,base,NA,,,NA,,NA,NA
74,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,middle,NA,mm,0.5,0.196349541,,NA,NA
75,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,middle,NA,mm,0.1,0.007853982,,NA,NA
76,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,tip,NA,mm,0.3,0.070685835,,NA,NA
77,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,x,tip,NA,mm,0.1,0.007853982,,NA,NA
78,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,y,base,NA,,,NA,,NA,NA
79,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,y,middle,NA,,,NA,,NA,NA
80,4,white,AW4,,Adult_local,White,4,NA,13_5_2025,130,FSC slip,,NA,NA,1,6,High,N,83,105,04/06/2025,NA,,y,tip,NA,ep,0.3,0.04712389,,NA,NA
81,4,red,AR4,,Adult_local,Red,4,NA,27_4_2025,81,FSC slip,,NA,2,2,7,Low,P,18,130,04/06/2025,NA,,x,base,NA,,,NA,,NA,NA
82,4,red,AR4,,Adult_local,Red,4,NA,27_4_2025,81,FSC slip,,NA,2,2,7,Low,P,18,130,04/06/2025,NA,,x,middle,NA,mm,2,3.141592654,,NA,NA
83,4,red,AR4,,Adult_local,Red,4,NA,27_4_2025,81,FSC slip,,NA,2,2,7,Low,P,18,130,04/06/2025,NA,,x,tip,NA,mm,1.5,1.767145868,,NA,NA
84,4,red,AR4,,Adult_local,Red,4,NA,27_4_2025,81,FSC slip,,NA,2,2,7,Low,P,18,130,04/06/2025,NA,,y,base,NA,mm,1,0.785398163,,NA,NA
85,4,red,AR4,,Adult_local,Red,4,NA,27_4_2025,81,FSC slip,,NA,2,2,7,Low,P,18,130,04/06/2025,NA,,y,middle,NA,mm,,NA,,1,NA
86,4,red,AR4,,Adult_local,Red,4,NA,27_4_2025,81,FSC slip,,NA,2,2,7,Low,P,18,130,04/06/2025,NA,,y,tip,NA,,,NA,,NA,NA
87,5,white,AW5,,Adult_local,White,5,NA,27_4_2025,163,FSC slip,,NA,2,2,3,Low,P,12,125,04/06/2025,NA,tag detached_140,x,base,NA,,,NA,,NA,NA
88,5,white,AW5,,Adult_local,White,5,NA,27_4_2025,163,FSC slip,,NA,2,2,3,Low,P,12,125,04/06/2025,NA,tag detached_140,x,middle,NA,mm,0.4,0.125663706,,NA,NA
89,5,white,AW5,,Adult_local,White,5,NA,27_4_2025,163,FSC slip,,NA,2,2,3,Low,P,12,125,04/06/2025,NA,tag detached_140,x,middle,NA,mm,0.2,0.031415927,,NA,NA
90,5,white,AW5,,Adult_local,White,5,NA,27_4_2025,163,FSC slip,,NA,2,2,3,Low,P,12,125,04/06/2025,NA,tag detached_140,x,tip,NA,mm,0.4,0.125663706,,NA,NA
91,5,white,AW5,,Adult_local,White,5,NA,27_4_2025,163,FSC slip,,NA,2,2,3,Low,P,12,125,04/06/2025,NA,tag detached_140,x,tip,NA,mm,0.2,0.031415927,,NA,NA
92,5,white,AW5,,Adult_local,White,5,NA,27_4_2025,163,FSC slip,,NA,2,2,3,Low,P,12,125,04/06/2025,NA,tag detached_140,y,base,NA,,,NA,,NA,NA
93,5,white,AW5,,Adult_local,White,5,NA,27_4_2025,163,FSC slip,,NA,2,2,3,Low,P,12,125,04/06/2025,NA,tag detached_140,y,middle,NA,mm,1.2,1.130973355,1,NA,NA
94,5,white,AW5,,Adult_local,White,5,NA,27_4_2025,163,FSC slip,,NA,2,2,3,Low,P,12,125,04/06/2025,NA,tag detached_140,y,middle,NA,mm,0.3,0.070685835,,NA,NA
95,5,white,AW5,,Adult_local,White,5,NA,27_4_2025,163,FSC slip,,NA,2,2,3,Low,P,12,125,04/06/2025,NA,tag detached_140,y,tip,NA,mm,1,0.785398163,,NA,NA
96,5,red,AR5,,Adult_local,Red,5,NA,27_4_2025,64,FSC slip,,NA,2,3,6,High,C,14,148,04/06/2025,NA,,x,base,NA,,,NA,,1,NA
97,5,red,AR5,,Adult_local,Red,5,NA,27_4_2025,64,FSC slip,,NA,2,3,6,High,C,14,148,04/06/2025,NA,,x,middle,NA,,,NA,,NA,NA
98,5,red,AR5,,Adult_local,Red,5,NA,27_4_2025,64,FSC slip,,NA,2,3,6,High,C,14,148,04/06/2025,NA,,x,tip,NA,,,NA,,NA,NA
99,5,red,AR5,,Adult_local,Red,5,NA,27_4_2025,64,FSC slip,,NA,2,3,6,High,C,14,148,04/06/2025,NA,,y,base,NA,,,NA,,NA,NA
100,5,red,AR5,,Adult_local,Red,5,NA,27_4_2025,64,FSC slip,,NA,2,3,6,High,C,14,148,04/06/2025,NA,,y,middle,NA,ep,3,4.71238898,,NA,NA
101,5,red,AR5,,Adult_local,Red,5,NA,27_4_2025,64,FSC slip,,NA,2,3,6,High,C,14,148,04/06/2025,NA,,y,tip,NA,,,NA,,1,NA
102,6,red,AR6,,Adult_local,Red,6,NA,27_4_2025,92,FSC slip,,NA,2,3,4,High,C,17,140,04/06/2025,NA,,x,base,NA,,,NA,,NA,NA
103,6,red,AR6,,Adult_local,Red,6,NA,27_4_2025,92,FSC slip,,NA,2,3,4,High,C,17,140,04/06/2025,NA,,x,middle,NA,mm,0.2,0.031415927,3,1,NA
104,6,red,AR6,,Adult_local,Red,6,NA,27_4_2025,92,FSC slip,,NA,2,3,4,High,C,17,140,04/06/2025,NA,,x,middle,NA,ep,1.3,0.884881931,,NA,NA
105,6,red,AR6,,Adult_local,Red,6,NA,27_4_2025,92,FSC slip,,NA,2,3,4,High,C,17,140,04/06/2025,NA,,x,tip,NA,,,NA,,NA,NA
106,6,red,AR6,,Adult_local,Red,6,NA,27_4_2025,92,FSC slip,,NA,2,3,4,High,C,17,140,04/06/2025,NA,,y,base,NA,mm,1.8,2.544690049,,1,NA
107,6,red,AR6,,Adult_local,Red,6,NA,27_4_2025,92,FSC slip,,NA,2,3,4,High,C,17,140,04/06/2025,NA,,y,middle,NA,mm,1.2,1.130973355,4,1,NA
108,6,red,AR6,,Adult_local,Red,6,NA,27_4_2025,92,FSC slip,,NA,2,3,4,High,C,17,140,04/06/2025,NA,,y,middle,NA,mm,1.2,1.130973355,,NA,NA
109,6,red,AR6,,Adult_local,Red,6,NA,27_4_2025,92,FSC slip,,NA,2,3,4,High,C,17,140,04/06/2025,NA,,y,middle,NA,mm,1.2,1.130973355,,NA,NA
110,6,red,AR6,,Adult_local,Red,6,NA,27_4_2025,92,FSC slip,,NA,2,3,4,High,C,17,140,04/06/2025,NA,,y,tip,NA,,,NA,,NA,NA
111,6,white,AW6,,Adult_local,White,6,NA,27_4_2025,180,FSC slip,,NA,2,1,4,High,N,16,101,04/06/2025,NA,,x,base,NA,,,NA,,NA,NA
112,6,white,AW6,,Adult_local,White,6,NA,27_4_2025,180,FSC slip,,NA,2,1,4,High,N,16,101,04/06/2025,NA,,x,middle,NA,,,NA,,NA,NA
113,6,white,AW6,,Adult_local,White,6,NA,27_4_2025,180,FSC slip,,NA,2,1,4,High,N,16,101,04/06/2025,NA,,x,tip,NA,,,NA,,NA,NA
114,6,white,AW6,,Adult_local,White,6,NA,27_4_2025,180,FSC slip,,NA,2,1,4,High,N,16,101,04/06/2025,NA,,y,base,NA,,,NA,,NA,NA
115,6,white,AW6,,Adult_local,White,6,NA,27_4_2025,180,FSC slip,,NA,2,1,4,High,N,16,101,04/06/2025,NA,,y,middle,NA,,,NA,,1,NA
116,6,white,AW6,,Adult_local,White,6,NA,27_4_2025,180,FSC slip,,NA,2,1,4,High,N,16,101,04/06/2025,NA,,y,tip,NA,mm,0.2,0.031415927,3,1,NA
117,7,red,AR7,,Adult_local,Red,7,NA,27_4_2025,60,FSC slip,,NA,2,1,3,Low,N,19,110,04/06/2025,NA,meristem only:clean,,,NA,,,NA,,NA,NA
118,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,x,base,NA,,,NA,,NA,NA
119,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,x,middle,NA,mm,1,0.785398163,,NA,NA
120,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,x,middle,NA,mm,0.2,0.031415927,,1,NA
121,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,x,tip,NA,mm,0.2,0.031415927,,NA,NA
122,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,x,tip,NA,mm,0.4,0.125663706,,NA,NA
123,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,x,tip,NA,mm,0.4,0.125663706,,NA,NA
124,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,x,tip,NA,mm,0.3,0.070685835,,NA,NA
125,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,x,tip,NA,mm,0.3,0.070685835,,NA,NA
126,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,y,base,NA,,,NA,,NA,NA
127,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,y,middle,NA,ep,0.5,0.130899694,,NA,NA
128,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,y,middle,NA,mm,1.5,1.767145868,,NA,NA
129,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,y,middle,NA,mm,0.2,0.031415927,,NA,NA
130,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,y,tip,NA,mm,0.3,0.070685835,,NA,NA
131,7,white,AW7,,Adult_local,White,7,NA,27_4_2025,190,FSC slip,,NA,2,3,7,Low,C,15,141,04/06/2025,NA,,y,tip,NA,mm,0.3,0.070685835,,NA,NA
132,8,white,AW8,,Adult_local,White,8,NA,27_4_2025,170,FSC slip,,NA,2,1,2,High,N,11,109,04/06/2025,NA,,x,base,NA,mm,0.5,0.196349541,,NA,NA
133,8,white,AW8,,Adult_local,White,8,NA,27_4_2025,170,FSC slip,,NA,2,1,2,High,N,11,109,04/06/2025,NA,,x,base,NA,mm,0.5,0.196349541,,NA,NA
134,8,white,AW8,,Adult_local,White,8,NA,27_4_2025,170,FSC slip,,NA,2,1,2,High,N,11,109,04/06/2025,NA,,x,base,NA,mm,0.2,0.031415927,,NA,NA
135,8,white,AW8,,Adult_local,White,8,NA,27_4_2025,170,FSC slip,,NA,2,1,2,High,N,11,109,04/06/2025,NA,,x,middle,NA,mm,0.5,0.196349541,,NA,NA
136,8,white,AW8,,Adult_local,White,8,NA,27_4_2025,170,FSC slip,,NA,2,1,2,High,N,11,109,04/06/2025,NA,,x,middle,NA,mm,0.4,0.125663706,,NA,NA
137,8,white,AW8,,Adult_local,White,8,NA,27_4_2025,170,FSC slip,,NA,2,1,2,High,N,11,109,04/06/2025,NA,,x,tip,NA,mm,0.2,0.031415927,,3,NA
138,8,white,AW8,,Adult_local,White,8,NA,27_4_2025,170,FSC slip,,NA,2,1,2,High,N,11,109,04/06/2025,NA,,y,base,NA,mm,0.5,0.196349541,5,NA,NA
139,8,white,AW8,,Adult_local,White,8,NA,27_4_2025,170,FSC slip,,NA,2,1,2,High,N,11,109,04/06/2025,NA,,y,middle,NA,,,NA,4,NA,NA
140,8,white,AW8,,Adult_local,White,8,NA,27_4_2025,170,FSC slip,,NA,2,1,2,High,N,11,109,04/06/2025,NA,,y,tip,NA,mm,0.4,0.125663706,,1,NA
141,9,orange,AO9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/06/2025,NA,tag only,,,NA,,,NA,,NA,NA
142,9,green,AG9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/06/2025,NA,,y,tip,NA,ep,0.1,0.005235988,,NA,NA
