rank,tag_no_x,tag_color,seaweed_id,age,rock_no_x,epibiont_sampling_date,blade_length,notes,blade_side,blade_zone,blade_no,species,colony_length_max,colony_area,species_count,set_date,origin,biofouling_removed_14_5_25,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,swab_prior_enrichment,swab_after_ernichment_16_5
47,2,White,AW2,adult,NA,12/06/2025,120,,x,tip,NA,Pilosa,1,0.523598776,,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
48,2,White,AW2,adult,NA,12/06/2025,120,,y,middle,NA,Pilosa,1,0.523598776,,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
49,2,White,AW2,adult,NA,12/06/2025,120,,y,tip,NA,Pilosa,1,0.523598776,,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
50,2,White,AW2,adult,NA,12/06/2025,120,,x,middle,NA,Spirobranchus,,NA,4,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
51,2,White,AW2,adult,NA,12/06/2025,120,,x,tip,NA,Spirobranchus,1,NA,3,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
52,2,White,AW2,adult,NA,12/06/2025,120,,y,base,NA,Spirobranchus,,NA,1,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
53,2,White,AW2,adult,NA,12/06/2025,120,,y,middle,NA,Spirobranchus,1,NA,2,13_5_2025,FSC slip,,NA,3,3,Low,C,82,147
54,4,White,AW4,adult,NA,04/06/2025,130,,x,middle,NA,Membranipora,1.3,1.327322896,5,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
55,4,White,AW4,adult,NA,04/06/2025,130,,x,middle,NA,Membranipora,0.2,0.031415927,,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
56,4,White,AW4,adult,NA,04/06/2025,130,,x,middle,NA,Membranipora,0.1,0.007853982,,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
57,4,White,AW4,adult,NA,04/06/2025,130,,x,tip,NA,Membranipora,0.2,0.031415927,3,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
58,4,White,AW4,adult,NA,04/06/2025,130,,y,middle,NA,Membranipora,0.4,0.125663706,1,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
59,4,White,AW4,adult,NA,04/06/2025,130,,x,middle,NA,Membranipora,0.5,0.196349541,,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
60,4,White,AW4,adult,NA,04/06/2025,130,,x,middle,NA,Membranipora,0.1,0.007853982,,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
61,4,White,AW4,adult,NA,04/06/2025,130,,x,tip,NA,Membranipora,0.3,0.070685835,,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
62,4,White,AW4,adult,NA,04/06/2025,130,,x,tip,NA,Membranipora,0.1,0.007853982,,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
63,4,White,AW4,adult,NA,04/06/2025,130,,x,middle,NA,Pilosa,1.2,0.753982237,1,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
64,4,White,AW4,adult,NA,04/06/2025,130,,y,tip,NA,Pilosa,0.3,0.04712389,1,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
65,4,White,AW4,adult,NA,04/06/2025,130,,x,base,NA,Spirobranchus,,NA,1,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
66,4,White,AW4,adult,NA,04/06/2025,130,,x,middle,NA,Spirobranchus,1.2,NA,1,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
67,4,White,AW4,adult,NA,12/06/2025,130,,y,base,NA,Membranipora,0.2,0.031415927,,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
68,4,White,AW4,adult,NA,12/06/2025,130,,y,base,NA,Membranipora,0.2,0.031415927,,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
69,4,White,AW4,adult,NA,12/06/2025,130,,y,base,NA,Membranipora,0.2,0.031415927,,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
70,4,White,AW4,adult,NA,12/06/2025,130,base only,x,base,NA,Spirobranchus,,NA,4,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
71,4,White,AW4,adult,NA,12/06/2025,130,,y,base,NA,Spirobranchus,0.2,NA,4,13_5_2025,FSC slip,,NA,1,6,High,N,83,105
72,9,Red,AR9,adult,NA,04/06/2025,130,,y,middle,NA,Hydrozoa,0.8,NA,1,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
73,9,Red,AR9,adult,NA,04/06/2025,130,,x,middle,NA,Membranipora,0.6,0.282743339,1,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
74,9,Red,AR9,adult,NA,04/06/2025,130,,x,tip,NA,Membranipora,0.3,0.070685835,1,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
75,9,Red,AR9,adult,NA,04/06/2025,130,,y,middle,NA,Membranipora,0.8,0.502654825,1,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
76,9,Red,AR9,adult,NA,04/06/2025,130,,x,middle,NA,Pilosa,0.5,0.130899694,2,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
77,9,Red,AR9,adult,NA,04/06/2025,130,,x,middle,NA,Pilosa,0.3,0.04712389,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
78,9,Red,AR9,adult,NA,04/06/2025,130,,x,tip,NA,Pilosa,0.6,0.188495559,1,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
79,9,Red,AR9,adult,NA,12/06/2025,130,,x,middle,NA,Membranipora,1,0.785398163,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
80,9,Red,AR9,adult,NA,12/06/2025,130,,x,tip,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
81,9,Red,AR9,adult,NA,12/06/2025,130,,x,tip,NA,Membranipora,0.1,0.007853982,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
82,9,Red,AR9,adult,NA,12/06/2025,130,,y,middle,NA,Membranipora,0.7,0.3848451,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
83,9,Red,AR9,adult,NA,12/06/2025,130,,y,middle,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
84,9,Red,AR9,adult,NA,12/06/2025,130,,y,middle,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
85,9,Red,AR9,adult,NA,12/06/2025,130,,y,middle,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
86,9,Red,AR9,adult,NA,12/06/2025,130,,x,tip,NA,Pilosa,1,0.523598776,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
87,9,Red,AR9,adult,NA,12/06/2025,130,,x,tip,NA,Pilosa,1,0.523598776,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
88,9,Red,AR9,adult,NA,12/06/2025,130,,x,tip,NA,Pilosa,0.5,0.130899694,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
89,9,Red,AR9,adult,NA,12/06/2025,130,,y,middle,NA,Pilosa,1.1,0.633554518,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
90,9,Red,AR9,adult,NA,12/06/2025,130,,y,middle,NA,Pilosa,1,0.523598776,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
91,9,Red,AR9,adult,NA,12/06/2025,130,,y,middle,NA,Pilosa,0.6,0.188495559,,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
92,9,Red,AR9,adult,NA,12/06/2025,130,,x,base,NA,Spirobranchus,,NA,1,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
93,9,Red,AR9,adult,NA,12/06/2025,130,,x,middle,NA,Spirobranchus,1,NA,2,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
94,9,Red,AR9,adult,NA,12/06/2025,130,,x,tip,NA,Spirobranchus,0.1,NA,1,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
95,9,Red,AR9,adult,NA,12/06/2025,130,,y,middle,NA,Spirobranchus,1.1,NA,3,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
96,9,Red,AR9,adult,NA,12/06/2025,130,,y,tip,NA,Spirobranchus,,NA,1,27_4_2025,FSC slip,,NA,2,6,High,P,84,120
97,1,Red,AR1,adult,NA,02/07/2025,100,,x,base,NA,Hydrozoa,,NA,3,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
98,1,Red,AR1,adult,NA,02/07/2025,100,,x,base,NA,Membranipora,0.5,0.196349541,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
99,1,Red,AR1,adult,NA,02/07/2025,100,,x,base,NA,Membranipora,0.5,0.196349541,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
100,1,Red,AR1,adult,NA,02/07/2025,100,,y,base,NA,Membranipora,2.5,4.908738521,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
101,1,Red,AR1,adult,NA,02/07/2025,100,,y,base,NA,Membranipora,0.5,0.196349541,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
102,1,Red,AR1,adult,NA,02/07/2025,100,,x,base,NA,Pilosa,2.5,3.272492347,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
103,1,Red,AR1,adult,NA,02/07/2025,100,,x,base,NA,Pilosa,2,2.094395102,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
104,1,Red,AR1,adult,NA,02/07/2025,100,,x,base,NA,Pilosa,2.5,3.272492347,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
105,1,Red,AR1,adult,NA,02/07/2025,100,,x,base,NA,Pilosa,2,2.094395102,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
106,1,Red,AR1,adult,NA,02/07/2025,100,,y,base,NA,Pilosa,1.5,1.178097245,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
107,1,Red,AR1,adult,NA,02/07/2025,100,,x,base,NA,Spirobranchus,,NA,3,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
108,1,Red,AR1,adult,NA,02/07/2025,100,,y,base,NA,Spirobranchus,,NA,9,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
109,1,Red,AR1,adult,NA,04/06/2025,100,,x,base,NA,Hydrozoa,0.2,NA,1,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
110,1,Red,AR1,adult,NA,04/06/2025,100,,y,middle,NA,Hydrozoa,0.2,NA,4,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
111,1,Red,AR1,adult,NA,04/06/2025,100,,x,base,NA,Membranipora,0.2,0.031415927,3,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
112,1,Red,AR1,adult,NA,04/06/2025,100,,x,base,NA,Membranipora,0.1,0.007853982,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
113,1,Red,AR1,adult,NA,04/06/2025,100,,x,base,NA,Membranipora,0.3,0.070685835,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
114,1,Red,AR1,adult,NA,04/06/2025,100,,x,middle,NA,Membranipora,0.3,0.070685835,6,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
115,1,Red,AR1,adult,NA,04/06/2025,100,,x,middle,NA,Membranipora,0.4,0.125663706,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
116,1,Red,AR1,adult,NA,04/06/2025,100,,x,middle,NA,Membranipora,0.3,0.070685835,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
117,1,Red,AR1,adult,NA,04/06/2025,100,,x,middle,NA,Membranipora,0.4,0.125663706,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
118,1,Red,AR1,adult,NA,04/06/2025,100,,x,middle,NA,Membranipora,0.3,0.070685835,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
119,1,Red,AR1,adult,NA,04/06/2025,100,,x,middle,NA,Membranipora,0.4,0.125663706,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
120,1,Red,AR1,adult,NA,04/06/2025,100,,y,base,NA,Membranipora,0.3,0.070685835,4,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
121,1,Red,AR1,adult,NA,04/06/2025,100,,y,base,NA,Membranipora,0.1,0.007853982,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
122,1,Red,AR1,adult,NA,04/06/2025,100,,y,base,NA,Membranipora,0.1,0.007853982,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
123,1,Red,AR1,adult,NA,04/06/2025,100,,y,middle,NA,Membranipora,1.3,1.327322896,3,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
124,1,Red,AR1,adult,NA,04/06/2025,100,,y,middle,NA,Membranipora,0.4,0.125663706,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
125,1,Red,AR1,adult,NA,04/06/2025,100,,y,middle,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
126,1,Red,AR1,adult,NA,04/06/2025,100,,x,base,NA,Pilosa,0.7,0.2565634,1,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
127,1,Red,AR1,adult,NA,04/06/2025,100,,x,middle,NA,Pilosa,0.7,0.2565634,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
128,1,Red,AR1,adult,NA,04/06/2025,100,,y,base,NA,Pilosa,0.5,0.130899694,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
129,1,Red,AR1,adult,NA,04/06/2025,100,,y,middle,NA,Pilosa,0.2,0.020943951,2,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
130,1,Red,AR1,adult,NA,04/06/2025,100,,y,middle,NA,Pilosa,1,0.523598776,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
131,1,Red,AR1,adult,NA,04/06/2025,100,,x,base,NA,Spirobranchus,0.2,NA,1,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
132,1,Red,AR1,adult,NA,04/06/2025,100,,y,base,NA,Spirobranchus,0.3,NA,2,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
133,1,Red,AR1,adult,NA,04/06/2025,100,,y,middle,NA,Spirobranchus,0.2,NA,1,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
134,1,Red,AR1,adult,NA,12/06/2025,100,,y,middle,NA,Hydrozoa,1.5,NA,1,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
135,1,Red,AR1,adult,NA,12/06/2025,100,,y,tip,NA,Hydrozoa,0.4,NA,1,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
136,1,Red,AR1,adult,NA,12/06/2025,100,,x,base,NA,Membranipora,0.3,0.070685835,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
137,1,Red,AR1,adult,NA,12/06/2025,100,,x,base,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
138,1,Red,AR1,adult,NA,12/06/2025,100,,x,base,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
139,1,Red,AR1,adult,NA,12/06/2025,100,,x,middle,NA,Membranipora,1.5,1.767145868,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
140,1,Red,AR1,adult,NA,12/06/2025,100,,x,middle,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
141,1,Red,AR1,adult,NA,12/06/2025,100,,x,middle,NA,Membranipora,0.4,0.125663706,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
142,1,Red,AR1,adult,NA,12/06/2025,100,,x,middle,NA,Membranipora,0.5,0.196349541,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
143,1,Red,AR1,adult,NA,12/06/2025,100,,y,base,NA,Membranipora,2,3.141592654,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
144,1,Red,AR1,adult,NA,12/06/2025,100,,y,base,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
145,1,Red,AR1,adult,NA,12/06/2025,100,,x,base,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
146,1,Red,AR1,adult,NA,12/06/2025,100,,y,middle,NA,Membranipora,0.3,0.070685835,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
147,1,Red,AR1,adult,NA,12/06/2025,100,,y,tip,NA,Membranipora,0.4,0.125663706,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
148,1,Red,AR1,adult,NA,12/06/2025,100,,x,base,NA,Pilosa,1.1,0.633554518,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
149,1,Red,AR1,adult,NA,12/06/2025,100,,x,base,NA,Pilosa,1.1,0.633554518,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
150,1,Red,AR1,adult,NA,12/06/2025,100,,x,base,NA,Pilosa,0.6,0.188495559,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
151,1,Red,AR1,adult,NA,12/06/2025,100,,x,base,NA,Pilosa,0.2,0.020943951,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
152,1,Red,AR1,adult,NA,12/06/2025,100,,x,middle,NA,Pilosa,1.4,1.0262536,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
153,1,Red,AR1,adult,NA,12/06/2025,100,,x,middle,NA,Pilosa,0.3,0.04712389,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
154,1,Red,AR1,adult,NA,12/06/2025,100,,x,middle,NA,Pilosa,0.5,0.130899694,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
155,1,Red,AR1,adult,NA,12/06/2025,100,,x,middle,NA,Pilosa,0.5,0.130899694,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
156,1,Red,AR1,adult,NA,12/06/2025,100,,x,middle,NA,Pilosa,0.3,0.04712389,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
157,1,Red,AR1,adult,NA,12/06/2025,100,,y,middle,NA,Pilosa,1.5,1.178097245,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
158,1,Red,AR1,adult,NA,12/06/2025,100,,y,middle,NA,Pilosa,0.6,0.188495559,,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
159,1,Red,AR1,adult,NA,12/06/2025,100,,y,base,NA,Spirobranchus,2,NA,3,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
160,1,Red,AR1,adult,NA,12/06/2025,100,,y,middle,NA,Spirobranchus,1.5,NA,1,27_4_2025,FSC slip,,3,1,7,Low,N,8,102
161,2,Red,AR2,adult,NA,04/06/2025,110,,x,base,NA,Hydrozoa,,NA,3,27_4_2025,FSC slip,,4,2,7,Low,P,2,128
162,2,Red,AR2,adult,NA,04/06/2025,110,,x,middle,NA,Membranipora,0.2,0.031415927,5,27_4_2025,FSC slip,,4,2,7,Low,P,2,128
163,2,Red,AR2,adult,NA,04/06/2025,110,,x,middle,NA,Membranipora,0.2,0.031415927,,27_4_2025,FSC slip,,4,2,7,Low,P,2,128
164,2,Red,AR2,adult,NA,04/06/2025,110,,x,middle,NA,Membranipora,0.1,0.007853982,,27_4_2025,FSC slip,,4,2,7,Low,P,2,128
165,2,Red,AR2,adult,NA,04/06/2025,110,,x,middle,NA,Membranipora,1,0.785398163,,27_4_2025,FSC slip,,4,2,7,Low,P,2,128
166,2,Red,AR2,adult,NA,04/06/2025,110,,x,middle,NA,Membranipora,1,0.785398163,,27_4_2025,FSC slip,,4,2,7,Low,P,2,128
167,2,Red,AR2,adult,NA,04/06/2025,110,,y,base,NA,Membranipora,1.5,1.767145868,3,27_4_2025,FSC slip,,4,2,7,Low,P,2,128
168,2,Red,AR2,adult,NA,04/06/2025,110,,y,middle,NA,Membranipora,0.5,0.196349541,,27_4_2025,FSC slip,,4,2,7,Low,P,2,128
169,2,Red,AR2,adult,NA,04/06/2025,110,,y,middle,NA,Membranipora,0.5,0.196349541,,27_4_2025,FSC slip,,4,2,7,Low,P,2,128
170,2,Red,AR2,adult,NA,04/06/2025,110,,x,middle,NA,Pilosa,1,0.523598776,1,27_4_2025,FSC slip,,4,2,7,Low,P,2,128
