tag_no,tag_colour,seaweed_id,rock_no,date_sampled,blade_length,notes,blade_side,blade_zone,blade_no,species,colony_length_max,colony_area,hydrozoan_count,spirobranchus_count,no_long_m
,orange_yellow,YO11,11,12/06/2025,60,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,60,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,60,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,60,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,30,,,,2,Membranipora,3,7.068583471,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,60,,,,1,Pilosa,1,0.523598776,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,60,,,,1,Pilosa,1,0.523598776,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,30,,,,2,Pilosa,1.3,0.884881931,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,30,,,,2,Pilosa,1,0.523598776,NA,NA,NA
,orange_yellow,YO11,11,12/06/2025,30,,,,2,Spirobranchus,3,NA,NA,3,NA
,orange_yellow,YO11,11,12/06/2025,60,,,,1,Spirobranchus,1,NA,NA,5,NA
,orange_yellow,YO11,11,12/06/2025,35,,,,3,Spirobranchus,,NA,NA,2,NA
,orange_yellow,YO11,11,12/06/2025,25,,,,4,Spirobranchus,,NA,NA,2,NA
,orange_yellow,YO12,12,04/06/2025,50,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO12,12,04/06/2025,50,,,,1,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO12,12,04/06/2025,NA,,,,2,Membranipora,0.1,0.007853982,NA,NA,NA
,orange_yellow,YO12,12,04/06/2025,NA,,,,2,Membranipora,0.1,0.007853982,NA,NA,NA
,orange_yellow,YO12,12,04/06/2025,NA,,,,2,Membranipora,0.8,0.502654825,NA,NA,NA
,orange_yellow,YO12,12,12/06/2025,45,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO12,12,12/06/2025,NA,,,,2,,,NA,NA,NA,NA
,orange_yellow,YO12,12,12/06/2025,24,,,,3,,,NA,NA,NA,NA
,orange_yellow,YO12,12,12/06/2025,25,,,,4,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO12,12,12/06/2025,NA,,,,2,Spirobranchus,,NA,NA,3,NA
,orange_yellow,YO12,12,12/06/2025,24,,,,3,Spirobranchus,,NA,NA,2,NA
,orange_yellow,YO13,13,04/06/2025,53,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO13,13,04/06/2025,NA,,,,3,,,NA,NA,NA,NA
,orange_yellow,YO13,13,04/06/2025,53,,,,1,Hydrozoa,,NA,1,NA,NA
,orange_yellow,YO13,13,04/06/2025,NA,,,,2,Membranipora,0.1,0.007853982,NA,NA,NA
,orange_yellow,YO13,13,04/06/2025,NA,,,,2,Membranipora,0.1,0.007853982,NA,NA,NA
,orange_yellow,YO13,13,04/06/2025,NA,,,,2,Spirobranchus,0.1,NA,NA,4,NA
,orange_yellow,YO13,13,04/06/2025,NA,,,,2,Spirobranchus,0.1,NA,NA,4,NA
,orange_yellow,YO13,13,12/06/2025,55,,,,2,Spirobranchus,,NA,NA,5,NA
,orange_yellow,YO13,13,12/06/2025,35,,,,3,Spirobranchus,,NA,NA,3,NA
,orange_yellow,YO14,14,04/06/2025,30,,,,1,Hydrozoa,0.6,NA,1,NA,NA
,orange_yellow,YO14,14,04/06/2025,30,,,,1,Membranipora,0.6,0.282743339,NA,NA,NA
,orange_yellow,YO14,14,04/06/2025,30,,,,1,Spirobranchus,0.6,NA,NA,2,NA
,orange_yellow,YO14,14,12/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO15,15,04/06/2025,NA,,,,1,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO15,15,04/06/2025,NA,,,,1,Membranipora,0.8,0.502654825,NA,NA,NA
,orange_yellow,YO15,15,04/06/2025,NA,,,,1,Membranipora,0.3,0.070685835,NA,NA,NA
,orange_yellow,YO15,15,12/06/2025,30,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO16,16,04/06/2025,NA,,,,2,,,NA,NA,NA,NA
,orange_yellow,YO16,16,04/06/2025,50,,,,1,Hydrozoa,0.7,NA,0.4,NA,NA
,orange_yellow,YO16,16,04/06/2025,50,,,,1,Hydrozoa,1.2,NA,1,NA,NA
,orange_yellow,YO16,16,04/06/2025,50,,,,1,Hydrozoa,0.8,NA,1,NA,NA
,orange_yellow,YO16,16,04/06/2025,50,,,,1,Membranipora,1.2,1.130973355,NA,NA,NA
,orange_yellow,YO16,16,04/06/2025,50,,,,1,Membranipora,0.8,0.502654825,NA,NA,NA
,orange_yellow,YO16,16,04/06/2025,50,,,,1,Pilosa,0.7,0.2565634,NA,NA,NA
,orange_yellow,YO16,16,04/06/2025,50,,,,1,Spirobranchus,1.2,NA,NA,2,NA
,orange_yellow,YO16,16,04/06/2025,50,,,,1,Spirobranchus,0.8,NA,NA,2,NA
,orange_yellow,YO16,16,12/06/2025,50,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO16,16,12/06/2025,NA,mia,,,2,,,NA,NA,NA,NA
,orange_yellow,YO16,16,12/06/2025,50,,,,1,Spirobranchus,,NA,NA,4,NA
,orange_yellow,YO17,17,04/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO17,17,12/06/2025,15,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO18,18,04/06/2025,52,clean,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO18,18,12/06/2025,30,1 Pilosaiphytic algae,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO18,18,12/06/2025,30,1 Pilosaiphytic algae,,,NA,Spirobranchus,,NA,NA,6,NA
,orange_yellow,YO19,19,04/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO19,19,12/06/2025,40,,,,1,Hydrozoa,0.3,NA,5,NA,NA
,orange_yellow,YO19,19,12/06/2025,40,,,,2,Hydrozoa,,NA,2,NA,NA
,orange_yellow,YO19,19,12/06/2025,40,,,,1,Membranipora,0.3,0.070685835,NA,NA,NA
,orange_yellow,YO19,NA,12/06/2025,20,,,,3,Spirobranchus,,NA,NA,4,NA
,orange_yellow,YO19,19,12/06/2025,20,,,,3,,,NA,NA,NA,NA
,orange_yellow,YO19,19,12/06/2025,20,,,,4,Pilosa,2.5,3.272492347,NA,NA,NA
,orange_yellow,YO19,19,12/06/2025,20,,,,3,Spirobranchus,,NA,NA,4,NA
,orange_yellow,YO20,20,04/06/2025,37,,,,1,Hydrozoa,0.4,NA,1,NA,NA
,orange_yellow,YO20,20,04/06/2025,37,,,,1,Pilosa,0.4,0.083775804,NA,NA,NA
,orange_yellow,YO20,20,04/06/2025,37,,,,1,Spirobranchus,0.4,NA,NA,2,NA
,orange_yellow,YO20,20,12/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO21,21,04/06/2025,NA,,,,1,Membranipora,1.6,2.010619298,NA,NA,NA
,orange_yellow,YO21,21,04/06/2025,NA,,,,1,Membranipora,1.4,1.5393804,NA,NA,NA
,orange_yellow,YO21,21,12/06/2025,63,,,,1,Membranipora,2,3.141592654,NA,NA,NA
,orange_yellow,YO21,21,12/06/2025,63,,,,1,Membranipora,0.3,0.070685835,NA,NA,NA
,orange_yellow,YO21,21,12/06/2025,63,,,,1,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO21,21,12/06/2025,63,,,,1,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO21,21,12/06/2025,63,,,,1,Membranipora,2,3.141592654,NA,NA,NA
,orange_yellow,YO21,21,12/06/2025,63,,,,1,Pilosa,1,0.523598776,NA,NA,NA
,orange_yellow,YO21,21,12/06/2025,63,,,,1,Spirobranchus,2,NA,NA,14,NA
,orange_yellow,YO22,22,04/06/2025,50,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,7,,,NA,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,2,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,2,Membranipora,0.2,0.031415927,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,3,Membranipora,0.5,0.196349541,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,3,Membranipora,0.5,0.196349541,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,4,Membranipora,0.3,0.070685835,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,6,Membranipora,0.3,0.070685835,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,6,Membranipora,0.3,0.070685835,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,8,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,8,Membranipora,1.2,1.130973355,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,8,Membranipora,1,0.785398163,NA,NA,NA
,orange_yellow,YO22,22,04/06/2025,NA,,,,7,Spirobranchus,,NA,NA,2,NA
,orange_yellow,YO22,22,12/06/2025,66,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO22,22,12/06/2025,42,,,,2,,,NA,NA,NA,NA
,orange_yellow,YO22,22,12/06/2025,28,,,,3,,,NA,NA,NA,NA
,orange_yellow,YO22,22,12/06/2025,30,,,,5,,,NA,NA,NA,NA
,orange_yellow,YO22,22,12/06/2025,33,,,,6,,,NA,NA,NA,NA
,orange_yellow,YO22,22,12/06/2025,52,,,,7,,,NA,NA,NA,NA
,orange_yellow,YO22,22,12/06/2025,30,,,,5,Hydrozoa,,NA,3,NA,NA
,orange_yellow,YO22,22,12/06/2025,27,,,,4,Membranipora,1.2,1.130973355,NA,NA,NA
,orange_yellow,YO22,22,12/06/2025,66,,,,1,Spirobranchus,,NA,NA,2,NA
,orange_yellow,YO22,22,12/06/2025,42,,,,2,Spirobranchus,,NA,NA,1,NA
,orange_yellow,YO22,22,12/06/2025,30,,,,5,Spirobranchus,,NA,NA,1,NA
,orange_yellow,YO22,22,12/06/2025,33,,,,6,Spirobranchus,,NA,NA,1,NA
,orange_yellow,YO23,23,04/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO23,23,12/06/2025,32,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO23,23,12/06/2025,32,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO23,23,12/06/2025,32,,,,1,,,NA,NA,NA,NA
,orange_yellow,YO23,23,12/06/2025,32,,,,1,Hydrozoa,,NA,12,NA,NA
,orange_yellow,YO23,23,12/06/2025,32,,,,1,Spirobranchus,,NA,NA,6,NA
,orange_yellow,YO24,24,04/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO25,25,04/06/2025,NA,mia,,,NA,,,NA,NA,NA,NA
,orange_yellow,YO25,25,12/06/2025,50,,,,2,,,NA,NA,NA,NA
,orange_yellow,YO25,25,12/06/2025,40,,,,3,,,NA,NA,NA,NA
,orange_yellow,YO25,25,12/06/2025,30,,,,4,,,NA,NA,NA,NA
,orange_yellow,YO25,25,12/06/2025,50,,,,2,Hydrozoa,,NA,2,NA,NA
,orange_yellow,YO25,25,12/06/2025,80,,,,1,Pilosa,1,0.523598776,NA,NA,NA
,orange_yellow,YO25,25,12/06/2025,80,,,,1,Spirobranchus,1,NA,NA,1,NA
,orange_yellow,YO25,25,12/06/2025,30,,,,4,Spirobranchus,,NA,NA,2,NA
1,red,AR1,NA,02/07/2025,NA,,x,base,NA,,,NA,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,x,base,NA,,,NA,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,y,base,NA,,,NA,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,x,base,NA,Hydrozoa,,NA,3,NA,NA
1,red,AR1,NA,02/07/2025,NA,,x,base,NA,Membranipora,0.5,0.196349541,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,x,base,NA,Membranipora,0.5,0.196349541,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,y,base,NA,Membranipora,2.5,4.908738521,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,y,base,NA,Membranipora,0.5,0.196349541,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,x,base,NA,Pilosa,2.5,3.272492347,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,x,base,NA,Pilosa,2,2.094395102,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,x,base,NA,Pilosa,2.5,3.272492347,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,x,base,NA,Pilosa,2,2.094395102,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,y,base,NA,Pilosa,1.5,1.178097245,NA,NA,NA
1,red,AR1,NA,02/07/2025,NA,,x,base,NA,Spirobranchus,,NA,NA,3,NA
1,red,AR1,NA,02/07/2025,NA,,y,base,NA,Spirobranchus,,NA,NA,9,NA
1,red,AR1,NA,04/06/2025,NA,,x,tip,NA,,,NA,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,tip,NA,,,NA,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,base,NA,Hydrozoa,0.2,NA,1,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,middle,NA,Hydrozoa,0.2,NA,4,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,base,NA,Membranipora,0.2,0.031415927,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,base,NA,Membranipora,0.1,0.007853982,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,base,NA,Membranipora,0.3,0.070685835,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,middle,NA,Membranipora,0.3,0.070685835,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,middle,NA,Membranipora,0.4,0.125663706,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,middle,NA,Membranipora,0.3,0.070685835,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,middle,NA,Membranipora,0.4,0.125663706,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,middle,NA,Membranipora,0.3,0.070685835,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,middle,NA,Membranipora,0.4,0.125663706,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,base,NA,Membranipora,0.3,0.070685835,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,base,NA,Membranipora,0.1,0.007853982,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,base,NA,Membranipora,0.1,0.007853982,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,middle,NA,Membranipora,1.3,1.327322896,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,middle,NA,Membranipora,0.4,0.125663706,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,middle,NA,Membranipora,0.2,0.031415927,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,base,NA,Pilosa,0.7,0.2565634,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,middle,NA,Pilosa,0.7,0.2565634,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,base,NA,Pilosa,0.5,0.130899694,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,middle,NA,Pilosa,0.2,0.020943951,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,y,middle,NA,Pilosa,1,0.523598776,NA,NA,NA
1,red,AR1,NA,04/06/2025,NA,,x,base,NA,Spirobranchus,0.2,NA,NA,1,NA
1,red,AR1,NA,04/06/2025,NA,,y,base,NA,Spirobranchus,0.3,NA,NA,2,NA
1,red,AR1,NA,04/06/2025,NA,,y,middle,NA,Spirobranchus,0.2,NA,NA,1,NA
1,red,AR1,NA,12/06/2025,NA,,x,tip,NA,,,NA,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,y,middle,NA,Hydrozoa,1.5,NA,1,NA,NA
1,red,AR1,NA,12/06/2025,NA,,y,tip,NA,Hydrozoa,0.4,NA,1,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,base,NA,Membranipora,0.3,0.070685835,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,base,NA,Membranipora,0.2,0.031415927,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,base,NA,Membranipora,0.2,0.031415927,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,middle,NA,Membranipora,1.5,1.767145868,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,middle,NA,Membranipora,0.2,0.031415927,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,middle,NA,Membranipora,0.4,0.125663706,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,middle,NA,Membranipora,0.5,0.196349541,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,y,base,NA,Membranipora,2,3.141592654,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,y,base,NA,Membranipora,0.2,0.031415927,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,base,NA,Membranipora,0.2,0.031415927,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,y,middle,NA,Membranipora,0.3,0.070685835,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,y,tip,NA,Membranipora,0.4,0.125663706,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,base,NA,Pilosa,1.1,0.633554518,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,base,NA,Pilosa,1.1,0.633554518,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,base,NA,Pilosa,0.6,0.188495559,NA,NA,NA
1,red,AR1,NA,12/06/2025,NA,,x,base,NA,Pilosa,0.2,0.020943951,NA,NA,NA
