"","age","biofouling_removed_14_5_25.x","biofouling_removed_14_5_25.y","blade_length_in_experiment","blade_length_pre_experiment.x","blade_length_pre_experiment.y","blade_side","blade_zone","bryozoan_colony_area","bryozoan_colony_length_max","date.x","date.y","epibiont_sampling","hydrozoan_counts","initial_tank.x","initial_tank.y","main_experiment_tank.x","main_experiment_tank.y","no_blades","no_young_blades_per_rock","notes","nutrient_treatment.x","nutrient_treatment.y","nutrient_treatment_tank.x","nutrient_treatment_tank.y","origin.x","origin.y","origin_kelp.x","origin_kelp.y","rank","rank_of_blade_on_rock","rock_no","rock_number.x","rock_number.y","seaweed_id","species","spirobranchus_counts","swab_after_enrichment_16_5","swab_after_ernichment_16_5","swab_prior_enrichment.x","swab_prior_enrichment.y","tag_color.x","tag_color.y","tag_colour","tag_no_x","tag_no_y","tank","turbulence.x","turbulence.y"
"11","","","","18",43,NA,"","",0.785398163,"1","12_5_2025","12_5_2025","04/06/2025","",5,NA,7,7,1,NA,"","N","N",1,1,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,1,1,1,"YO01","mm",NA,"163",NA,39,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low","Low"
"12","","","","",43,NA,"","",NA,"","12_5_2025","12_5_2025","04/06/2025","4",5,NA,7,7,1,NA,"","N","N",1,1,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,1,1,1,"YO01","",NA,"163",NA,39,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low","Low"
"13","","","","",43,NA,"","",NA,"","12_5_2025","12_5_2025","12/06/2025","",5,NA,7,7,1,NA,"mia","N","N",1,1,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,NA,1,1,1,"YO01","",NA,"163",NA,39,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low","Low"
"14","","","","50",65,NA,"","",0.2565634,"0.7","12_5_2025","","04/06/2025","0.4",7,NA,5,NA,7,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,16,16,NA,"YO16","ep",NA,"177",NA,29,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"15","","","","",65,NA,"","",NA,"","12_5_2025","","04/06/2025","",7,NA,5,NA,7,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,16,16,NA,"YO16","",NA,"177",NA,29,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"16","","","","50",65,NA,"","",1.130973355,"1.2","12_5_2025","","04/06/2025","1",7,NA,5,NA,7,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,16,16,NA,"YO16","mm",2,"177",NA,29,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"17","","","","50",65,NA,"","",0.502654825,"0.8","12_5_2025","","04/06/2025","1",7,NA,5,NA,7,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,16,16,NA,"YO16","mm",2,"177",NA,29,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"18","","","","50",65,NA,"","",NA,"","12_5_2025","","12/06/2025","",7,NA,5,NA,7,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,16,16,NA,"YO16","",4,"177",NA,29,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"19","","","","",65,NA,"","",NA,"","12_5_2025","","12/06/2025","",7,NA,5,NA,7,NA,"mia","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,16,16,NA,"YO16","",NA,"177",NA,29,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"20","","","","26",47,NA,"","",2.010619298,"1.6","12_5_2025","","04/06/2025","",5,NA,3,NA,3,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,4,4,NA,"YO04","mm",NA,"165",NA,36,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"21","","","","50",47,NA,"","",0.785398163,"1","12_5_2025","","12/06/2025","",5,NA,3,NA,3,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,4,4,NA,"YO04","mm",2,"165",NA,36,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"22","","","","50",39,NA,"","",NA,"","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,22,22,NA,"YO22","",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"23","","","","",39,NA,"","",NA,"","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,7,22,22,NA,"YO22","",2,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"24","","","","",39,NA,"","",0.031415927,"0.2","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"25","","","","",39,NA,"","",0.031415927,"0.2","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"26","","","","",39,NA,"","",0.196349541,"0.5","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,3,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"27","","","","",39,NA,"","",0.196349541,"0.5","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,3,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"28","","","","",39,NA,"","",0.070685835,"0.3","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,4,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"29","","","","",39,NA,"","",0.070685835,"0.3","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,6,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"30","","","","",39,NA,"","",0.070685835,"0.3","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,6,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"31","","","","",39,NA,"","",0.785398163,"1","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,8,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"32","","","","66",39,NA,"","",NA,"","12_5_2025","","12/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,22,22,NA,"YO22","",2,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"33","","","","42",39,NA,"","",NA,"","12_5_2025","","12/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,22,22,NA,"YO22","",1,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"34","","","","28",39,NA,"","",NA,"","12_5_2025","","12/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,3,22,22,NA,"YO22","",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"35","","","","",39,NA,"","",1.130973355,"1.2","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,8,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"36","","","","30",39,NA,"","",NA,"","12_5_2025","","12/06/2025","3",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,5,22,22,NA,"YO22","",1,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"37","","","","33",39,NA,"","",NA,"","12_5_2025","","12/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,6,22,22,NA,"YO22","",1,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"38","","","","52",39,NA,"","",NA,"","12_5_2025","","12/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,7,22,22,NA,"YO22","",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"39","","","","",39,NA,"","",0.785398163,"1","12_5_2025","","04/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,8,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"40","","","","27",39,NA,"","",1.130973355,"1.2","12_5_2025","","12/06/2025","",6,NA,4,NA,15,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,4,22,22,NA,"YO22","mm",NA,"182",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"41","","","","66",62,NA,"","",0.424115008,"0.9","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","ep",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"42","","","","66",62,NA,"","",0.335103216,"0.8","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","ep",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"43","","","","",62,NA,"","",0.523598776,"1","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,11,11,NA,"YO11","ep",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"44","","","","",62,NA,"","",2.094395102,"2","12_5_2025","","04/06/2025","9",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,3,11,11,NA,"YO11","ep",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"45","","","","",62,NA,"","",0.424115008,"0.9","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,11,11,NA,"YO11","ep",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"46","","","","",62,NA,"","",0.083775804,"0.4","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,11,11,NA,"YO11","ep",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"47","","","","",62,NA,"","",NA,"","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,4,11,11,NA,"YO11","",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"48","","","","66",62,NA,"","",0.031415927,"0.2","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"49","","","","66",62,NA,"","",0.007853982,"0.1","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"50","","","","66",62,NA,"","",0.007853982,"0.1","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"51","","","","66",62,NA,"","",0.007853982,"0.1","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"52","","","","66",62,NA,"","",0.031415927,"0.2","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"53","","","","66",62,NA,"","",0.070685835,"0.3","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"54","","","","66",62,NA,"","",0.031415927,"0.2","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"55","","","","",62,NA,"","",1.327322896,"1.3","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"56","","","","",62,NA,"","",0.007853982,"0.1","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"57","","","","",62,NA,"","",0.007853982,"0.1","12_5_2025","","04/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"58","","","","60",62,NA,"","",0.031415927,"0.2","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"59","","","","60",62,NA,"","",0.031415927,"0.2","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"60","","","","60",62,NA,"","",0.031415927,"0.2","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"61","","","","60",62,NA,"","",0.031415927,"0.2","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"62","","","","60",62,NA,"","",0.031415927,"0.2","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","mm",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"63","","","","30",62,NA,"","",7.068583471,"3","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,11,11,NA,"YO11","mm",3,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"64","","","","60",62,NA,"","",0.523598776,"1","12_5_2025","","12/06/2025","1",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","ep",5,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"65","","","","60",62,NA,"","",0.523598776,"1","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,11,11,NA,"YO11","ep",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"66","","","","30",62,NA,"","",0.884881931,"1.3","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,11,11,NA,"YO11","ep",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"67","","","","30",62,NA,"","",0.523598776,"1","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,2,11,11,NA,"YO11","ep",NA,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"68","","","","35",62,NA,"","",NA,"","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,3,11,11,NA,"YO11","",2,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"69","","","","25",62,NA,"","",NA,"","12_5_2025","","12/06/2025","",7,NA,4,NA,4,NA,"","N","",1,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,4,11,11,NA,"YO11","",2,"160",NA,26,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"70","","","","",39,NA,"","",NA,"","12_5_2025","","04/06/2025","",5,NA,2,NA,3,NA,"mia","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,NA,23,23,NA,"YO23","",NA,"176",NA,76,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"71","","","","32",39,NA,"","",NA,"","12_5_2025","","12/06/2025","12",5,NA,2,NA,3,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,23,23,NA,"YO23","",6,"176",NA,76,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"72","","","","32",39,NA,"","",NA,"","12_5_2025","","12/06/2025","",5,NA,2,NA,3,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,23,23,NA,"YO23","",NA,"176",NA,76,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"73","","","","32",39,NA,"","",NA,"","12_5_2025","","12/06/2025","",5,NA,2,NA,3,NA,"","C","",3,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,23,23,NA,"YO23","",NA,"176",NA,76,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"High",""
"74","","1 juvenile mussel","","",36,NA,"","",2.010619298,"1.6","12_5_2025","","04/06/2025","",6,NA,3,NA,7,NA,"","P","",2,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,21,21,NA,"YO21","mm",NA,"174",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"75","","1 juvenile mussel","","",36,NA,"","",1.5393804,"1.4","12_5_2025","","04/06/2025","",6,NA,3,NA,7,NA,"","P","",2,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,21,21,NA,"YO21","mm",NA,"174",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"76","","1 juvenile mussel","","63",36,NA,"","",3.141592654,"2","12_5_2025","","12/06/2025","",6,NA,3,NA,7,NA,"","P","",2,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,21,21,NA,"YO21","mm",14,"174",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"77","","1 juvenile mussel","","63",36,NA,"","",0.070685835,"0.3","12_5_2025","","12/06/2025","",6,NA,3,NA,7,NA,"","P","",2,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,21,21,NA,"YO21","mm",NA,"174",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"78","","1 juvenile mussel","","63",36,NA,"","",0.523598776,"1","12_5_2025","","12/06/2025","",6,NA,3,NA,7,NA,"","P","",2,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,21,21,NA,"YO21","ep",NA,"174",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"79","","1 juvenile mussel","","63",36,NA,"","",0.785398163,"1","12_5_2025","","12/06/2025","",6,NA,3,NA,7,NA,"","P","",2,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,21,21,NA,"YO21","mm",NA,"174",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"80","","1 juvenile mussel","","63",36,NA,"","",0.785398163,"1","12_5_2025","","12/06/2025","",6,NA,3,NA,7,NA,"","P","",2,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,21,21,NA,"YO21","mm",NA,"174",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
"81","","1 juvenile mussel","","63",36,NA,"","",3.141592654,"2","12_5_2025","","12/06/2025","",6,NA,3,NA,7,NA,"","P","",2,NA,"Kilchoan_young","","marivate_kilchoan","marivate_kilchoan",NA,1,21,21,NA,"YO21","mm",NA,"174",NA,48,NA,"Orange_yellow","","Orange_yellow","",NA,NA,"Low",""
