tag_no,tag_colour,seaweed_id,rock_no,date_sampled,blade_length,notes,blade_side,blade_zone,blade_no,sp,colony_length_max,colony_area,no_h,no_m,no_long_m,Tank
17,blue,AB17,,12/06/2025,,,y,middle,,ep,1,0.523598776,,,,
17,blue,AB17,,12/06/2025,,,y,middle,,ep,1.2,0.753982237,,,,
17,blue,AB17,,12/06/2025,,,y,tip,,ep,1,0.523598776,10,1,,
17,blue,AB17,,12/06/2025,,,y,tip,,ep,1.2,0.753982237,,,,
17,blue,AB17,,12/06/2025,,,y,tip,,ep,1,0.523598776,,,,
17,blue,AB17,,12/06/2025,,,y,tip,,mm,0.3,0.070685835,,,,
17,blue,AB17,,12/06/2025,,,y,tip,,mm,0.2,0.031415927,,,,
17,blue,AB17,,02/07/2025,,,x,base,,,,,,9,,
17,blue,AB17,,02/07/2025,,,x,middle,,mm,0.5,0.196349541,,,,
17,blue,AB17,,02/07/2025,,,x,middle,,mm,0.5,0.196349541,,,,
17,blue,AB17,,02/07/2025,,,x,middle,,mm,0.1,0.007853982,,,,
17,blue,AB17,,02/07/2025,,,x,middle,,mm,0.1,0.007853982,,,,
17,blue,AB17,,02/07/2025,,,x,middle,,mm,0.5,0.196349541,,,,
17,blue,AB17,,02/07/2025,,,x,middle,,ep,1,0.523598776,,,,
17,blue,AB17,,02/07/2025,,,x,middle,,ep,2,2.094395102,,,,
17,blue,AB17,,02/07/2025,,,x,middle,,ep,1,0.523598776,,,,
17,blue,AB17,,02/07/2025,,,x,middle,,ep,0.5,0.130899694,,,,
17,blue,AB17,,02/07/2025,,,x,middle,,,,,,6,,
17,blue,AB17,,02/07/2025,,,x,middle,,,,,3,,,
17,blue,AB17,,02/07/2025,,,y,base,,mm,1.5,1.767145868,,,,
17,blue,AB17,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
17,blue,AB17,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
17,blue,AB17,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
17,blue,AB17,,02/07/2025,,,y,base,,mm,0.2,0.031415927,,,,
17,blue,AB17,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
17,blue,AB17,,02/07/2025,,,y,base,,,,,,12,,
17,blue,AB17,,02/07/2025,,,y,base,,,,,9,,,
17,blue,AB17,,02/07/2025,,,y,tip,,mm,2,3.141592654,,,,
17,blue,AB17,,02/07/2025,,,y,tip,,mm,0.4,0.125663706,,,,
17,blue,AB17,,02/07/2025,,,y,tip,,mm,0.5,0.196349541,,,,
17,blue,AB17,,02/07/2025,,,y,tip,,ep,1.5,1.178097245,,,,
17,blue,AB17,,02/07/2025,,,y,tip,,ep,1.5,1.178097245,,,,
17,blue,AB17,,02/07/2025,,,y,tip,,,,,,8,,
17,blue,AB17,,02/07/2025,,,y,tip,,,,,6,,,
18,blue,AB18,,04/06/2025,,,x,base,,,,,,,,
18,blue,AB18,,04/06/2025,,,x,middle,,mm,1,0.785398163,,,,
18,blue,AB18,,04/06/2025,,,x,middle,,mm,0.3,0.070685835,,,,
18,blue,AB18,,04/06/2025,,,x,middle,,mm,0.3,0.070685835,,,,
18,blue,AB18,,04/06/2025,,,x,tip,,,,,,,,
18,blue,AB18,,04/06/2025,,,y,base,,,,,,,,
18,blue,AB18,,04/06/2025,,,y,middle,,mm,0.4,0.125663706,,,,
18,blue,AB18,,04/06/2025,,,y,tip,,mm,1,0.785398163,,,,
18,blue,AB18,,04/06/2025,,,y,tip,,ep,0.5,0.130899694,,,,
18,blue,AB18,,04/06/2025,,,y,tip,,ep,0.4,0.083775804,,,,
18,blue,AB18,,12/06/2025,,broken at middle - 76cm remianing,x,base,,mm,0.2,0.031415927,,,,
18,blue,AB18,,12/06/2025,,,x,base,,mm,0.1,0.007853982,,,,
18,blue,AB18,,12/06/2025,,,x,middle,,mm,1,0.785398163,1,,,
18,blue,AB18,,12/06/2025,,,y,base,,mm,0.4,0.125663706,,4,,
18,blue,AB18,,12/06/2025,,,y,middle,,mm,0.4,0.125663706,4,,,
18,blue,AB18,,12/06/2025,,,y,middle,,mm,0.5,0.196349541,,,,
18,blue,AB18,,12/06/2025,,,y,middle,,mm,0.4,0.125663706,,,,
19,blue,AB19,,04/06/2025,,,x,base,,,,,,,,
19,blue,AB19,,04/06/2025,,,x,middle,,,,,2,1,,
19,blue,AB19,,04/06/2025,,,x,tip,,mm,0.2,0.031415927,,,,
19,blue,AB19,,04/06/2025,,,y,base,,,,,,,,
19,blue,AB19,,04/06/2025,,,y,middle,,mm,0.2,0.031415927,,,,
19,blue,AB19,,04/06/2025,,,y,middle,,mm,0.1,0.007853982,,,,
19,blue,AB19,,04/06/2025,,,y,tip,,mm,0.8,0.502654825,,,,
19,blue,AB19,,12/06/2025,,,x,base,,,,,,2,,
19,blue,AB19,,12/06/2025,,,x,middle,,mm,1,0.785398163,,,,
19,blue,AB19,,12/06/2025,,,x,middle,,ep,1,0.523598776,,,,
19,blue,AB19,,12/06/2025,,,x,tip,,ep,1.4,1.0262536,,1,,
19,blue,AB19,,12/06/2025,,,y,base,,mm,0.5,0.196349541,,3,,
19,blue,AB19,,12/06/2025,,,y,middle,,mm,1.2,1.130973355,3,4,,
19,blue,AB19,,12/06/2025,,,y,middle,,ep,1.4,1.0262536,,,,
19,blue,AB19,,12/06/2025,,,y,middle,,ep,0.2,0.020943951,,,,
19,blue,AB19,,12/06/2025,,,y,tip,,ep,3,4.71238898,,,,
19,blue,AB19,,12/06/2025,,,y,tip,,ep,1.4,1.0262536,,,,
19,blue,AB19,,12/06/2025,,,y,tip,,mm,0.4,0.125663706,,,,
19,blue,AB19,,12/06/2025,,,y,tip,,mm,0.3,0.070685835,,,,
19,blue,AB19,,02/07/2025,,,x,base,,mm,0.2,0.031415927,,,,
19,blue,AB19,,02/07/2025,,,x,base,,,,,,17,,
19,blue,AB19,,02/07/2025,,,x,base,,,,,12,,,
19,blue,AB19,,02/07/2025,,,x,middle,,mm,2.5,4.908738521,,,,
19,blue,AB19,,02/07/2025,,,x,middle,,mm,1,0.785398163,,,,
19,blue,AB19,,02/07/2025,,,x,middle,,mm,1.5,1.767145868,,,,
19,blue,AB19,,02/07/2025,,,x,middle,,,,,,12,,
19,blue,AB19,,02/07/2025,,,x,middle,,,,,4,,,
19,blue,AB19,,02/07/2025,,,x,tip,,mm,1,0.785398163,,,,
19,blue,AB19,,02/07/2025,,,x,tip,,ep,1.5,1.178097245,,,,
19,blue,AB19,,02/07/2025,,,x,tip,,,,,,6,,
19,blue,AB19,,02/07/2025,,,y,base,,mm,1.5,1.767145868,,,,
19,blue,AB19,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
19,blue,AB19,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
19,blue,AB19,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
19,blue,AB19,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
19,blue,AB19,,02/07/2025,,,y,base,,,,,,14,,
19,blue,AB19,,02/07/2025,,,y,middle,,mm,2.5,4.908738521,,,,
19,blue,AB19,,02/07/2025,,,y,middle,,mm,0.2,0.031415927,,,,
19,blue,AB19,,02/07/2025,,,y,middle,,,,,,9,,
19,blue,AB19,,02/07/2025,,,y,middle,,,,,4,,,
19,blue,AB19,,02/07/2025,,,y,tip,,mm,3,7.068583471,,,,
19,blue,AB19,,02/07/2025,,,y,tip,,mm,2.5,4.908738521,,,,
19,blue,AB19,,02/07/2025,,,y,tip,,ep,1,0.523598776,,,,
19,blue,AB19,,02/07/2025,,,y,tip,,ep,1.5,1.178097245,,,,
19,blue,AB19,,02/07/2025,,,y,tip,,,,,3,,,
20,blue,AB20,,04/06/2025,,,x,base,,,,,,,,
20,blue,AB20,,04/06/2025,,,x,middle,,mm,0.5,0.196349541,,,,
20,blue,AB20,,04/06/2025,,,x,middle,,mm,0.3,0.070685835,,,,
20,blue,AB20,,04/06/2025,,,x,tip,,,,,,,,
20,blue,AB20,,04/06/2025,,,y,base,,mm,0.5,0.196349541,,,,
20,blue,AB20,,04/06/2025,,,y,base,,mm,0.2,0.031415927,,,,
20,blue,AB20,,04/06/2025,,,y,base,,mm,0.2,0.031415927,,,,
20,blue,AB20,,04/06/2025,,,y,middle,,mm,0.8,0.502654825,,,,
20,blue,AB20,,04/06/2025,,,y,tip,,,,,,,,
21,blue,AB21,,04/06/2025,,,x,base,,ep,1,0.523598776,,,,
21,blue,AB21,,04/06/2025,,,x,middle,,mm,0.5,0.196349541,,,,
21,blue,AB21,,04/06/2025,,,x,tip,,ep,2,2.094395102,,,,
21,blue,AB21,,04/06/2025,,,y,base,,,na,,,,,
21,blue,AB21,,04/06/2025,,,y,middle,,,na,,,,,
21,blue,AB21,,04/06/2025,,,y,tip,,,na,,,,,
21,blue,AB21,,12/06/2025,,,x,base,,,,,,,,
21,blue,AB21,,12/06/2025,,,x,middle,,mm,1,0.785398163,,,,
21,blue,AB21,,12/06/2025,,,x,tip,,ep,1.2,0.753982237,9,3,,
21,blue,AB21,,12/06/2025,,,x,tip,,mm,0.2,0.031415927,,,,
21,blue,AB21,,12/06/2025,,,x,tip,,mm,0.2,0.031415927,,,,
21,blue,AB21,,12/06/2025,,,x,tip,,mm,0.3,0.070685835,,,,
21,blue,AB21,,12/06/2025,,,x,tip,,mm,0.1,0.007853982,,,,
21,blue,AB21,,12/06/2025,,,y,base,,mm,2,3.141592654,,4,,
21,blue,AB21,,12/06/2025,,,y,middle,,,,,2,10,,
21,blue,AB21,,12/06/2025,,,y,tip,,ep,2,2.094395102,3,,,
21,blue,AB21,,12/06/2025,,,y,tip,,ep,0.8,0.335103216,,,,
21,blue,AB21,,12/06/2025,,,y,tip,,mm,0.3,0.070685835,,,,
21,blue,AB21,,12/06/2025,,,y,tip,,mm,0.4,0.125663706,,,,
21,blue,AB21,,02/07/2025,,,x,base,,,,,,,,
21,blue,AB21,,02/07/2025,,,x,middle,,mm,2,3.141592654,,,,
21,blue,AB21,,02/07/2025,,,x,middle,,ep,3,4.71238898,,,,
21,blue,AB21,,02/07/2025,,,x,middle,,mm,1.5,1.767145868,,,,
21,blue,AB21,,02/07/2025,,,x,tip,,,,,5,,,
21,blue,AB21,,02/07/2025,,,y,base,,mm,2,3.141592654,,,,
21,blue,AB21,,02/07/2025,,,y,base,,ep,2,2.094395102,,,,
21,blue,AB21,,02/07/2025,,,y,base,,,,,,10,,
21,blue,AB21,,02/07/2025,,,y,middle,,mm,2.5,4.908738521,,,,
21,blue,AB21,,02/07/2025,,,y,middle,,,,,,8,,
21,blue,AB21,,02/07/2025,,,y,middle,,,,,7,,,
21,blue,AB21,,02/07/2025,,,y,tip,,mm,2,3.141592654,,,,
21,blue,AB21,,02/07/2025,,,y,tip,,ep,4,8.37758041,,,,
21,blue,AB21,,02/07/2025,,,y,tip,,mm,1.5,1.767145868,,,,
21,blue,AB21,,02/07/2025,,,y,tip,,,,,6,,,
21,blue,AB21,,02/07/2025,,,y,tip,,,,,,7,,
100notag,,AB22,,04/06/2025,,tag detached_100,x,base,,,,,,,,5
100notag,,AB22,,04/06/2025,,tag detached_100,x,middle,,ep,0.3,0.04712389,,,,5
100notag,,AB22,,04/06/2025,,tag detached_100,x,tip,,ep,0.5,0.130899694,,1,,5
100notag,,AB22,,04/06/2025,,tag detached_100,y,base,,,,,,,,5
100notag,,AB22,,04/06/2025,,tag detached_100,y,middle,,ep,0.3,0.04712389,10,,,5
100notag,,AB22,,04/06/2025,,tag detached_100,y,tip,,ep,0.6,0.188495559,5,,,5
100notag,,AB22,,04/06/2025,,tag detached_100,y,tip,,mm,0.8,0.502654825,,,,5
100notag,,AB22,,04/06/2025,,tag detached_100,y,tip,,mm,0.4,0.125663706,,,,5
100notag,,AB22,,04/06/2025,,tag detached_100,y,tip,,ep,1,0.523598776,,,,5
100notag,,AB22,,04/06/2025,,tag detached_100,y,tip,,ep,0.2,0.020943951,,,,5
23,blue,AB23,,04/06/2025,,,x,base,,mm,0.5,0.196349541,,,,
23,blue,AB23,,04/06/2025,,,x,middle,,mm,0.5,0.196349541,,,,
23,blue,AB23,,04/06/2025,,,x,tip,,,na,,,,,
23,blue,AB23,,04/06/2025,,,y,base,,,,,,1,,
23,blue,AB23,,04/06/2025,,,y,middle,,,na,,,,,
23,blue,AB23,,04/06/2025,,,y,tip,,mm,0.1,0.007853982,,,,
23,blue,AB23,,04/06/2025,,,y,tip,,mm,0.4,0.125663706,,,,
23,blue,AB23,,04/06/2025,,,y,middle,,ep,0.4,0.083775804,,,,
23,blue,AB23,,04/06/2025,,,y,tip,,mm,0.6,0.282743339,10,,,
23,blue,AB23,,04/06/2025,,,y,tip,,mm,0.4,0.125663706,,,,
23,blue,AB23,,04/06/2025,,,y,tip,,mm,1,0.785398163,,,,
23,blue,AB23,,04/06/2025,,,y,tip,,mm,0.3,0.070685835,,,,
178notag,,AB23,,12/06/2025,,tag detached,x,base,,,,,,3,,2
178notag,,AB23,,12/06/2025,,tag detached,x,middle,,ep,1.2,0.753982237,,1,,2
178notag,,AB23,,12/06/2025,,tag detached,x,middle,,mm,0.2,0.031415927,,,,2
178notag,,AB23,,12/06/2025,,tag detached,x,tip,,ep,2,2.094395102,,,,2
178notag,,AB23,,12/06/2025,,tag detached,x,tip,,mm,0.5,0.196349541,,,,2
178notag,,AB23,,12/06/2025,,tag detached,y,base,,,,,,3,,2
178notag,,AB23,,12/06/2025,,tag detached,y,middle,,ep,1.2,0.753982237,,1,,2
178notag,,AB23,,12/06/2025,,tag detached,y,middle,,mm,0.2,0.031415927,,,,2
178notag,,AB23,,12/06/2025,,tag detached,y,tip,,ep,2,2.094395102,,,,2
178notag,,AB23,,12/06/2025,,tag detached,y,tip,,mm,0.5,0.196349541,,,,2
24,blue,AB24,,04/06/2025,,,x,base,,,,,,,,
24,blue,AB24,,04/06/2025,,,x,middle,,,,,,,,
24,blue,AB24,,04/06/2025,,,x,tip,,ep,0.5,0.130899694,,,,
24,blue,AB24,,04/06/2025,,,y,base,,,,,,,,
24,blue,AB24,,04/06/2025,,,y,middle,,mm,0.1,0.007853982,4,,,
24,blue,AB24,,04/06/2025,,,y,tip,,ep,1,0.523598776,,,,
24,blue,AB24,,04/06/2025,,,y,tip,,ep,0.8,0.335103216,,,,
24,blue,AB24,,04/06/2025,,,y,tip,,ep,0.3,0.04712389,,,,
24,blue,AB24,,04/06/2025,,,y,tip,,ep,0.3,0.04712389,,,,
24,blue,AB24,,04/06/2025,,,y,tip,,ep,0.8,0.335103216,,,,
24,blue,AB24,,04/06/2025,,,y,tip,,mm,0.2,0.031415927,,,,
24,blue,AB24,,04/06/2025,,,y,tip,,mm,0.1,0.007853982,,,,
24,blue,AB24,,12/06/2025,,,x,base,,,,,,,,
24,blue,AB24,,12/06/2025,,,x,middle,,,,,2,,,
24,blue,AB24,,12/06/2025,,,x,tip,,mm,0.4,0.125663706,,,,
24,blue,AB24,,12/06/2025,,,y,base,,,,,,,,
24,blue,AB24,,12/06/2025,,,y,middle,,,,,3,,,
24,blue,AB24,,12/06/2025,,,y,tip,,mm,0.4,0.125663706,2,,,
24,blue,AB24,,12/06/2025,,,y,tip,,mm,0.3,0.070685835,,,,
24,blue,AB24,,02/07/2025,,,x,base,,mm,0.2,0.031415927,,,,
24,blue,AB24,,02/07/2025,,,x,base,,ep,1.5,1.178097245,,,,
24,blue,AB24,,02/07/2025,,,x,base,,,,,,21,,
24,blue,AB24,,02/07/2025,,,x,base,,,,,20,,,
24,blue,AB24,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
24,blue,AB24,,02/07/2025,,,y,base,,mm,0.2,0.031415927,,,,
24,blue,AB24,,02/07/2025,,,y,base,,,,,,20,,
25,blue,AB25,,04/06/2025,,,x,base,,,,,30%,,,
25,blue,AB25,,04/06/2025,,,x,middle,,ep,0.5,0.130899694,,,,
25,blue,AB25,,04/06/2025,,,x,tip,,ep,1,0.523598776,6,,,
25,blue,AB25,,04/06/2025,,,y,base,,,na,,,,,
25,blue,AB25,,04/06/2025,,,y,middle,,,,,6,1,,
25,blue,AB25,,04/06/2025,,,y,tip,,,na,,6,,,
25,blue,AB25,,12/06/2025,,,x,base,,,,,,2,,
25,blue,AB25,,12/06/2025,,,x,middle,,,,,2,4,,
25,blue,AB25,,12/06/2025,,,x,tip,,ep,0.7,0.2565634,,,,
25,blue,AB25,,12/06/2025,,,x,tip,,ep,0.7,0.2565634,,,,
25,blue,AB25,,12/06/2025,,,x,tip,,mm,0.2,0.031415927,,,,
25,blue,AB25,,12/06/2025,,,y,base,,ep,0.5,0.130899694,,2,,
25,blue,AB25,,12/06/2025,,,y,base,,ep,0.4,0.083775804,,,,
25,blue,AB25,,12/06/2025,,,y,middle,,mm,1,0.785398163,10,,,
25,blue,AB25,,12/06/2025,,,y,middle,,mm,0.5,0.196349541,,,,
25,blue,AB25,,12/06/2025,,,y,tip,,mm,0.2,0.031415927,10,4,,
25,blue,AB25,,12/06/2025,,,y,tip,,mm,0.1,0.007853982,,,,
25,blue,AB25,,02/07/2025,,,x,base,,mm,0.2,0.031415927,,,,
25,blue,AB25,,02/07/2025,,,x,base,,,,,,12,,
25,blue,AB25,,02/07/2025,,,x,middle,,mm,0.1,0.007853982,,,,
25,blue,AB25,,02/07/2025,,,x,middle,,mm,0.1,0.007853982,,,,
25,blue,AB25,,02/07/2025,,,x,middle,,mm,0.1,0.007853982,,,,
25,blue,AB25,,02/07/2025,,,x,middle,,mm,0.1,0.007853982,,,,
25,blue,AB25,,02/07/2025,,,x,middle,,ep,1,0.523598776,,,,
25,blue,AB25,,02/07/2025,,,x,middle,,,,,,6,,
25,blue,AB25,,02/07/2025,,,x,tip,,mm,1,0.785398163,,,,
25,blue,AB25,,02/07/2025,,,x,tip,,ep,0.5,0.130899694,,,,
25,blue,AB25,,02/07/2025,,,x,tip,,ep,1,0.523598776,,,,
25,blue,AB25,,02/07/2025,,,x,tip,,ep,0.2,0.020943951,,,,
25,blue,AB25,,02/07/2025,,,x,tip,,ep,0.6,0.188495559,,,,
25,blue,AB25,,02/07/2025,,,x,tip,,,,,,1,,
25,blue,AB25,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
25,blue,AB25,,02/07/2025,,,y,base,,,,,,2,,
25,blue,AB25,,02/07/2025,,,y,middle,,ep,2,2.094395102,,,,
25,blue,AB25,,02/07/2025,,,y,middle,,ep,1,0.523598776,,,,
25,blue,AB25,,02/07/2025,,1Xstripey blue clam and 1x slug,y,middle,,ep,,,,3,,
26,blue,AB26,,04/06/2025,,,x,base,,,,,,,,
26,blue,AB26,,04/06/2025,,,x,middle,,,,,,,,
26,blue,AB26,,04/06/2025,,,x,tip,,mm,0.3,0.070685835,,,,
26,blue,AB26,,04/06/2025,,,y,base,,,,,,,,
26,blue,AB26,,04/06/2025,,,y,middle,,mm,1.2,1.130973355,,,,
26,blue,AB26,,04/06/2025,,,y,middle,,mm,1.3,1.327322896,,,,
26,blue,AB26,,04/06/2025,,,y,tip,,,,,,,,
26,blue,AB26,,12/06/2025,,,x,base,,,,,,,,
26,blue,AB26,,12/06/2025,,,x,middle,,mm,0.3,0.070685835,,1,,
26,blue,AB26,,12/06/2025,,,x,tip,,mm,0.3,0.070685835,,,,
26,blue,AB26,,12/06/2025,,,x,tip,,mm,0.3,0.070685835,,,,
26,blue,AB26,,12/06/2025,,,x,tip,,mm,0.3,0.070685835,,,,
26,blue,AB26,,12/06/2025,,,y,base,,,,,,4,,
26,blue,AB26,,12/06/2025,,,y,middle,,mm,0.8,0.502654825,,,,
26,blue,AB26,,12/06/2025,,,y,middle,,mm,0.2,0.031415927,,,,
26,blue,AB26,,12/06/2025,,,y,middle,,mm,0.2,0.031415927,,,,
26,blue,AB26,,12/06/2025,,,y,tip,,ep,0.8,0.335103216,,,1,
26,blue,AB26,,12/06/2025,,,y,tip,,mm,0.2,0.031415927,,,,
26,blue,AB26,,02/07/2025,,,x,middle,,mm,0.4,0.125663706,,,,
26,blue,AB26,,02/07/2025,,,x,middle,,mm,0.2,0.031415927,,,,
26,blue,AB26,,02/07/2025,,,x,middle,,mm,0.1,0.007853982,,,,
26,blue,AB26,,02/07/2025,,,x,middle,,mm,0.2,0.031415927,,,,
26,blue,AB26,,02/07/2025,,,x,middle,,mm,0.2,0.031415927,,,,
26,blue,AB26,,02/07/2025,,,x,middle,,mm,0.2,0.031415927,,,,
26,blue,AB26,,02/07/2025,,,x,middle,,ep,1.5,1.178097245,,,,
26,blue,AB26,,02/07/2025,,,x,base,,,,,,2,,
26,blue,AB26,,02/07/2025,,,x,tip,,ep,2.5,3.272492347,,,,
26,blue,AB26,,02/07/2025,,2 x seasquirt,x,tip,,,,,,3,,
26,blue,AB26,,02/07/2025,,,y,base,,mm,0.2,0.031415927,,,,
26,blue,AB26,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
26,blue,AB26,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
26,blue,AB26,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
26,blue,AB26,,02/07/2025,,,y,base,,mm,0.2,0.031415927,,,,
26,blue,AB26,,02/07/2025,,,y,base,,mm,0.1,0.007853982,,,,
26,blue,AB26,,02/07/2025,,,y,base,,,,,,4,,
26,blue,AB26,,02/07/2025,,,y,middle,,mm,0.5,0.196349541,,,,
