rank,tank,origin,tag_no_y,rock_number,date,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,tag_no_x,tag_colour,tag_color,origin_kelp,biofouling_removed_14_5_25,seaweed_id,rock_no,age,epibiont_sampling,blade_length_pre_experiment,blade_length_in_experiment,notes,blade_side,blade_zone,rank_of_blade_on_rock,no_young_blades_per_rock,species,bryozoan_colony_length_max,bryozoan_colony_area,hydrozoan_counts,spirobranchus_counts,swab_prior_enrichment,swab_after_ernichment_16_5
26,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,x,base,NA,,Membranipora,2,3.141592654,,,3,149
,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,x,middle,,,Obelia,NA,NA,4,,3,149
,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,x,middle,,,Spirobranchus,,,,2,3,149
27,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,x,middle,NA,,Membranipora,1.5,1.767145868,,,3,149
28,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,x,middle,NA,,Pilosa,1.1,0.633554518,,,3,149
29,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,x,tip,NA,,Membranipora,0.4,0.125663706,,,3,149
30,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,x,tip,NA,,Membranipora,0.5,0.196349541,,,3,149
,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,y,base,,,Spirobranchus,,,,1,3,149
31,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,base,NA,,Membranipora,0.3,0.070685835,,,3,149
,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,y,middle,,,Spirobranchus,,,,2,3,149
,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,y,middle,y,middle,,,Obelia,NA,NA,10,,3,149
32,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,middle,NA,,Membranipora,1.2,1.130973355,,,3,149
33,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,middle,NA,,Membranipora,1.4,1.5393804,,,3,149
34,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,middle,NA,,Membranipora,0.4,0.125663706,,,3,149
35,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,middle,NA,,Membranipora,0.3,0.070685835,,,3,149
36,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,middle,NA,,Membranipora,0.2,0.031415927,,,3,149
37,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,middle,NA,,Membranipora,0.1,0.007853982,,,3,149
38,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,middle,NA,,Membranipora,0.2,0.031415927,,,3,149
39,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,middle,NA,,Membranipora,0.1,0.007853982,,,3,149
40,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,middle,NA,,Membranipora,0.4,0.125663706,,,3,149
41,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,middle,NA,,Pilosa,1.3,0.884881931,,,3,149
,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,y,tip,y,tip,,,Obelia,NA,NA,1,,3,149
,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,y,tip,y,tip,,,Spirobranchus,,,,1,3,149
42,,Adult_local,14,,27_4_2025,3,3,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,y,tip,NA,,Pilosa,0.5,0.130899694,,,3,149
43,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,x,base,NA,,,,NA,,,49,112
,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,x,middle,,,Obelia,NA,NA,4,,49,112
44,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,x,middle,NA,,Pilosa,0.5,0.130899694,,,49,112
45,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,x,middle,NA,,Membranipora,0.5,0.196349541,,,49,112
46,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,x,middle,NA,,Membranipora,0.3,0.070685835,,,49,112
47,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,x,middle,NA,,Membranipora,0.2,0.031415927,,,49,112
,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,x,tip,,,Spirobranchus,,,,2,49,112
,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,x,tip,,,Obelia,NA,NA,3,,49,112
48,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,x,tip,NA,,Pilosa,0.5,0.130899694,,,49,112
49,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,y,base,NA,,Pilosa,0.4,0.083775804,,,49,112
50,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,y,middle,NA,,Membranipora,0.5,0.196349541,,,49,112
51,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,y,middle,NA,,Membranipora,0.3,0.070685835,,,49,112
52,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,y,middle,NA,,Membranipora,0.2,0.031415927,,,49,112
53,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,y,middle,NA,,Pilosa,1,0.523598776,,,49,112
,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,y,tip,,,Spirobranchus,,,,1,49,112
,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,y,tip,,,Obelia,NA,NA,5,,49,112
54,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,y,tip,NA,,Pilosa,0.5,0.130899694,,,49,112
55,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,base,NA,,,,NA,,,49,112
,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,middle,,,Obelia,NA,NA,1,,49,112
56,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,middle,NA,,Pilosa,0.8,0.335103216,,,49,112
57,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,middle,NA,,Membranipora,1,0.785398163,,,49,112
58,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,middle,NA,,Membranipora,0.1,0.007853982,,,49,112
59,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,middle,NA,,Membranipora,0.1,0.007853982,,,49,112
60,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,middle,NA,,Membranipora,0.1,0.007853982,,,49,112
61,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,middle,NA,,Membranipora,0.2,0.031415927,,,49,112
62,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,middle,NA,,Membranipora,0.1,0.007853982,,,49,112
63,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,middle,NA,,Membranipora,0.1,0.007853982,,,49,112
64,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,middle,NA,,Membranipora,0.1,0.007853982,,,49,112
,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,tip,,,Obelia,NA,NA,2,,49,112
65,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,tip,NA,,Pilosa,1.2,0.753982237,,,49,112
66,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,x,tip,NA,,Membranipora,0.3,0.070685835,,,49,112
67,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,base,NA,,Obelia,NA,NA,6,2,49,112
68,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,middle,NA,,Membranipora,0.3,0.070685835,,,49,112
69,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,middle,NA,,Membranipora,0.6,0.282743339,,,49,112
70,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,middle,NA,,Pilosa,1,0.523598776,,,49,112
71,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,middle,NA,,Pilosa,1.2,0.753982237,,,49,112
,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,tip,,,Spirobranchus,,,,1,49,112
,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,tip,,,Obelia,NA,NA,10,,49,112
72,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,tip,NA,,Pilosa,1,0.523598776,,,49,112
73,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,tip,NA,,Pilosa,1.2,0.753982237,,,49,112
74,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,tip,NA,,Pilosa,1,0.523598776,,,49,112
75,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,tip,NA,,Membranipora,0.3,0.070685835,,,49,112
76,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,y,tip,NA,,Membranipora,0.2,0.031415927,,,49,112
77,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,base,NA,,,,NA,,9,49,112
78,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,Membranipora,0.5,0.196349541,,,49,112
79,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,Membranipora,0.5,0.196349541,,,49,112
80,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,Membranipora,0.1,0.007853982,,,49,112
81,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,Membranipora,0.1,0.007853982,,,49,112
82,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,Membranipora,0.5,0.196349541,,,49,112
83,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,Pilosa,1,0.523598776,,,49,112
84,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,Pilosa,2,2.094395102,,,49,112
85,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,Pilosa,1,0.523598776,,,49,112
86,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,Pilosa,0.5,0.130899694,,,49,112
87,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,,,NA,,6,49,112
88,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,x,middle,NA,,Obelia,NA,NA,3,,49,112
89,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,base,NA,,Membranipora,1.5,1.767145868,,,49,112
90,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,base,NA,,Membranipora,0.1,0.007853982,,,49,112
91,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,base,NA,,Membranipora,0.1,0.007853982,,,49,112
92,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,base,NA,,Membranipora,0.1,0.007853982,,,49,112
93,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,base,NA,,Membranipora,0.2,0.031415927,,,49,112
94,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,base,NA,,Membranipora,0.1,0.007853982,,,49,112
95,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,base,NA,,,,NA,,12,49,112
96,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,base,NA,,Obelia,NA,NA,9,,49,112
97,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,tip,NA,,Membranipora,2,3.141592654,,,49,112
98,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,tip,NA,,Membranipora,0.4,0.125663706,,,49,112
99,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,tip,NA,,Membranipora,0.5,0.196349541,,,49,112
100,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,tip,NA,,Pilosa,1.5,1.178097245,,,49,112
101,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,tip,NA,,Pilosa,1.5,1.178097245,,,49,112
102,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,tip,NA,,,,NA,,8,49,112
103,,Adult_local,17,,12_5_2025,,5,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,y,tip,NA,,Obelia,NA,NA,6,,49,112
104,,Adult_local,18,,12_5_2025,,5,4,High,N,18,blue,Blue,farland,hydro=6;bryo=1,AB18,NA,old,04/06/2025,120,,,x,base,NA,,,,NA,,,50,115
105,,Adult_local,18,,12_5_2025,,5,4,High,N,18,blue,Blue,farland,hydro=6;bryo=1,AB18,NA,old,04/06/2025,120,,,x,middle,NA,,Membranipora,1,0.785398163,,,50,115
