,tag_no.x,tag_colour,seaweed_id,rock_no,date_sampled,blade_length,notes,blade_side,blade_zone,blade_no,sp,colony_length_max,colony_area,no_h,no_m,no_long_m,tank,origin,tag_color,tag_no.y,rock_number,date,longest_blade,collected_from,biofouling_removed_14_5_25,no_blades,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,swab_prior_enrichment,swab_after_ernichment_16_5
20,13,blue,AB13,NA,12/06/2025,NA,not on datasheet,y,base,NA,,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,13,blue,AB13,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,0.2,0.031415927,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,13,blue,AB13,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,0.3,0.070685835,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,13,blue,AB13,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,0.3,0.070685835,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,13,blue,AB13,NA,12/06/2025,NA,not on datasheet,y,tip,NA,ep,1.2,0.753982237,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,13,blue,AB13,NA,12/06/2025,NA,not on datasheet,y,tip,NA,ep,1.1,0.633554518,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,x,base,NA,mm,2,3.141592654,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,x,middle,NA,mm,1.5,1.767145868,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,x,middle,NA,ep,1.1,0.633554518,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,x,tip,NA,mm,0.4,0.125663706,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,x,tip,NA,mm,0.5,0.196349541,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,base,NA,mm,0.3,0.070685835,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,1.2,1.130973355,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,1.4,1.5393804,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,0.4,0.125663706,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,0.3,0.070685835,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,0.2,0.031415927,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,0.1,0.007853982,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,0.2,0.031415927,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,0.1,0.007853982,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,middle,NA,mm,0.4,0.125663706,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,middle,NA,ep,1.3,0.884881931,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,14,blue,AB14,NA,12/06/2025,NA,not on datasheet,y,tip,NA,ep,0.5,0.130899694,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,17,blue,AB17,NA,04/06/2025,NA,,x,base,NA,,,NA,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
44,17,blue,AB17,NA,04/06/2025,NA,,x,middle,NA,ep,0.5,0.130899694,4,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
45,17,blue,AB17,NA,04/06/2025,NA,,x,middle,NA,mm,0.5,0.196349541,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
46,17,blue,AB17,NA,04/06/2025,NA,,x,middle,NA,mm,0.3,0.070685835,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
47,17,blue,AB17,NA,04/06/2025,NA,,x,middle,NA,mm,0.2,0.031415927,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
48,17,blue,AB17,NA,04/06/2025,NA,,x,tip,NA,ep,0.5,0.130899694,3,2,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
49,17,blue,AB17,NA,04/06/2025,NA,,y,base,NA,ep,0.4,0.083775804,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
50,17,blue,AB17,NA,04/06/2025,NA,,y,middle,NA,mm,0.5,0.196349541,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
51,17,blue,AB17,NA,04/06/2025,NA,,y,middle,NA,mm,0.3,0.070685835,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
52,17,blue,AB17,NA,04/06/2025,NA,,y,middle,NA,mm,0.2,0.031415927,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
53,17,blue,AB17,NA,04/06/2025,NA,,y,middle,NA,ep,1,0.523598776,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
54,17,blue,AB17,NA,04/06/2025,NA,,y,tip,NA,ep,0.5,0.130899694,5,1,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
55,17,blue,AB17,NA,12/06/2025,NA,,x,base,NA,,,NA,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
56,17,blue,AB17,NA,12/06/2025,NA,,x,middle,NA,ep,0.8,0.335103216,1,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
57,17,blue,AB17,NA,12/06/2025,NA,,x,middle,NA,mm,1,0.785398163,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
58,17,blue,AB17,NA,12/06/2025,NA,,x,middle,NA,mm,0.1,0.007853982,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
59,17,blue,AB17,NA,12/06/2025,NA,,x,middle,NA,mm,0.1,0.007853982,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
60,17,blue,AB17,NA,12/06/2025,NA,,x,middle,NA,mm,0.1,0.007853982,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
61,17,blue,AB17,NA,12/06/2025,NA,,x,middle,NA,mm,0.2,0.031415927,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
62,17,blue,AB17,NA,12/06/2025,NA,,x,middle,NA,mm,0.1,0.007853982,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
63,17,blue,AB17,NA,12/06/2025,NA,,x,middle,NA,mm,0.1,0.007853982,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
64,17,blue,AB17,NA,12/06/2025,NA,,x,middle,NA,mm,0.1,0.007853982,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
65,17,blue,AB17,NA,12/06/2025,NA,,x,tip,NA,ep,1.2,0.753982237,2,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
66,17,blue,AB17,NA,12/06/2025,NA,,x,tip,NA,mm,0.3,0.070685835,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
67,17,blue,AB17,NA,12/06/2025,NA,,y,base,NA,,,NA,6,2,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
68,17,blue,AB17,NA,12/06/2025,NA,,y,middle,NA,mm,0.3,0.070685835,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
69,17,blue,AB17,NA,12/06/2025,NA,,y,middle,NA,mm,0.6,0.282743339,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
70,17,blue,AB17,NA,12/06/2025,NA,,y,middle,NA,ep,1,0.523598776,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
71,17,blue,AB17,NA,12/06/2025,NA,,y,middle,NA,ep,1.2,0.753982237,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
72,17,blue,AB17,NA,12/06/2025,NA,,y,tip,NA,ep,1,0.523598776,10,1,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
73,17,blue,AB17,NA,12/06/2025,NA,,y,tip,NA,ep,1.2,0.753982237,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
74,17,blue,AB17,NA,12/06/2025,NA,,y,tip,NA,ep,1,0.523598776,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
75,17,blue,AB17,NA,12/06/2025,NA,,y,tip,NA,mm,0.3,0.070685835,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
76,17,blue,AB17,NA,12/06/2025,NA,,y,tip,NA,mm,0.2,0.031415927,,NA,NA,NA,Adult_local,Blue,17,NA,12_5_2025,190,farland,hydro=112;bryo=8;maerl2,NA,NA,5,6,High,N,49,112
77,18,blue,AB18,NA,04/06/2025,NA,,x,base,NA,,,NA,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
78,18,blue,AB18,NA,04/06/2025,NA,,x,middle,NA,mm,1,0.785398163,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
79,18,blue,AB18,NA,04/06/2025,NA,,x,middle,NA,mm,0.3,0.070685835,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
80,18,blue,AB18,NA,04/06/2025,NA,,x,middle,NA,mm,0.3,0.070685835,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
81,18,blue,AB18,NA,04/06/2025,NA,,x,tip,NA,,,NA,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
82,18,blue,AB18,NA,04/06/2025,NA,,y,base,NA,,,NA,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
83,18,blue,AB18,NA,04/06/2025,NA,,y,middle,NA,mm,0.4,0.125663706,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
84,18,blue,AB18,NA,04/06/2025,NA,,y,tip,NA,mm,1,0.785398163,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
85,18,blue,AB18,NA,04/06/2025,NA,,y,tip,NA,ep,0.5,0.130899694,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
86,18,blue,AB18,NA,04/06/2025,NA,,y,tip,NA,ep,0.4,0.083775804,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
87,18,blue,AB18,NA,12/06/2025,NA,broken at middle - 76cm remianing,x,base,NA,mm,0.2,0.031415927,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
88,18,blue,AB18,NA,12/06/2025,NA,,x,base,NA,mm,0.1,0.007853982,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
89,18,blue,AB18,NA,12/06/2025,NA,,x,middle,NA,mm,1,0.785398163,1,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
90,18,blue,AB18,NA,12/06/2025,NA,,y,base,NA,mm,0.4,0.125663706,,4,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
91,18,blue,AB18,NA,12/06/2025,NA,,y,middle,NA,mm,0.4,0.125663706,4,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
92,18,blue,AB18,NA,12/06/2025,NA,,y,middle,NA,mm,0.5,0.196349541,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
93,18,blue,AB18,NA,12/06/2025,NA,,y,middle,NA,mm,0.4,0.125663706,,NA,NA,NA,Adult_local,Blue,18,NA,12_5_2025,120,farland,hydro=6;bryo=1,NA,NA,5,4,High,N,50,115
94,19,blue,AB19,NA,04/06/2025,NA,,x,base,NA,,,NA,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
95,19,blue,AB19,NA,04/06/2025,NA,,x,middle,NA,,,NA,2,1,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
96,19,blue,AB19,NA,04/06/2025,NA,,x,tip,NA,mm,0.2,0.031415927,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
97,19,blue,AB19,NA,04/06/2025,NA,,y,base,NA,,,NA,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
98,19,blue,AB19,NA,04/06/2025,NA,,y,middle,NA,mm,0.2,0.031415927,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
99,19,blue,AB19,NA,04/06/2025,NA,,y,middle,NA,mm,0.1,0.007853982,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
100,19,blue,AB19,NA,04/06/2025,NA,,y,tip,NA,mm,0.8,0.502654825,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
101,19,blue,AB19,NA,12/06/2025,NA,,x,base,NA,,,NA,,2,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
102,19,blue,AB19,NA,12/06/2025,NA,,x,middle,NA,mm,1,0.785398163,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
103,19,blue,AB19,NA,12/06/2025,NA,,x,middle,NA,ep,1,0.523598776,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
104,19,blue,AB19,NA,12/06/2025,NA,,x,tip,NA,ep,1.4,1.0262536,,1,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
105,19,blue,AB19,NA,12/06/2025,NA,,y,base,NA,mm,0.5,0.196349541,,3,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
106,19,blue,AB19,NA,12/06/2025,NA,,y,middle,NA,mm,1.2,1.130973355,3,4,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
107,19,blue,AB19,NA,12/06/2025,NA,,y,middle,NA,ep,1.4,1.0262536,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
108,19,blue,AB19,NA,12/06/2025,NA,,y,middle,NA,ep,0.2,0.020943951,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
109,19,blue,AB19,NA,12/06/2025,NA,,y,tip,NA,ep,3,4.71238898,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
110,19,blue,AB19,NA,12/06/2025,NA,,y,tip,NA,ep,1.4,1.0262536,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
111,19,blue,AB19,NA,12/06/2025,NA,,y,tip,NA,mm,0.4,0.125663706,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
112,19,blue,AB19,NA,12/06/2025,NA,,y,tip,NA,mm,0.3,0.070685835,,NA,NA,NA,Adult_local,Blue,19,NA,12_5_2025,150,farland,bryo=1;hydro=28;maerl=5,NA,NA,6,5,Low,P,51,136
113,20,blue,AB20,NA,04/06/2025,NA,,x,base,NA,,,NA,,NA,NA,NA,Adult_local,Blue,20,NA,12_5_2025,270,farland,bryo=4;hydro=14;snail=1,NA,NA,7,4,High,C,52,153
114,20,blue,AB20,NA,04/06/2025,NA,,x,middle,NA,mm,0.5,0.196349541,,NA,NA,NA,Adult_local,Blue,20,NA,12_5_2025,270,farland,bryo=4;hydro=14;snail=1,NA,NA,7,4,High,C,52,153
115,20,blue,AB20,NA,04/06/2025,NA,,x,middle,NA,mm,0.3,0.070685835,,NA,NA,NA,Adult_local,Blue,20,NA,12_5_2025,270,farland,bryo=4;hydro=14;snail=1,NA,NA,7,4,High,C,52,153
116,20,blue,AB20,NA,04/06/2025,NA,,x,tip,NA,,,NA,,NA,NA,NA,Adult_local,Blue,20,NA,12_5_2025,270,farland,bryo=4;hydro=14;snail=1,NA,NA,7,4,High,C,52,153
117,20,blue,AB20,NA,04/06/2025,NA,,y,base,NA,mm,0.5,0.196349541,,NA,NA,NA,Adult_local,Blue,20,NA,12_5_2025,270,farland,bryo=4;hydro=14;snail=1,NA,NA,7,4,High,C,52,153
118,20,blue,AB20,NA,04/06/2025,NA,,y,base,NA,mm,0.2,0.031415927,,NA,NA,NA,Adult_local,Blue,20,NA,12_5_2025,270,farland,bryo=4;hydro=14;snail=1,NA,NA,7,4,High,C,52,153
119,20,blue,AB20,NA,04/06/2025,NA,,y,base,NA,mm,0.2,0.031415927,,NA,NA,NA,Adult_local,Blue,20,NA,12_5_2025,270,farland,bryo=4;hydro=14;snail=1,NA,NA,7,4,High,C,52,153
