seaweed,sample_code,site,date,day,month,year,sample_type,total_sample_abund,Group_precise,abundance,taxa,zooplankton,reads
Saccharina,Pabay_10_12_21_1,Pabay,10_12_2021,10,12,2021,zooplankton,178,Polychaeta,2,total_polychaeta,2,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Bivalvia,2,bivalvia,2,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Bryozoa,34,bryozoa,34,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,copepod_nauplii,204,copepod_nauplii,204,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,copepods,153,copepods,153,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,fish_egg,17,fish_egg,17,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Gastropoda,34,gastropoda,34,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,holoplankton,376,holoplankton,376,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,meroplankton,87,meroplankton,87,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,microfibers,2,microfibers,2,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,mp_fragments,2,mp_fragments,2,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,sabellariidae,17,sabellariidae,17,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Copepoda,357,total_copepoda,357,
Alaria,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Polychaeta,17,total_polychaeta,17,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Bivalvia,2,bivalvia,2,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Bryozoa,34,bryozoa,34,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,copepod_nauplii,204,copepod_nauplii,204,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,copepods,153,copepods,153,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,fish_egg,17,fish_egg,17,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Gastropoda,34,gastropoda,34,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,holoplankton,376,holoplankton,376,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,meroplankton,87,meroplankton,87,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,microfibers,2,microfibers,2,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,mp_fragments,2,mp_fragments,2,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,sabellariidae,17,sabellariidae,17,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Copepoda,357,total_copepoda,357,
Saccharina,Pabay_10_12_21_2,Pabay,10_12_2021,10,12,2021,zooplankton,462,Polychaeta,17,total_polychaeta,17,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Bivalvia,17,bivalvia,17,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Bryozoa,2,bryozoa,2,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,copepod_nauplii,34,copepod_nauplii,34,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,copepods,17,copepods,17,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Gastropoda,2,gastropoda,2,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,holoplankton,68,holoplankton,68,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,meroplankton,38,meroplankton,38,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,microfibers,17,microfibers,17,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,ophiura_larvae,17,ophiura_larvae,17,
Alaria,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Copepoda,51,total_copepoda,51,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Bivalvia,17,bivalvia,17,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Bryozoa,2,bryozoa,2,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,copepod_nauplii,34,copepod_nauplii,34,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,copepods,17,copepods,17,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Gastropoda,2,gastropoda,2,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,holoplankton,68,holoplankton,68,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,meroplankton,38,meroplankton,38,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,microfibers,17,microfibers,17,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,ophiura_larvae,17,ophiura_larvae,17,
Saccharina,Pabay_10_12_21_3,Pabay,10_12_2021,10,12,2021,zooplankton,106,Copepoda,51,total_copepoda,51,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Bivalvia,2,bivalvia,2,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,copepod_nauplii,127,copepod_nauplii,127,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,copepods,229,copepods,229,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,decapoda_larvae,2,decapoda_larvae,2,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,evadne,204,evadne,204,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,fish_egg,25,fish_egg,25,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Gastropoda,2,gastropoda,2,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,holoplankton,789,holoplankton,789,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,meroplankton,89,meroplankton,89,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,obelia,2,obelia,2,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,other_polychaetae_larvae,76,other_polychaetae_larvae,76,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,podon,25,podon,25,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,sea_urchin_larvae,2,sea_urchin_larvae,2,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Balanoida,76,total_balanoida,76,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Branchiopoda,229,Branchiopoda,229,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Copepoda,357,total_copepoda,357,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Hydrozoa,2,total_hydrozoa,2,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Malacostraca,2,Malacostraca,2,
Alaria,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Polychaeta,76,total_polychaeta,76,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Bivalvia,2,bivalvia,2,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,copepod_nauplii,127,copepod_nauplii,127,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,copepods,229,copepods,229,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,decapoda_larvae,2,decapoda_larvae,2,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,evadne,204,evadne,204,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,fish_egg,25,fish_egg,25,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Gastropoda,2,gastropoda,2,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,holoplankton,789,holoplankton,789,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,meroplankton,89,meroplankton,89,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,obelia,2,obelia,2,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,other_polychaetae_larvae,76,other_polychaetae_larvae,76,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,podon,25,podon,25,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,sea_urchin_larvae,2,sea_urchin_larvae,2,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Balanoida,76,total_balanoida,76,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Branchiopoda,229,Branchiopoda,229,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Copepoda,357,total_copepoda,357,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Hydrozoa,2,total_hydrozoa,2,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Malacostraca,2,Malacostraca,2,
Saccharina,Pabay_10_4_22_1,Pabay,10_4_2022,10,4,2022,zooplankton,878,Polychaeta,76,total_polychaeta,76,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,copepod_nauplii,51,copepod_nauplii,51,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,copepods,255,copepods,255,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,decapoda_larvae,51,decapoda_larvae,51,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,evadne,2,evadne,2,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,fish_egg,2,fish_egg,2,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,holoplankton,361,holoplankton,361,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,meroplankton,76,meroplankton,76,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,other_polychaetae_larvae,25,other_polychaetae_larvae,25,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,Balanoida,51,total_balanoida,51,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,Branchiopoda,2,Branchiopoda,2,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,Copepoda,306,total_copepoda,306,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,Malacostraca,51,Malacostraca,51,
Alaria,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,Polychaeta,25,total_polychaeta,25,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,copepod_nauplii,51,copepod_nauplii,51,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,copepods,255,copepods,255,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,decapoda_larvae,51,decapoda_larvae,51,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,evadne,2,evadne,2,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,fish_egg,2,fish_egg,2,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,holoplankton,361,holoplankton,361,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,meroplankton,76,meroplankton,76,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,other_polychaetae_larvae,25,other_polychaetae_larvae,25,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,Balanoida,51,total_balanoida,51,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,Branchiopoda,2,Branchiopoda,2,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,Copepoda,306,total_copepoda,306,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,Malacostraca,51,Malacostraca,51,
Saccharina,Pabay_10_4_22_2,Pabay,10_4_2022,10,4,2022,zooplankton,437,Polychaeta,25,total_polychaeta,25,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Bivalvia,25,bivalvia,25,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,clytia,17,clytia,17,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,copepod_nauplii,102,copepod_nauplii,102,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,copepods,178,copepods,178,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,decapoda_larvae,25,decapoda_larvae,25,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,evadne,255,evadne,255,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,fish_egg,25,fish_egg,25,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Gastropoda,76,gastropoda,76,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,holoplankton,672,holoplankton,672,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,meroplankton,713,meroplankton,713,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,nemertini_larvae,2,nemertini_larvae,2,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,obelia,2,obelia,2,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,other_polychaetae_larvae,458,other_polychaetae_larvae,458,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,phoronida_larvae,2,phoronida_larvae,2,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,sea_urchin_larvae,102,sea_urchin_larvae,102,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Balanoida,102,total_balanoida,102,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Branchiopoda,255,Branchiopoda,255,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Copepoda,280,total_copepoda,280,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Hydrozoa,19,total_hydrozoa,19,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Malacostraca,25,Malacostraca,25,
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Polychaeta,458,total_polychaeta,458,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Bivalvia,25,bivalvia,25,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,clytia,17,clytia,17,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,copepod_nauplii,102,copepod_nauplii,102,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,copepods,178,copepods,178,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,decapoda_larvae,25,decapoda_larvae,25,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,evadne,255,evadne,255,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,fish_egg,25,fish_egg,25,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Gastropoda,76,gastropoda,76,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,holoplankton,672,holoplankton,672,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,meroplankton,713,meroplankton,713,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,nemertini_larvae,2,nemertini_larvae,2,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,obelia,2,obelia,2,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,other_polychaetae_larvae,458,other_polychaetae_larvae,458,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,phoronida_larvae,2,phoronida_larvae,2,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,sea_urchin_larvae,102,sea_urchin_larvae,102,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Balanoida,102,total_balanoida,102,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Branchiopoda,255,Branchiopoda,255,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Copepoda,280,total_copepoda,280,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Hydrozoa,19,total_hydrozoa,19,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Malacostraca,25,Malacostraca,25,
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,Polychaeta,458,total_polychaeta,458,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Bivalvia,2,bivalvia,2,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Bryozoa,85,bryozoa,85,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,copepod_nauplii,1392,copepod_nauplii,1392,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,copepods,1460,copepods,1460,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,fish_egg,2,fish_egg,2,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Gastropoda,34,gastropoda,34,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,holoplankton,2956,holoplankton,2956,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,meroplankton,189,meroplankton,189,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,sabellariidae,51,sabellariidae,51,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Balanoida,34,total_balanoida,34,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Copepoda,2852,total_copepoda,2852,
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Polychaeta,51,total_polychaeta,51,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Bivalvia,2,bivalvia,2,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Bryozoa,85,bryozoa,85,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,copepod_nauplii,1392,copepod_nauplii,1392,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,copepods,1460,copepods,1460,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,fish_egg,2,fish_egg,2,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Gastropoda,34,gastropoda,34,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,holoplankton,2956,holoplankton,2956,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,meroplankton,189,meroplankton,189,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,sabellariidae,51,sabellariidae,51,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Balanoida,34,total_balanoida,34,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Copepoda,2852,total_copepoda,2852,
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,Polychaeta,51,total_polychaeta,51,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,Bivalvia,2,bivalvia,2,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,Bryozoa,85,bryozoa,85,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,copepod_nauplii,832,copepod_nauplii,832,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,copepods,1086,copepods,1086,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,Gastropoda,34,gastropoda,34,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,holoplankton,1971,holoplankton,1971,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,meroplankton,125,meroplankton,125,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,microfibers,2,microfibers,2,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,mp_fragments,2,mp_fragments,2,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,obelia,2,obelia,2,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,podon,2,podon,2,
Alaria,Pabay_13_11_21_2,Pabay,13_11_2021,13,11,2021,zooplankton,2096,sabellariidae,2,sabellariidae,2,
