Site,Date,Species,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Family,Genus,Abundance
Pabay,8_3_2022,Jassa herdmani,,,,,,,,,,1.414559163
Pabay,15_6_2021,Emiliania huxleyi.1,,,,,,,,,,1.39083073
Pabay,10_12_2021,Thalassionema nitzschioides.1,,,,,,,,,,1.380530973
Pabay,10_4_2022,Cassiopea xamachana,Animalia,Cnidaria,,Scyphozoa,,,Rhizostomeae,Cassiopeidae,Cassiopea,1.306747412
Pabay,10_12_2021,Urodasys sp. 114a.7,,,,,,,,,,1.258917331
Pabay,29_11_2021,Ditylum brightwellii.4,,,,,,,,,,1.244541485
Pabay,30_10_2021,Guinardia delicatula.7,,,,,,,,,,1.221995927
Pabay,8_3_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,1.199834506
Pabay,8_3_2022,Temora sp.,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Calanoida,Temoridae,Temora,1.177768584
Pabay,13_11_2021,invertebrate environmental sample.2,,,,,,,,,,1.152516327
Pabay,15_7_2022,invertebrate environmental sample.1,,,,,,,,,,1.146561105
Pabay,13_11_2021,Minutocellus polymorphus.7,,,,,,,,,,1.145710928
Pabay,30_10_2021,Ditylum brightwellii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Lithodesmiales,Lithodesmiaceae,Ditylum,1.120162933
Pabay,30_10_2021,Monogononta sp. R35_CoastL,,,,,,,,,,1.120162933
Pabay,30_6_2022,Aglaophenia tubulifera.2,,,,,,,,,,1.10367893
Pabay,29_11_2021,Minutocellus polymorphus.10,,,,,,,,,,1.080786026
Pabay ,14_1_2022,Aglaophenia tubulifera,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Aglaopheniidae,Aglaophenia,1.076898949
Pabay,8_3_2022,Bougainvillia muscus,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Anthoathecata,Bougainvilliidae,Bougainvillia,1.050397101
Pabay,10_12_2021,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,1.049097776
Pabay,29_11_2021,Minutocellus polymorphus.7,,,,,,,,,,1.049074819
Pabay,30_10_2021,Chaetoceros socialis.2,,,,,,,,,,1.018329939
Pabay,30_10_2021,Tripleuchlanis plicata,,,,,,,,,,1.018329939
Pabay,25_2_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,1.005317986
Pabay,21_12_2021,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0.961538462
Pabay,21_3_2022,Lithodesmium undulatum.3,,,,,,,,,,0.960658737
Pabay,8_2_2022,Monostilifera sp.,,,,,,,,,,0.940907492
Pabay,8_2_2022,Asplanchna sieboldii,,,,,,,,,,0.932113964
Pabay,29_11_2021,Urodasys sp. 114a.1,,,,,,,,,,0.920353982
Pabay,30_10_2021,Cassiopea xamachana.3,,,,,,,,,,0.916496945
Pabay,8_3_2022,Aglaophenia pluma,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Aglaopheniidae,Aglaophenia,0.904230225
Pabay,29_11_2021,Temora sp.,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Calanoida,Temoridae,Temora,0.895196507
Pabay,15_7_2022,Monostilifera sp..1,,,,,,,,,,0.885304221
Pabay,29_11_2021,Electra pilosa,,,,,,,,,,0.884279476
Pabay,10_4_2022,Ditylum brightwellii.3,,,,,,,,,,0.850405876
Pabay,25_2_2022,Lithodesmium intricatum.3,,,,,,,,,,0.848414088
Pabay,29_11_2021,Minutocellus polymorphus.10,,,,,,,,,,0.820181434
Pabay,30_10_2021,Minutocellus polymorphus.5,,,,,,,,,,0.814663951
Pabay,10_12_2021,Clytia sp. 2 AFC-2016.2,,,,,,,,,,0.814159292
Pabay,10_4_2022,Cernosvitoviella minor,,,,,,,,,,0.810337276
Pabay,29_11_2021,Minutocellus polymorphus.7,,,,,,,,,,0.810239841
Pabay,21_3_2022,Maresearsia praeclara,,,,,,,,,,0.808878856
Pabay,21_3_2022,Urodasys sp. 114a.6,,,,,,,,,,0.80797662
Pabay,10_4_2022,Lithodesmium undulatum.2,,,,,,,,,,0.801366798
Pabay,29_11_2021,Minutocellus polymorphus.12,,,,,,,,,,0.796943231
Pabay,22_5_2022,Monostilifera sp.,,,,,,,,,,0.762233137
Pabay,30_7_2022,Minutocellus polymorphus.8,,,,,,,,,,0.758844856
Pabay,29_11_2021,Minutocellus polymorphus.10,,,,,,,,,,0.743362832
Pabay,10_12_2021,Maresearsia praeclara,,,,,,,,,,0.713386488
Pabay,29_11_2021,Urodasys sp. 114a.1,,,,,,,,,,0.71082391
Pabay,10_4_2022,Asplanchna sieboldii.2,,,,,,,,,,0.707806208
Pabay,8_2_2022,Asplanchna sieboldii,,,,,,,,,,0.703892109
Pabay,22_5_2022,Monostilifera sp..1,,,,,,,,,,0.701514708
Pabay,13_11_2021,Monostilifera sp.,,,,,,,,,,0.693586402
Pabay,30_7_2022,Minutocellus polymorphus.10,,,,,,,,,,0.688836105
Pabay,22_5_2022,Ditylum brightwellii.3,,,,,,,,,,0.686335101
Pabay,30_6_2022,Ditylum brightwellii.3,,,,,,,,,,0.675860129
Pabay,8_3_2022,Monostilifera sp..1,,,,,,,,,,0.666105479
Pabay,10_4_2022,invertebrate environmental sample,,,,,,,,,,0.659279302
Pabay,30_6_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0.658487959
Pabay,14_1_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,0.652140158
Pabay,13_11_2021,Minutocellus polymorphus.6,,,,,,,,,,0.642709556
Pabay,8_3_2022,Celleporella hyalina,,,,,,,,,,0.612329334
Pabay,29_11_2021,Minutocellus polymorphus.9,,,,,,,,,,0.600436681
Pabay,8_2_2022,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,0.598136041
Pabay,21_3_2022,Skeletonema menzelii.3,,,,,,,,,,0.594693504
Pabay,7_5_2022,Monostilifera sp..1,,,,,,,,,,0.589924302
Pabay,7_5_2022,Monostilifera sp..4,,,,,,,,,,0.589924302
Pabay,8_2_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0.589166374
Pabay,15_7_2022,Minutocellus polymorphus.5,,,,,,,,,,0.588263126
Pabay ,14_1_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0.585498458
Pabay,16_9_2021,Steromphala cineraria,,,,,,,,,,0.583394506
Pabay,29_11_2021,Monostilifera sp..1,,,,,,,,,,0.57860262
Pabay,22_5_2022,Chaetognatha environmental sample,,,,,,,,,,0.577909334
Pabay,13_11_2021,Minutocellus polymorphus.7,,,,,,,,,,0.575219861
Pabay ,13_11_2021,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0.568990043
Pabay,30_6_2022,Forskalia tholoides,,,,,,,,,,0.568561873
Pabay,10_12_2021,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,0.565770863
Pabay,7_5_2022,Cassiopea xamachana,Animalia,Cnidaria,,Scyphozoa,,,Rhizostomeae,Cassiopeidae,Cassiopea,0.564037445
Pabay,21_3_2022,Urodasys sp. 114a.6,,,,,,,,,,0.54894785
Pabay,29_11_2021,Temora sp.,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Calanoida,Temoridae,Temora,0.541816826
Pabay,10_4_2022,Aurelia sp. 11 sensu Dawson et al. (2005),,,,,,,,,,0.540093631
Pabay,8_3_2022,Lanice conchilega,Animalia,Annelida,,Polychaeta,Sedentaria,,Terebellida,Terebellidae,Lanice,0.538606699
Pabay,14_1_2022,Aglaophenia tubulifera,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Aglaopheniidae,Aglaophenia,0.535760728
Pabay,21_3_2022,Skeletonema marinoi,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0.53292075
Pabay,10_4_2022,Evadne sp.,,,,,,,,,,0.514673675
Pabay,30_6_2022,Cassiopea xamachana,Animalia,Cnidaria,,Scyphozoa,,,Rhizostomeae,Cassiopeidae,Cassiopea,0.508756401
Pabay,21_12_2021,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,0.501253133
Pabay,7_5_2022,Monostilifera sp.,,,,,,,,,,0.495954059
Pabay,29_11_2021,Minutocellus polymorphus.6,,,,,,,,,,0.495575221
Pabay,15_7_2022,Chrysochromulina tobinii,Eukaryota,Haptophyta,,Prymnesiophyceae,,,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,0.490849397
Pabay,13_11_2021,Cassiopea xamachana,Animalia,Cnidaria,,Scyphozoa,,,Rhizostomeae,Cassiopeidae,Cassiopea,0.484723854
Pabay,21_12_2021,Aglaophenia tubulifera,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Aglaopheniidae,Aglaophenia,0.480769231
Pabay,15_7_2022,Garveia annulata,,,,,,,,,,0.473882168
Pabay,30_6_2022,invertebrate environmental sample,,,,,,,,,,0.470703077
Pabay,8_2_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0.46728972
Pabay,21_3_2022,Urodasys sp. 114a.11,,,,,,,,,,0.464156782
Pabay,16_9_2021,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0.463752506
Pabay,29_11_2021,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,0.458515284
Pabay,21_3_2022,Urodasys sp. 114a.7,,,,,,,,,,0.457456542
Pabay,29_11_2021,Cyclotella cryptica,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Stephanodiscaceae,Cyclotella,0.45695897
Pabay,10_4_2022,Jassa herdmani.1,,,,,,,,,,0.456341537
Pabay,8_3_2022,Jassa herdmani,,,,,,,,,,0.44959316
Pabay,29_11_2021,Bursaphelenchus cocophilus,,,,,,,,,,0.447598253
Pabay,29_11_2021,Temora sp.,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Calanoida,Temoridae,Temora,0.437650845
Pabay,8_2_2022,Minutocellus polymorphus.5,,,,,,,,,,0.43088287
Pabay,8_3_2022,Urodasys sp. 114a.9,,,,,,,,,,0.420663626
Pabay,8_2_2022,Thalassiosira rotula,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Thalassiosiraceae,Thalassiosira,0.417304215
Pabay,25_2_2022,Temora sp.,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Calanoida,Temoridae,Temora,0.416423429
Pabay,29_11_2021,Ditylum brightwellii.4,,,,,,,,,,0.415061514
Pabay,7_5_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,0.410477512
Pabay,29_11_2021,Urodasys sp. 114a.8,,,,,,,,,,0.405470636
Pabay,29_11_2021,Urodasys sp. 114a.7,,,,,,,,,,0.403930131
Pabay,8_2_2022,Clytia sp. 2 AFC-2016.3,,,,,,,,,,0.395708758
Pabay,21_3_2022,Urodasys sp. 114a.1,,,,,,,,,,0.395392814
Pabay,29_11_2021,Cyclotella cryptica,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Stephanodiscaceae,Cyclotella,0.390207531
Pabay,10_12_2021,Maresearsia praeclara,,,,,,,,,,0.389380531
Pabay,8_3_2022,Obelia bidentata,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Obelia,0.388911874
Pabay,22_5_2022,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,0.386249517
Pabay,29_11_2021,Minutocellus polymorphus.6,,,,,,,,,,0.382751336
Pabay ,14_1_2022,Temora sp.,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Calanoida,Temoridae,Temora,0.381619531
Pabay,10_4_2022,Euchlanis dilatata,,,,,,,,,,0.380105656
Pabay,10_4_2022,Ditylum brightwellii.3,,,,,,,,,,0.374242363
Pabay,22_5_2022,Urodasys sp. 114a,,,,,,,,,,0.361057802
Pabay,21_3_2022,Urodasys sp. 114a.12,,,,,,,,,,0.36101083
Pabay,29_11_2021,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,0.357897353
Pabay,10_12_2021,Cassiopea xamachana,Animalia,Cnidaria,,Scyphozoa,,,Rhizostomeae,Cassiopeidae,Cassiopea,0.353606789
Pabay,10_4_2022,Jassa herdmani.3,,,,,,,,,,0.353262037
Pabay,29_11_2021,Electra pilosa.1,,,,,,,,,,0.347546259
Pabay,15_7_2022,invertebrate environmental sample,,,,,,,,,,0.34381062
Pabay,16_9_2021,Minutocellus polymorphus.5,,,,,,,,,,0.338090536
Pabay,10_12_2021,Urodasys sp. 114a.20,,,,,,,,,,0.335711288
Pabay,14_1_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0.33550065
Pabay,29_11_2021,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,0.328238134
Pabay,29_11_2021,Ministeria vibrans,,,,,,,,,,0.327510917
Pabay,15_7_2022,Polyarthra major,,,,,,,,,,0.321731039
Pabay,13_11_2021,Aequorea sp. USNM IZ 1448486,,,,,,,,,,0.31875902
Pabay,29_11_2021,Hormogaster redii,,,,,,,,,,0.316593886
Pabay,15_7_2022,Minutocellus polymorphus.7,,,,,,,,,,0.315313851
Pabay,15_7_2022,Thoosa mismalolli,,,,,,,,,,0.315313851
Pabay,25_2_2022,Lithodesmium intricatum.4,,,,,,,,,,0.315236427
Pabay,22_5_2022,Asplanchna sieboldii.1,,,,,,,,,,0.313350465
Pabay,29_11_2021,Urodasys sp. 114a.8,,,,,,,,,,0.313160184
Pabay,7_5_2022,Cassiopea xamachana.1,,,,,,,,,,0.313026017
Pabay,21_3_2022,Cassiopea xamachana,Animalia,Cnidaria,,Scyphozoa,,,Rhizostomeae,Cassiopeidae,Cassiopea,0.309437855
Pabay,22_5_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,0.308999614
Pabay,8_2_2022,Minutocellus polymorphus.18,,,,,,,,,,0.307773479
Pabay,7_5_2022,Chaetoceros tenuissimus,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Chaetocerotales,Chaetocerotaceae,Chaetoceros,0.307119865
Pabay,10_4_2022,Bougainvillia muscus.1,,,,,,,,,,0.306017266
Pabay,29_11_2021,Urodasys sp. 114a.2,,,,,,,,,,0.305676856
Pabay,29_11_2021,Pagurus longicarpus,,,,,,,,,,0.305676856
Pabay,22_5_2022,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,0.304676403
Pabay,30_7_2022,Ditylum brightwellii.3,,,,,,,,,,0.301287661
Pabay,10_4_2022,Asplanchna sieboldii.3,,,,,,,,,,0.296953179
Pabay,22_5_2022,Chaetoceros tenuissimus.3,,,,,,,,,,0.29612463
Pabay,10_12_2021,Thalassiosira rotula.6,,,,,,,,,,0.293747377
Pabay,7_5_2022,Kurtiella bidentata,,,,,,,,,,0.292351866
Pabay,21_3_2022,Urodasys sp. 114a.14,,,,,,,,,,0.292246863
Pabay,8_2_2022,Minutocellus polymorphus.12,,,,,,,,,,0.289837927
Pabay,8_3_2022,Skeletonema menzelii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0.289615225
Pabay,29_11_2021,Minutocellus polymorphus.12,,,,,,,,,,0.288306201
Pabay,16_9_2021,Minutocellus polymorphus.8,,,,,,,,,,0.284235407
Pabay,30_7_2022,Minutocellus polymorphus.9,,,,,,,,,,0.283785473
Pabay,10_12_2021,Cassiopea sp. PGNIMCP,,,,,,,,,,0.282885431
Pabay,10_4_2022,Doto coronata,,,,,,,,,,0.279173646
Pabay,8_2_2022,Thalassiosira rotula.2,,,,,,,,,,0.27820281
Pabay,8_3_2022,Cassiopea xamachana.1,,,,,,,,,,0.274494016
Pabay,22_5_2022,invertebrate environmental sample.3,,,,,,,,,,0.274317189
Pabay,29_11_2021,invertebrate environmental sample.2,,,,,,,,,,0.272925764
Pabay,29_11_2021,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,0.270313757
Pabay,29_11_2021,Electra pilosa.1,,,,,,,,,,0.268423015
Pabay,8_3_2022,Celleporella hyalina.1,,,,,,,,,,0.264791063
Pabay,29_11_2021,Pleurosigma inscriptura.1,,,,,,,,,,0.262008734
Pabay,15_7_2022,invertebrate environmental sample.1,,,,,,,,,,0.259345255
Pabay,21_3_2022,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,0.257864879
