Unnamed: 0,Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,Notes on blades,Sample no,Total_Zooplankton,total reads,Total_Phytoplankton,taxa,abundance,sample_type,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Family,Genus,Focal_sp
17720,Saccharina,Pabay_25_2_22_3,Pabay,Mid,3,25_2_2022,25,2,2022,,10,855,6863.5,8548,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
18331,Saccharina,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,,5,519,10058.75,1155,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
18942,Saccharina,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,,5,678,4580,3697,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
19553,Saccharina,Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,,5,836,15537.5,2541,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
20164,Saccharina,Pabay_30_1_22_1,Pabay,NE,1,30_1_2022,30,1,2022,"one blade, clean",9,206,,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
20775,Saccharina,Pabay_30_1_22_2,Pabay,NW,2,30_1_2022,30,1,2022,,9,825,,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
21386,Saccharina,Pabay_30_1_22_3,Pabay,Mid,3,30_1_2022,30,1,2022,,9,380,,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
21997,Saccharina,Pabay_30_10_21_1,Pabay,NE,1,30_10_2021,30,10,2021,,3,5131,491,4621,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
22608,Saccharina,Pabay_30_10_21_2,Pabay,NW,2,30_10_2021,30,10,2021,,3,3618,1226.5,7855,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
23219,Saccharina,Pabay_30_10_21_3,Pabay,Mid,3,30_10_2021,30,10,2021,,3,3096,11803.5,3234,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
23830,Saccharina,Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,,17,11797,60441.5,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
24441,Saccharina,Pabay_30_6_22_2,Pabay,NW,2,30_6_2022,30,6,2022,,17,19190,1495,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
25052,Saccharina,Pabay_30_6_22_3,Pabay,Mid,3,30_6_2022,30,6,2022,,17,14882,21309,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
25663,Saccharina,Pabay_30_7_22_1,Pabay,NE,1,30_7_2022,30,7,2022,,19,6160,11825.5,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
26274,Saccharina,Pabay_30_7_22_2,Pabay,NW,2,30_7_2022,30,7,2022,,19,11883,22251,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
26885,Saccharina,Pabay_30_7_22_3,Pabay,Mid,3,30_7_2022,30,7,2022,,19,5119,39995,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
27496,Saccharina,Pabay_7_5_22_1,Pabay,NE,1,7_5_2022,7,5,2022,"clean, circle shape",15,13623,16931.5,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
28107,Saccharina,Pabay_7_5_22_2,Pabay,NW,2,7_5_2022,7,5,2022,clean,15,15613,9577.5,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
28718,Saccharina,Pabay_7_5_22_3,Pabay,Mid,3,7_5_2022,7,5,2022,clean,15,7591,12495,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
29329,Saccharina,Pabay_8_2_22_1,Pabay,NE,1,8_2_2022,8,2,2022,"2 blades:one whole one cut, clean",11,155,8453,,Actinoptychus senarius,,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
29940,Saccharina,Pabay_8_2_22_2,Pabay,NW,2,8_2_2022,8,2,2022,,11,849,3594.5,5083,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
30551,Saccharina,Pabay_8_2_22_3,Pabay,Mid,3,8_2_2022,8,2,2022,,11,719,5686,8779,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
31162,Saccharina,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,"5 blades, epibionts semmed to come from the rope",12,3181,18127.5,56141,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
31773,Saccharina,Pabay_8_3_22_2,Pabay,NW,2,8_3_2022,8,3,2022,,12,5044,12718,30034,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
32384,Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,,12,6510,27323,72545,Actinoptychus senarius,0,phytoplankton,Chromista,Ochrophyta,,Bacillariophyceae,Coscinodiscophyceae,,Coscinodiscales,Heliopeltaceae,Actinoptychus,No
283,Saccharina,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,178,1412.5,3928,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
894,Saccharina,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,462,1191.5,462,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
1505,Saccharina,Pabay_10_12_21_3,Pabay,Mid,3,10_12_2021,10,12,2021,,6,106,1414,5545,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
2116,Saccharina,Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,one plant?clean but fragmented in pieces,14,878,4566,146014,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
2727,Saccharina,Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,one plant?clean but fragmented in pieces,14,437,12291.5,110589,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
3338,Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,"one plant?clean but fragmented in pieces, base visible",14,1385,93132,110897,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
3949,Saccharina,Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,,4,3145,3404,2541,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
4560,Saccharina,Pabay_13_11_21_2,Pabay,NW,2,13_11_2021,13,11,2021,,4,2096,703,8548,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
5171,Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,,4,3412,48155.5,2772,Aequorea sp. USNM IZ 1448486,0.31875902,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
5782,Saccharina,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,6 blades,8,1038,9660.5,5545,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
6393,Saccharina,Pabay_14_1_22_2,Pabay,NW,2,14_1_2022,14,1,2022,,8,1241,9564.5,3697,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
7004,Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,,8,2568,9612.5,3466,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
7615,Saccharina,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,,18,17412,36823.5,,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
8226,Saccharina,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,,18,15621,15381.5,,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
8837,Saccharina,Pabay_15_7_22_3,Pabay,Mid,3,15_7_2022,15,7,2022,,18,22346,31703.5,,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
9448,Saccharina,Pabay_16_9_21_1,Pabay,NE,1,16_9_2021,16,9,2021,,2,23875,16711.5,24721,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
10059,Saccharina,Pabay_16_9_21_2,Pabay,NW,2,16_9_2021,16,9,2021,,2,19499,12941.5,23566,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
10670,Saccharina,Pabay_16_9_21_3,Pabay,Mid,3,16_9_2021,16,9,2021,,2,16679,6499,24490,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
11281,Saccharina,Pabay_21_12_21_1,Pabay,NE,1,21_12_2021,21,12,2021,,7,685,598.5,1617,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
11892,Saccharina,Pabay_21_12_21_2,Pabay,NW,2,21_12_2021,21,12,2021,,7,766,624,3466,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
12503,Saccharina,Pabay_21_12_21_3,Pabay,Mid,3,21_12_2021,21,12,2021,,7,369,7662.5,2079,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
13114,Saccharina,Pabay_21_3_22_1,Pabay,NE,1,21_3_2022,21,3,2022,3 blades,13,2659,1093,1797448,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
13725,Saccharina,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,8 blades,13,6065,2658,1409772,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
14336,Saccharina,Pabay_21_3_22_3,Pabay,Mid,3,21_3_2022,21,3,2022,5 blades,13,5050,2908.5,1739690,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
14947,Saccharina,Pabay_22_5_22_1,Pabay,NE,1,22_5_2022,22,5,2022,,16,18066,5717,,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
15558,Saccharina,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,,16,16045,46114.5,,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
16169,Saccharina,Pabay_22_5_22_3,Pabay,Mid,3,22_5_2022,22,5,2022,,16,21498,3883.5,,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
16780,Saccharina,Pabay_25_2_22_1,Pabay,NE,1,25_2_2022,25,2,2022,2 blades,10,689,7907,13631,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
17391,Saccharina,Pabay_25_2_22_2,Pabay,NW,2,25_2_2022,25,2,2022,,10,993,12847.5,17328,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
18002,Saccharina,Pabay_25_2_22_3,Pabay,Mid,3,25_2_2022,25,2,2022,,10,855,6863.5,8548,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
18613,Saccharina,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,,5,519,10058.75,1155,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
19224,Saccharina,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,,5,678,4580,3697,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
19835,Saccharina,Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,,5,836,15537.5,2541,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
20446,Saccharina,Pabay_30_1_22_1,Pabay,NE,1,30_1_2022,30,1,2022,"one blade, clean",9,206,,,Aequorea sp. USNM IZ 1448486,,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
21057,Saccharina,Pabay_30_1_22_2,Pabay,NW,2,30_1_2022,30,1,2022,,9,825,,,Aequorea sp. USNM IZ 1448486,,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
21668,Saccharina,Pabay_30_1_22_3,Pabay,Mid,3,30_1_2022,30,1,2022,,9,380,,,Aequorea sp. USNM IZ 1448486,,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
22279,Saccharina,Pabay_30_10_21_1,Pabay,NE,1,30_10_2021,30,10,2021,,3,5131,491,4621,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
22890,Saccharina,Pabay_30_10_21_2,Pabay,NW,2,30_10_2021,30,10,2021,,3,3618,1226.5,7855,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
23501,Saccharina,Pabay_30_10_21_3,Pabay,Mid,3,30_10_2021,30,10,2021,,3,3096,11803.5,3234,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
24112,Saccharina,Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,,17,11797,60441.5,,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
24723,Saccharina,Pabay_30_6_22_2,Pabay,NW,2,30_6_2022,30,6,2022,,17,19190,1495,,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
25334,Saccharina,Pabay_30_6_22_3,Pabay,Mid,3,30_6_2022,30,6,2022,,17,14882,21309,,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
25945,Saccharina,Pabay_30_7_22_1,Pabay,NE,1,30_7_2022,30,7,2022,,19,6160,11825.5,,Aequorea sp. USNM IZ 1448486,0,eDNA,Animalia,Cnidaria,,Hydrozoa,,,Leptothecata,Aequoreidae,Aequorea,Yes
