Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,Notes on blades,Sample no,Total_Phytoplankton,Total_Zooplankton,total_reads,sample_type,species_original,species_cleaned,plankton_type,phytoplank_abundance,zooplank_abundance,eDNA_reads,kingdom,phylum,class,order,family,genus,species_binomial,authority
Alaria,Pabay_30_7_22_3,Pabay,Mid,3,30_7_2022,30,7,2022,,19,,5119,39995,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Alaria,Pabay_7_5_22_1,Pabay,NE,1,7_5_2022,7,5,2022,blade cut in half,15,,13623,16931.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Alaria,Pabay_7_5_22_2,Pabay,NW,2,7_5_2022,7,5,2022,"3 blades in one bottle, all had tufts",15,,15613,9577.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Alaria,Pabay_7_5_22_3,Pabay,Mid,3,7_5_2022,7,5,2022,entire blade,15,,7591,12495,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Alaria,Pabay_8_2_22_1,Pabay,NE,1,8_2_2022,8,2,2022,,11,,155,8453,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Alaria,Pabay_8_2_22_2,Pabay,NW,2,8_2_2022,8,2,2022,,11,5083,849,3594.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Alaria,Pabay_8_2_22_3,Pabay,Mid,3,8_2_2022,8,2,2022,,11,8779,719,5686,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Alaria,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,"10 blades, clean",12,56141,3181,18127.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Alaria,Pabay_8_3_22_2,Pabay,NW,2,8_3_2022,8,3,2022,,12,30034,5044,12718,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,,12,72545,6510,27323,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,3928,178,1412.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,462,462,1191.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_10_12_21_3,Pabay,Mid,3,10_12_2021,10,12,2021,,6,5545,106,1414,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,one plant?clean but fragmented in pieces,14,146014,878,4566,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,one plant?clean but fragmented in pieces,14,110589,437,12291.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,"one plant?clean but fragmented in pieces, base visible",14,110897,1385,93132,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,,4,2541,3145,3404,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_13_11_21_2,Pabay ,NW,2,13_11_2021,13,11,2021,,4,8548,2096,703,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,,4,2772,3412,48155.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,6 blades,8,5545,1038,9660.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,231,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,,8,3697,1241,9564.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,,8,3466,2568,9612.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_15_6_21_1,Pabay,NE,1,15_6_2021,15,6,2021,,1,153869,2075,34636,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_15_6_21_2,Pabay,NW,2,15_6_2021,15,6,2021,,1,234731,13753,41126.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_15_6_21_3,Pabay,Mid,3,15_6_2021,15,6,2021,,1,143472,7914,15347,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,0,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,,18,,17412,36823.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
Saccharina,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,,18,,15621,15381.5,phytoplankton,Actinoptychus senarius,Actinoptychus senarius,Phytoplankton,,,,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843"
