Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,sample_type,Total_reads,Species,Kingdom,Phylum,Class,Order,Family,Genus,Species_full,Abundance,group_precise
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,11.3622223,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.1,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.064048604,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.2,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.058558723,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.3,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.053068843,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.4,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.053068843,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.6,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.036599202,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.7,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.034769242,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.8,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.032939282,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.9,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.032939282,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.10,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.032939282,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.11,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.025619441,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.12,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.023789481,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.13,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.021959521,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.14,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.018299601,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Balanus crenatus.2,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Balanus,Balanus crenatus,0.016469641,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.15,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00731984,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.16,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00365992,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.17,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00182996,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.18,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00182996,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.19,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00182996,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.20,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00182996,Balanidae
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.21,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00182996,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,11.3622223,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.1,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.064048604,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.2,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.058558723,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.3,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.053068843,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.4,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.053068843,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.6,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.036599202,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.7,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.034769242,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.8,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.032939282,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.9,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.032939282,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.10,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.032939282,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.11,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.025619441,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.12,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.023789481,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.13,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.021959521,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.14,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.018299601,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Balanus crenatus.2,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Balanus,Balanus crenatus,0.016469641,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.15,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00731984,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.16,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00365992,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.17,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00182996,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.18,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00182996,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.19,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00182996,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.20,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00182996,Balanidae
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,reads,27323,Semibalanus balanoides.21,Animalia,Arthropoda,Hexanauplia,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,0.00182996,Balanidae
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Mytilus edulis,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,0.133941087,Bivalvia
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Mytilus edulis,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,0.133941087,Bivalvia
Alaria,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,reads,46114.5,Kurtiella bidentata,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella,Kurtiella bidentata,0.043370307,Bivalvia
Saccharina,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,reads,46114.5,Kurtiella bidentata,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella,Kurtiella bidentata,0.043370307,Bivalvia
Alaria,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,reads,10058.75,Montacutona sigalionidcola,Animalia,Mollusca,Bivalvia,Galeommatida,Montacutidae,Montacutona,Montacutona sigalionidcola,0.042251771,Bivalvia
Saccharina,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,reads,10058.75,Montacutona sigalionidcola,Animalia,Mollusca,Bivalvia,Galeommatida,Montacutidae,Montacutona,Montacutona sigalionidcola,0.042251771,Bivalvia
Alaria,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,reads,4580,Montacutona sigalionidcola,Animalia,Mollusca,Bivalvia,Galeommatida,Montacutidae,Montacutona,Montacutona sigalionidcola,0.18558952,Bivalvia
Saccharina,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,reads,4580,Montacutona sigalionidcola,Animalia,Mollusca,Bivalvia,Galeommatida,Montacutidae,Montacutona,Montacutona sigalionidcola,0.18558952,Bivalvia
Alaria,Pabay_30_10_21_3,Pabay,Mid,3,30_10_2021,30,10,2021,reads,11803.5,Montacutona sigalionidcola.1,Animalia,Mollusca,Bivalvia,Galeommatida,Montacutidae,Montacutona,Montacutona sigalionidcola,0.033888253,Bivalvia
Saccharina,Pabay_30_10_21_3,Pabay,Mid,3,30_10_2021,30,10,2021,reads,11803.5,Montacutona sigalionidcola.1,Animalia,Mollusca,Bivalvia,Galeommatida,Montacutidae,Montacutona,Montacutona sigalionidcola,0.033888253,Bivalvia
Alaria,Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,reads,60441.5,Dosinia exoleta,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Dosinia,Dosinia exoleta,0.248173854,Bivalvia
Alaria,Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,reads,60441.5,Musculus sp. CROBB104.1,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Musculus,Musculus sp. CROBB104,0.003308985,Bivalvia
Saccharina,Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,reads,60441.5,Dosinia exoleta,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Dosinia,Dosinia exoleta,0.248173854,Bivalvia
Saccharina,Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,reads,60441.5,Musculus sp. CROBB104.1,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Musculus,Musculus sp. CROBB104,0.003308985,Bivalvia
Alaria,Pabay_7_5_22_2,Pabay,NW,2,7_5_2022,7,5,2022,reads,9577.5,Kurtiella bidentata,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella,Kurtiella bidentata,0.292351866,Bivalvia
Saccharina,Pabay_7_5_22_2,Pabay,NW,2,7_5_2022,7,5,2022,reads,9577.5,Kurtiella bidentata,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella,Kurtiella bidentata,0.292351866,Bivalvia
Alaria,Scalpay_15_6_21_3,Scalpay,NW,3,15_6_2021,15,6,2021,reads,30199,Dosinia lupinus,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Dosinia,Dosinia lupinus,0.013245472,Bivalvia
Saccharina,Scalpay_15_6_21_3,Scalpay,NW,3,15_6_2021,15,6,2021,reads,30199,Dosinia lupinus,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Dosinia,Dosinia lupinus,0.013245472,Bivalvia
Alaria,Scalpay_15_6_21_4,Scalpay,4,4,15_6_2021,15,6,2021,reads,11373.5,Musculus sp. CROBB104,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Musculus,Musculus sp. CROBB104,0.225064864,Bivalvia
Saccharina,Scalpay_15_6_21_4,Scalpay,4,4,15_6_2021,15,6,2021,reads,11373.5,Musculus sp. CROBB104,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Musculus,Musculus sp. CROBB104,0.225064864,Bivalvia
Alaria,Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,reads,4566,Evadne sp.,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,0.514673675,Branchiopoda
Saccharina,Pabay_10_4_22_1,Pabay,NE,1,10_4_2022,10,4,2022,reads,4566,Evadne sp.,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,0.514673675,Branchiopoda
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Evadne sp.,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,26.98535412,Branchiopoda
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Evadne sp.,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,26.98535412,Branchiopoda
Alaria,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,reads,15381.5,Evadne sp..1,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,20.09882001,Branchiopoda
Saccharina,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,reads,15381.5,Evadne sp..1,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,20.09882001,Branchiopoda
Alaria,Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,reads,60441.5,Evadne sp.,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,0.057907233,Branchiopoda
Saccharina,Pabay_30_6_22_1,Pabay,NE,1,30_6_2022,30,6,2022,reads,60441.5,Evadne sp.,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,0.057907233,Branchiopoda
Alaria,Pabay_30_7_22_3,Pabay,Mid,3,30_7_2022,30,7,2022,reads,39995,Evadne sp..1,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,0.162520315,Branchiopoda
Alaria,Pabay_30_7_22_3,Pabay,Mid,3,30_7_2022,30,7,2022,reads,39995,Evadne sp..2,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,0.08376047,Branchiopoda
Saccharina,Pabay_30_7_22_3,Pabay,Mid,3,30_7_2022,30,7,2022,reads,39995,Evadne sp..1,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,0.162520315,Branchiopoda
Saccharina,Pabay_30_7_22_3,Pabay,Mid,3,30_7_2022,30,7,2022,reads,39995,Evadne sp..2,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,Evadne sp.,0.08376047,Branchiopoda
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Celleporella hyalina,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Hippothoidae,Celleporella,Celleporella hyalina,0.126701885,Bryozoa
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Celleporella hyalina,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Hippothoidae,Celleporella,Celleporella hyalina,0.126701885,Bryozoa
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Electra pilosa,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.065413089,Bryozoa
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Electra pilosa,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.065413089,Bryozoa
Alaria,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,reads,10058.75,Electra pilosa,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.201317261,Bryozoa
Alaria,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,reads,10058.75,Electra pilosa.1,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.268423015,Bryozoa
Alaria,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,reads,10058.75,Electra pilosa.2,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.052193364,Bryozoa
Alaria,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,reads,10058.75,Electra pilosa.3,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.022368585,Bryozoa
Saccharina,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,reads,10058.75,Electra pilosa,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.201317261,Bryozoa
Saccharina,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,reads,10058.75,Electra pilosa.1,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.268423015,Bryozoa
Saccharina,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,reads,10058.75,Electra pilosa.2,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.052193364,Bryozoa
Saccharina,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,reads,10058.75,Electra pilosa.3,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.022368585,Bryozoa
Alaria,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,reads,4580,Electra pilosa,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.884279476,Bryozoa
Alaria,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,reads,4580,Electra pilosa.3,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.098253275,Bryozoa
Saccharina,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,reads,4580,Electra pilosa,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.884279476,Bryozoa
Saccharina,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,reads,4580,Electra pilosa.3,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.098253275,Bryozoa
Alaria,Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,reads,15537.5,Electra pilosa.1,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.347546259,Bryozoa
Alaria,Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,reads,15537.5,Electra pilosa.2,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.067578439,Bryozoa
Saccharina,Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,reads,15537.5,Electra pilosa.1,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.347546259,Bryozoa
Saccharina,Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,reads,15537.5,Electra pilosa.2,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,0.067578439,Bryozoa
Alaria,Pabay_30_10_21_1,Pabay,NE,1,30_10_2021,30,10,2021,reads,491,Electra pilosa,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,2.138492872,Bryozoa
Saccharina,Pabay_30_10_21_1,Pabay,NE,1,30_10_2021,30,10,2021,reads,491,Electra pilosa,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,Electra pilosa,2.138492872,Bryozoa
Alaria,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,reads,18127.5,Celleporella hyalina,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Hippothoidae,Celleporella,Celleporella hyalina,0.612329334,Bryozoa
Alaria,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,reads,18127.5,Celleporella hyalina.1,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Hippothoidae,Celleporella,Celleporella hyalina,0.264791063,Bryozoa
Saccharina,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,reads,18127.5,Celleporella hyalina,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Hippothoidae,Celleporella,Celleporella hyalina,0.612329334,Bryozoa
