Seaweed,Sample_code,Site,Date,Day,Month,Year,sample_type,Total_Zooplankton,Bivalvia,Bryozoa ,Clytia,Copepod nauplii,Copepods,Ctenophore,Decapoda larvae,Euphysa sp.,Evadne,Fish egg,Fish larvae,Gastropoda,Holoplankton,Holothuria larvae,Hydroids,Lizzia blondina,Meroplankton,Microfibers,MP Fragments,Nemertini larvae,Obelia,Ophiura larvae,other Polychaetae larvae,Phoronida larvae,Podon,Rathkea Octopunctata,Sabellariidae,Sagitta,Sea_urchin_larvae,Siphonophorae,Solmaris corona,Spionida,Stauridiosarsia gemmifera,total_Balanoida,Total_Brachiopoda,total_Copepoda,Total_Hydrozoa,Total_Malacostraca,Total_Polychaeta,unknown_Jellies
Alaria,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,25,0,17,102,178,0,25,0,255,25,0,76,672,0,0,0,713,0,0,2,2,0,458,2,0,0,0,0,102,0,0,0,0,102,255,280,19,25,458,0
Saccharina,Pabay_10_4_22_3,Pabay,10_4_2022,10,4,2022,zooplankton,1385,25,0,17,102,178,0,25,0,255,25,0,76,672,0,0,0,713,0,0,2,2,0,458,2,0,0,0,0,102,0,0,0,0,102,255,280,19,25,458,0
Alaria,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,2,85,0,1392,1460,0,0,0,0,2,0,34,2956,0,0,0,189,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,34,0,2852,0,0,51,0
Saccharina,Pabay_13_11_21_1,Pabay,13_11_2021,13,11,2021,zooplankton,3145,2,85,0,1392,1460,0,0,0,0,2,0,34,2956,0,0,0,189,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,34,0,2852,0,0,51,0
Alaria,Pabay_13_11_21_2,Pabay ,13_11_2021,13,11,2021,zooplankton,2096,2,85,0,832,1086,0,0,0,0,0,0,34,1971,0,0,0,125,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,1918,2,0,2,0
Saccharina,Pabay_13_11_21_2,Pabay ,13_11_2021,13,11,2021,zooplankton,2096,2,85,0,832,1086,0,0,0,0,0,0,34,1971,0,0,0,125,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,1918,2,0,2,0
Alaria,Pabay_13_11_21_3,Pabay,13_11_2021,13,11,2021,zooplankton,3412,34,102,0,1409,1613,0,0,0,0,34,0,102,3090,0,0,0,323,2,0,0,0,17,0,0,0,0,68,0,0,0,0,0,0,0,0,3022,0,0,68,0
Saccharina,Pabay_13_11_21_3,Pabay,13_11_2021,13,11,2021,zooplankton,3412,34,102,0,1409,1613,0,0,0,0,34,0,102,3090,0,0,0,323,2,0,0,0,17,0,0,0,0,68,0,0,0,0,0,0,0,0,3022,0,0,68,0
Alaria,Pabay_14_1_22_1,Pabay,14_1_2022,14,1,2022,zooplankton,1038,153,17,0,102,475,0,0,0,0,0,0,34,613,0,0,0,424,2,2,0,0,0,0,0,0,0,204,0,17,0,0,0,0,2,0,577,0,0,204,0
Saccharina,Pabay_14_1_22_1,Pabay,14_1_2022,14,1,2022,zooplankton,1038,153,17,0,102,475,0,0,0,0,0,0,34,613,0,0,0,424,2,2,0,0,0,0,0,0,0,204,0,17,0,0,0,0,2,0,577,0,0,204,0
Alaria,Pabay_14_1_22_2,Pabay ,14_1_2022,14,1,2022,zooplankton,1241,238,51,0,136,543,0,0,0,17,0,0,68,713,0,0,0,528,17,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,17,679,0,0,170,0
Saccharina,Pabay_14_1_22_2,Pabay ,14_1_2022,14,1,2022,zooplankton,1241,238,51,0,136,543,0,0,0,17,0,0,68,713,0,0,0,528,17,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,17,679,0,0,170,0
Alaria,Pabay_14_1_22_3,Pabay,14_1_2022,14,1,2022,zooplankton,2568,407,2,0,407,1137,0,0,0,0,0,0,102,1562,0,0,0,1006,0,2,0,0,0,0,0,0,0,475,0,2,0,0,0,0,0,0,1545,0,17,475,0
Saccharina,Pabay_14_1_22_3,Pabay,14_1_2022,14,1,2022,zooplankton,2568,407,2,0,407,1137,0,0,0,0,0,0,102,1562,0,0,0,1006,0,2,0,0,0,0,0,0,0,475,0,2,0,0,0,0,0,0,1545,0,17,475,0
Alaria,Pabay_15_6_21_1,Pabay,15_6_2021,15,6,2021,zooplankton,2075,2,0,0,509,1451,0,0,0,76,2,2,2,2043,0,0,0,30,25,0,0,0,25,0,0,0,0,52,2,0,0,0,0,0,0,76,1961,0,0,52,0
Saccharina,Pabay_15_6_21_1,Pabay,15_6_2021,15,6,2021,zooplankton,2075,2,0,0,509,1451,0,0,0,76,2,2,2,2043,0,0,0,30,25,0,0,0,25,0,0,0,0,52,2,0,0,0,0,0,0,76,1961,0,0,52,0
Alaria,Pabay_15_6_21_2,Pabay,15_6_2021,15,6,2021,zooplankton,13753,3336,0,0,6825,2954,0,0,0,0,25,0,509,9906,0,0,0,3847,76,25,0,0,0,0,0,0,0,51,0,0,0,0,2,0,0,0,9778,2,0,53,2
Saccharina,Pabay_15_6_21_2,Pabay,15_6_2021,15,6,2021,zooplankton,13753,3336,0,0,6825,2954,0,0,0,0,25,0,509,9906,0,0,0,3847,76,25,0,0,0,0,0,0,0,51,0,0,0,0,2,0,0,0,9778,2,0,53,2
Alaria,Pabay_15_6_21_3,Pabay,15_6_2021,15,6,2021,zooplankton,7914,1669,0,0,3667,2202.5,0,0,0,38,13.5,1,255.5,5974.5,0,0,0,1938.5,50.5,12.5,0,0,12.5,0,0,0,0,51.5,1,0,0,0,1,0,0,38,5869.5,1,0,52.5,1
Saccharina,Pabay_15_6_21_3,Pabay,15_6_2021,15,6,2021,zooplankton,7914,1669,0,0,3667,2202.5,0,0,0,38,13.5,1,255.5,5974.5,0,0,0,1938.5,50.5,12.5,0,0,12.5,0,0,0,0,51.5,1,0,0,0,1,0,0,38,5869.5,1,0,52.5,1
Alaria,Pabay_15_7_22_1,Pabay,15_7_2022,15,7,2022,zooplankton,17412,2785,102,0,1868,8709,2,0,0,3005,2,0,102,14195,0,2,35,3217,0,0,0,35,2,0,0,0,0,51,0,0,0,0,88,0,16,3005,10577,71,16,139,0
Saccharina,Pabay_15_7_22_1,Pabay,15_7_2022,15,7,2022,zooplankton,17412,2785,102,0,1868,8709,2,0,0,3005,2,0,102,14195,0,2,35,3217,0,0,0,35,2,0,0,0,0,51,0,0,0,0,88,0,16,3005,10577,71,16,139,0
Alaria,Pabay_15_7_22_2,Pabay,15_7_2022,15,7,2022,zooplankton,15621,1833,136,0,2445,8403,16,16,0,2088,35,0,67,13360,0,2,2,2261,0,0,0,35,86,0,0,16,0,16,0,0,0,16,35,0,51,2104,10848,39,33,51,0
Saccharina,Pabay_15_7_22_2,Pabay,15_7_2022,15,7,2022,zooplankton,15621,1833,136,0,2445,8403,16,16,0,2088,35,0,67,13360,0,2,2,2261,0,0,0,35,86,0,0,16,0,16,0,0,0,16,35,0,51,2104,10848,39,33,51,0
Alaria,Pabay_15_7_22_3,Pabay,15_7_2022,15,7,2022,zooplankton,22346,1799,204,0,3072,13582,16,0,0,2479,0,0,238,19812,0,16,0,2532,0,0,16,16,35,2,0,0,0,35,2,2,0,35,153,0,51,2479,16654,33,16,189,0
Saccharina,Pabay_15_7_22_3,Pabay,15_7_2022,15,7,2022,zooplankton,22346,1799,204,0,3072,13582,16,0,0,2479,0,0,238,19812,0,16,0,2532,0,0,16,16,35,2,0,0,0,35,2,2,0,35,153,0,51,2479,16654,33,16,189,0
Alaria,Pabay_16_9_21_1,Pabay,16_9_2021,16,9,2021,zooplankton,23875,764,2,0,11026,5399,0,178,0,76,51,0,1681,20934,0,0,0,2941,25,0,0,2,2,2,0,2,0,306,0,0,0,0,2,0,76,78,16425,2,178,310,0
Saccharina,Pabay_16_9_21_1,Pabay,16_9_2021,16,9,2021,zooplankton,23875,764,2,0,11026,5399,0,178,0,76,51,0,1681,20934,0,0,0,2941,25,0,0,2,2,2,0,2,0,306,0,0,0,0,2,0,76,78,16425,2,178,310,0
Alaria,Pabay_16_9_21_2,Pabay,16_9_2021,16,9,2021,zooplankton,19499,509,2,0,8590,5229,0,221,0,17,34,0,611,17895,0,0,17,1604,17,0,0,2,2,0,0,2,0,221,0,0,0,0,0,2,0,19,13819,21,221,221,0
Saccharina,Pabay_16_9_21_2,Pabay,16_9_2021,16,9,2021,zooplankton,19499,509,2,0,8590,5229,0,221,0,17,34,0,611,17895,0,0,17,1604,17,0,0,2,2,0,0,2,0,221,0,0,0,0,0,2,0,19,13819,21,221,221,0
Alaria,Pabay_16_9_21_3,Pabay,16_9_2021,16,9,2021,zooplankton,16679,153,51,0,7308,4380,0,2,0,2,34,0,127,16285,0,0,17,395,2,0,0,17,0,0,0,2,0,25,0,0,0,0,0,0,0,4,11688,34,2,25,0
Saccharina,Pabay_16_9_21_3,Pabay,16_9_2021,16,9,2021,zooplankton,16679,153,51,0,7308,4380,0,2,0,2,34,0,127,16285,0,0,17,395,2,0,0,17,0,0,0,2,0,25,0,0,0,0,0,0,0,4,11688,34,2,25,0
Alaria,Pabay_21_12_21_1,Pabay,21_12_2021,21,12,2021,zooplankton,685,2,34,0,221,390,0,0,0,0,0,0,34,613,0,0,0,72,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,611,0,0,2,0
Saccharina,Pabay_21_12_21_1,Pabay,21_12_2021,21,12,2021,zooplankton,685,2,34,0,221,390,0,0,0,0,0,0,34,613,0,0,0,72,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,611,0,0,2,0
Alaria,Pabay_21_12_21_2,Pabay,21_12_2021,21,12,2021,zooplankton,766,17,34,0,340,289,0,0,0,0,0,0,68,630,0,0,0,136,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,628,0,0,17,0
Saccharina,Pabay_21_12_21_2,Pabay,21_12_2021,21,12,2021,zooplankton,766,17,34,0,340,289,0,0,0,0,0,0,68,630,0,0,0,136,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,628,0,0,17,0
Alaria,Pabay_21_12_21_3,Pabay,21_12_2021,21,12,2021,zooplankton,369,17,34,0,85,221,0,0,0,0,0,0,10,306,0,0,0,63,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,306,0,0,2,0
Saccharina,Pabay_21_12_21_3,Pabay,21_12_2021,21,12,2021,zooplankton,369,17,34,0,85,221,0,0,0,0,0,0,10,306,0,0,0,63,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,306,0,0,2,0
Alaria,Pabay_21_3_22_1,Pabay,21_3_2022,21,3,2022,zooplankton,2659,331,51,0,306,102,0,2,0,2,0,0,51,1988,0,0,0,670,25,25,0,2,2,127,0,0,0,102,0,2,0,0,0,0,1451,2,407,2,2,229,0
Saccharina,Pabay_21_3_22_1,Pabay,21_3_2022,21,3,2022,zooplankton,2659,331,51,0,306,102,0,2,0,2,0,0,51,1988,0,0,0,670,25,25,0,2,2,127,0,0,0,102,0,2,0,0,0,0,1451,2,407,2,2,229,0
Alaria,Pabay_21_3_22_2,Pabay,21_3_2022,21,3,2022,zooplankton,6065,611,25,0,535,407,0,2,0,0,76,0,229,4431,0,0,0,1634,0,0,25,0,0,153,0,0,0,535,0,51,0,0,0,0,3259,0,942,0,2,688,0
Saccharina,Pabay_21_3_22_2,Pabay,21_3_2022,21,3,2022,zooplankton,6065,611,25,0,535,407,0,2,0,0,76,0,229,4431,0,0,0,1634,0,0,25,0,0,153,0,0,0,535,0,51,0,0,0,0,3259,0,942,0,2,688,0
Alaria,Pabay_21_3_22_3,Pabay,21_3_2022,21,3,2022,zooplankton,5050,611,76,0,458,204,0,25,0,2,25,0,51,3847,0,0,0,1203,25,0,0,2,2,102,0,0,0,229,0,25,0,0,0,0,2878,2,662,2,28,331,0
Saccharina,Pabay_21_3_22_3,Pabay,21_3_2022,21,3,2022,zooplankton,5050,611,76,0,458,204,0,25,0,2,25,0,51,3847,0,0,0,1203,25,0,0,2,2,102,0,0,0,229,0,25,0,0,0,0,2878,2,662,2,28,331,0
Alaria,Pabay_22_5_22_1,Pabay,22_5_2022,22,5,2022,zooplankton,18066,900,0,0,6553,9354,0,266,0,51,0,0,204,16590,0,0,0,1476,2,0,0,0,0,2,0,0,0,34,0,0,0,0,0,0,514,51,15907,2,266,36,2
Saccharina,Pabay_22_5_22_1,Pabay,22_5_2022,22,5,2022,zooplankton,18066,900,0,0,6553,9354,0,266,0,51,0,0,204,16590,0,0,0,1476,2,0,0,0,0,2,0,0,0,34,0,0,0,0,0,0,514,51,15907,2,266,36,2
Alaria,Pabay_22_5_22_2,Pabay,22_5_2022,22,5,2022,zooplankton,16045,390,0,0,6740,8403,0,85,0,68,0,0,153,15364,0,0,0,681,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,85,68,15143,0,87,51,0
Saccharina,Pabay_22_5_22_2,Pabay,22_5_2022,22,5,2022,zooplankton,16045,390,0,0,6740,8403,0,85,0,68,0,0,153,15364,0,0,0,681,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,85,68,15143,0,87,51,0
Alaria,Pabay_22_5_22_3,Pabay,22_5_2022,22,5,2022,zooplankton,21498,224,0,0,9351,11021,0,81,0,183,0,0,163,20903,0,0,0,595,0,0,0,0,0,0,0,2,0,81,0,0,0,0,0,0,143,185,20372,2,102,81,2
Saccharina,Pabay_22_5_22_3,Pabay,22_5_2022,22,5,2022,zooplankton,21498,224,0,0,9351,11021,0,81,0,183,0,0,163,20903,0,0,0,595,0,0,0,0,0,0,0,2,0,81,0,0,0,0,0,0,143,185,20372,2,102,81,2
Alaria,Pabay_25_2_22_1,Pabay,25_2_2022,25,2,2022,zooplankton,689,51,17,0,424,170,0,0,0,0,2,0,2,615,0,0,0,74,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,594,0,0,2,0
Saccharina,Pabay_25_2_22_1,Pabay,25_2_2022,25,2,2022,zooplankton,689,51,17,0,424,170,0,0,0,0,2,0,2,615,0,0,0,74,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,594,0,0,2,0
Alaria,Pabay_25_2_22_2,Pabay,25_2_2022,25,2,2022,zooplankton,993,102,2,0,543,170,0,2,0,0,0,0,102,717,0,0,0,276,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,2,0,713,0,2,68,0
Saccharina,Pabay_25_2_22_2,Pabay,25_2_2022,25,2,2022,zooplankton,993,102,2,0,543,170,0,2,0,0,0,0,102,717,0,0,0,276,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,2,0,713,0,2,68,0
Alaria,Pabay_25_2_22_3,Pabay,25_2_2022,25,2,2022,zooplankton,855,85,17,0,543,136,0,2,0,0,17,0,34,698,0,0,0,157,2,2,0,0,2,0,0,0,0,17,0,0,0,0,0,0,2,0,679,0,2,17,0
Saccharina,Pabay_25_2_22_3,Pabay,25_2_2022,25,2,2022,zooplankton,855,85,17,0,543,136,0,2,0,0,17,0,34,698,0,0,0,157,2,2,0,0,2,0,0,0,0,17,0,0,0,0,0,0,2,0,679,0,2,17,0
Alaria,Pabay_29_11_21_1,Pabay,29_11_2021,29,11,2021,zooplankton,519,51,2,0,187,238,0,0,0,0,0,0,2,426,0,2,0,93,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,424,2,0,2,0
Saccharina,Pabay_29_11_21_1,Pabay,29_11_2021,29,11,2021,zooplankton,519,51,2,0,187,238,0,0,0,0,0,0,2,426,0,2,0,93,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,424,2,0,2,0
Alaria,Pabay_29_11_21_2,Pabay,29_11_2021,29,11,2021,zooplankton,678,43,27,0,204,306,0,0,0,0,17,0,2,553,0,1,0,125,1,1,0,0,1,0,0,0,0,27,0,0,0,0,0,0,9,0,509,1,0,27,0
Saccharina,Pabay_29_11_21_2,Pabay,29_11_2021,29,11,2021,zooplankton,678,43,27,0,204,306,0,0,0,0,17,0,2,553,0,1,0,125,1,1,0,0,1,0,0,0,0,27,0,0,0,0,0,0,9,0,509,1,0,27,0
Alaria,Pabay_29_11_21_3,Pabay,29_11_2021,29,11,2021,zooplankton,836,34,51,0,221,373,0,0,0,0,34,0,2,679,0,0,0,157,2,2,0,0,2,0,0,0,0,51,0,0,0,0,0,0,17,0,594,0,0,51,0
Saccharina,Pabay_29_11_21_3,Pabay,29_11_2021,29,11,2021,zooplankton,836,34,51,0,221,373,0,0,0,0,34,0,2,679,0,0,0,157,2,2,0,0,2,0,0,0,0,51,0,0,0,0,0,0,17,0,594,0,0,51,0
Alaria,Pabay_30_1_22_1,Pabay,30_1_2022,30,1,2022,zooplankton,206,17,17,0,34,68,0,0,0,0,17,0,2,119,0,0,0,87,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,102,0,0,51,0
Saccharina,Pabay_30_1_22_1,Pabay,30_1_2022,30,1,2022,zooplankton,206,17,17,0,34,68,0,0,0,0,17,0,2,119,0,0,0,87,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,102,0,0,51,0
Alaria,Pabay_30_1_22_2,Pabay,30_1_2022,30,1,2022,zooplankton,825,85,2,0,272,306,0,0,0,0,2,0,68,581,0,0,0,244,2,17,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,577,0,0,85,0
Saccharina,Pabay_30_1_22_2,Pabay,30_1_2022,30,1,2022,zooplankton,825,85,2,0,272,306,0,0,0,0,2,0,68,581,0,0,0,244,2,17,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,577,0,0,85,0
Alaria,Pabay_30_1_22_3,Pabay,30_1_2022,30,1,2022,zooplankton,380,85,2,0,153,102,0,0,0,0,17,0,17,274,0,0,0,106,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,255,0,0,2,0
Saccharina,Pabay_30_1_22_3,Pabay,30_1_2022,30,1,2022,zooplankton,380,85,2,0,153,102,0,0,0,0,17,0,17,274,0,0,0,106,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,255,0,0,2,0
Alaria,Pabay_30_10_21_1,Pabay,30_10_2021,30,10,2021,zooplankton,5131,51,68,0,2682,2105,0,0,0,0,0,0,17,4923,0,0,0,208,2,0,0,0,2,0,0,17,0,68,0,0,0,0,0,0,0,17,4787,2,0,68,2
Saccharina,Pabay_30_10_21_1,Pabay,30_10_2021,30,10,2021,zooplankton,5131,51,68,0,2682,2105,0,0,0,0,0,0,17,4923,0,0,0,208,2,0,0,0,2,0,0,17,0,68,0,0,0,0,0,0,0,17,4787,2,0,68,2
Alaria,Pabay_30_10_21_2,Pabay,30_10_2021,30,10,2021,zooplankton,3618,119,34,0,2003,1154,0,0,0,0,2,0,85,3295,0,0,0,323,17,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,3158,0,0,85,0
Saccharina,Pabay_30_10_21_2,Pabay,30_10_2021,30,10,2021,zooplankton,3618,119,34,0,2003,1154,0,0,0,0,2,0,85,3295,0,0,0,323,17,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,3158,0,0,85,0
Alaria,Pabay_30_10_21_3,Pabay,30_10_2021,30,10,2021,zooplankton,3096,85,2,0,1273,1545,0,2,0,17,0,0,2,2954,0,0,0,142,51,0,0,17,0,0,0,17,0,34,0,0,0,0,0,0,0,34,2818,17,2,34,0
Saccharina,Pabay_30_10_21_3,Pabay,30_10_2021,30,10,2021,zooplankton,3096,85,2,0,1273,1545,0,2,0,17,0,0,2,2954,0,0,0,142,51,0,0,17,0,0,0,17,0,34,0,0,0,0,0,0,0,34,2818,17,2,34,0
Alaria,Pabay_30_6_22_1,Pabay,30_6_2022,30,6,2022,zooplankton,11797,271,16,0,4465,5755,2,16,0,255,0,0,51,10984,0,0,0,813,0,0,0,306,51,0,0,16,0,16,0,51,0,0,16,0,0,271,10221,306,18,33,0
Saccharina,Pabay_30_6_22_1,Pabay,30_6_2022,30,6,2022,zooplankton,11797,271,16,0,4465,5755,2,16,0,255,0,0,51,10984,0,0,0,813,0,0,0,306,51,0,0,16,0,16,0,51,0,0,16,0,0,271,10221,306,18,33,0
Alaria,Pabay_30_6_22_2,Pabay,30_6_2022,30,6,2022,zooplankton,19190,1359,35,0,6112,9049,2,35,0,187,0,0,136,16128,67,0,0,3060,0,0,0,458,322,16,2,0,0,271,2,220,0,0,204,0,0,187,15161,458,37,491,0
Saccharina,Pabay_30_6_22_2,Pabay,30_6_2022,30,6,2022,zooplankton,19190,1359,35,0,6112,9049,2,35,0,187,0,0,136,16128,67,0,0,3060,0,0,0,458,322,16,2,0,0,271,2,220,0,0,204,0,0,187,15161,458,37,491,0
Alaria,Pabay_30_6_22_3,Pabay,30_6_2022,30,6,2022,zooplankton,14882,544,86,0,6315,6044,35,6,0,67,0,0,204,13158,0,2,0,1723,0,0,0,322,204,16,0,0,0,136,0,86,0,0,35,0,51,67,12360,324,22,187,0
Saccharina,Pabay_30_6_22_3,Pabay,30_6_2022,30,6,2022,zooplankton,14882,544,86,0,6315,6044,35,6,0,67,0,0,204,13158,0,2,0,1723,0,0,0,322,204,16,0,0,0,136,0,86,0,0,35,0,51,67,12360,324,22,187,0
Alaria,Pabay_30_7_22_1,Pabay,30_7_2022,30,7,2022,zooplankton,6160,271,35,0,1544,2938,0,2,2,424,0,0,67,5549,0,16,16,611,0,0,0,0,16,0,0,0,0,153,0,16,0,2,16,0,16,424,4482,33,4,169,0
Saccharina,Pabay_30_7_22_1,Pabay,30_7_2022,30,7,2022,zooplankton,6160,271,35,0,1544,2938,0,2,2,424,0,0,67,5549,0,16,16,611,0,0,0,0,16,0,0,0,0,153,0,16,0,2,16,0,16,424,4482,33,4,169,0
Alaria,Pabay_30_7_22_2,Pabay,30_7_2022,30,7,2022,zooplankton,11883,850,0,16,2445,6926,35,35,0,271,2,0,391,10204,0,16,16,1679,0,0,0,16,16,0,0,16,0,271,0,0,2,16,35,16,0,287,9371,81,35,306,0
Saccharina,Pabay_30_7_22_2,Pabay,30_7_2022,30,7,2022,zooplankton,11883,850,0,16,2445,6926,35,35,0,271,2,0,391,10204,0,16,16,1679,0,0,0,16,16,0,0,16,0,271,0,0,2,16,35,16,0,287,9371,81,35,306,0
Alaria,Pabay_30_7_22_3,Pabay,30_7_2022,30,7,2022,zooplankton,5119,570,0,0,597,3314,0,55,2,108,0,0,108,4264,0,35,26,856,0,0,0,2,0,2,0,0,0,26,0,0,2,2,2,26,0,108,3911,90,57,31,0
Saccharina,Pabay_30_7_22_3,Pabay,30_7_2022,30,7,2022,zooplankton,5119,570,0,0,597,3314,0,55,2,108,0,0,108,4264,0,35,26,856,0,0,0,2,0,2,0,0,0,26,0,0,2,2,2,26,0,108,3911,90,57,31,0
Alaria,Pabay_7_5_22_1,Pabay,7_5_2022,7,5,2022,zooplankton,13623,611,0,0,2428,2750,0,51,0,5636,0,0,2,12715,0,0,0,908,0,0,0,51,0,0,0,0,2,51,0,17,0,0,17,0,51,5636,5178,55,85,68,2
Saccharina,Pabay_7_5_22_1,Pabay,7_5_2022,7,5,2022,zooplankton,13623,611,0,0,2428,2750,0,51,0,5636,0,0,2,12715,0,0,0,908,0,0,0,51,0,0,0,0,2,51,0,17,0,0,17,0,51,5636,5178,55,85,68,2
Alaria,Pabay_7_5_22_2,Pabay,7_5_2022,7,5,2022,zooplankton,15613,530,0,0,2771,5847,0,61,0,4217,0,0,102,14708,0,2,0,905,0,0,0,2,0,0,0,20,20,61,0,0,0,0,0,0,61,4237,8617,26,102,61,2
Saccharina,Pabay_7_5_22_2,Pabay,7_5_2022,7,5,2022,zooplankton,15613,530,0,0,2771,5847,0,61,0,4217,0,0,102,14708,0,2,0,905,0,0,0,2,0,0,0,20,20,61,0,0,0,0,0,0,61,4237,8617,26,102,61,2
Alaria,Pabay_7_5_22_3,Pabay,7_5_2022,7,5,2022,zooplankton,7591,0,0,0,2224,2156,0,136,0,2139,0,17,34,6994,0,0,0,596,0,0,0,17,0,0,0,17,0,51,0,0,0,0,0,0,34,2156,4380,17,458,51,0
Saccharina,Pabay_7_5_22_3,Pabay,7_5_2022,7,5,2022,zooplankton,7591,0,0,0,2224,2156,0,136,0,2139,0,17,34,6994,0,0,0,596,0,0,0,17,0,0,0,17,0,51,0,0,0,0,0,0,34,2156,4380,17,458,51,0
