"","Seaweed","Sample_code","Site","Location","Station_no","Date","Day","Month","Year","Notes on blades","Sample no","Total_Zooplankton","total reads","Total_Phytoplankton","taxa","abundance","sample_type"
"14","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Chaetoceros protuberans",0,"zooplankton"
"15","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Chaetoceros spp",0,"zooplankton"
"16","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ciliates",0,"zooplankton"
"17","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Cocconeis spp.",0,"zooplankton"
"18","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Coscinodiscus radiatus",0,"zooplankton"
"19","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Cryptoplacea",0,"zooplankton"
"20","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Cyclotella spp",0,"zooplankton"
"21","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ceratoneis closterium",1386.206897,"zooplankton"
"22","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Detonula pumila",0,"zooplankton"
"23","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"DICTYOCHA",231,"zooplankton"
"24","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Dictyocha fibula",0,"zooplankton"
"25","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Dictyocha speculum",231,"zooplankton"
"26","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Dinophysis acuta",0,"zooplankton"
"27","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Diploneis",0,"zooplankton"
"28","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ditylum brightwellii...42",0,"zooplankton"
"29","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Entomoneis alata",0,"zooplankton"
"30","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Eucampia zodiacus",0,"zooplankton"
"31","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Gonyaulax spinifera",0,"zooplankton"
"32","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Grammatophora marina",0,"zooplankton"
"33","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"GUINARDIA",0,"zooplankton"
"34","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Guinardia flaccida",0,"zooplankton"
"35","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Guinardia spp",0,"zooplankton"
"36","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Guinardia striata...50",0,"zooplankton"
"37","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Gyrodinium fusiforme",0,"zooplankton"
"38","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Gyrosigma",0,"zooplankton"
"39","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"HETEROCAPSA",0,"zooplankton"
"40","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Heterocapsa rotundata",0,"zooplankton"
"41","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Heterocapsa sp",0,"zooplankton"
"42","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Heterocapsa triquetra",0,"zooplankton"
"43","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Karlodinium sp",0,"zooplankton"
"44","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Licmophora",0,"zooplankton"
"45","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Mastogloia spp.",0,"zooplankton"
"46","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Melosira sp",0,"zooplankton"
"47","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Meuniera spp",0,"zooplankton"
"48","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Microfibre",231,"zooplankton"
"49","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Microplastric",0,"zooplankton"
"50","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"NITZSCHIA",0,"zooplankton"
"51","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Nitzschia big",0,"zooplankton"
"52","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Nitzschia spp.",0,"zooplankton"
"53","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Odontella/Biddulphia",0,"zooplankton"
"54","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Paralia sulcata",2079,"zooplankton"
"55","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pleurosigma sp",0,"zooplankton"
"56","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Prorocentrum micans",0,"zooplankton"
"57","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"PROTOPERIDINIUM",0,"zooplankton"
"58","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Protoperidinium spp",0,"zooplankton"
"59","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Protoperidinium steinii",0,"zooplankton"
"60","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pseudonitzschia spp",231,"zooplankton"
"61","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"RHIZOSOLENIA",0,"zooplankton"
"62","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Rhizosolenia setigera...76",0,"zooplankton"
"63","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Rhizosolenia styliformis",0,"zooplankton"
"64","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Scripsiella spp",0,"zooplankton"
"65","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Skeletonema spp",0,"zooplankton"
"66","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Striatella interupta",0,"zooplankton"
"67","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Thalassionema nitzschioides...81",0,"zooplankton"
"68","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"THALASSIOSIRA",0,"zooplankton"
"69","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Thalassiosira eccentrica",0,"zooplankton"
"70","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Thalassiosira rotula...84",0,"zooplankton"
"71","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Thalassiosira small",0,"zooplankton"
"72","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Thalassiosira spp",0,"zooplankton"
"73","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Amphipod",0,"zooplankton"
"74","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Anemone larvae",0,"zooplankton"
"75","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Appendicularia",17,"zooplankton"
"76","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ascidian larvae",0,"zooplankton"
"77","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Asteroida larvae",0,"zooplankton"
"78","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Balanoid cypris",0,"zooplankton"
"79","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Balanoid nauplii",0,"zooplankton"
"80","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Bivalvia",17,"zooplankton"
"81","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Bryozoa larvae",17,"zooplankton"
"82","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Clytia",0,"zooplankton"
"83","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Copepod nauplii",85,"zooplankton"
"84","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Copepods",34,"zooplankton"
"85","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ctenophore",0,"zooplankton"
"86","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Decapoda larvae",0,"zooplankton"
"87","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Euphysa sp.",0,"zooplankton"
"88","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Evadne",0,"zooplankton"
"89","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Fish egg",2,"zooplankton"
"90","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Fish larvae",0,"zooplankton"
"91","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Gastropoda",2,"zooplankton"
"92","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Holoplankton",140,"zooplankton"
"93","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Holothuria larvae",0,"zooplankton"
"94","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Hydroids",0,"zooplankton"
"95","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Lizzia blondina",0,"zooplankton"
"96","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Meroplankton",38,"zooplankton"
"97","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Microfibers",2,"zooplankton"
"98","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"MP Fragments",0,"zooplankton"
"99","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Nemertini larvae",0,"zooplankton"
"100","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Obelia",0,"zooplankton"
"101","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ophiura larvae",0,"zooplankton"
"102","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"other Polychaetae larvae",0,"zooplankton"
"103","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Phoronida larvae",0,"zooplankton"
"104","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Podon",2,"zooplankton"
"105","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Rathkea Octopunctata",0,"zooplankton"
"106","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Sabellariidae",2,"zooplankton"
"107","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Sagitta",0,"zooplankton"
"108","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Sea_urchin_larvae",0,"zooplankton"
"109","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Siphonophorae",0,"zooplankton"
"110","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Solmaris corona",0,"zooplankton"
"111","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Spionida",0,"zooplankton"
"112","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Stauridiosarsia gemmifera",0,"zooplankton"
"113","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"total_Balanoida",0,"zooplankton"
"114","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Total_Brachiopoda",2,"zooplankton"
"115","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"total_Copepoda",119,"zooplankton"
"116","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Total_Hydrozoa",0,"zooplankton"
"117","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Total_Malacostraca",0,"zooplankton"
"118","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Total_Polychaeta",2,"zooplankton"
"119","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"unknown_Jellies",0,"zooplankton"
"120","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pleurosigma inscriptura...134",0,"eDNA"
"121","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Amicula sp. isolate GU52X-4 cfCalB7",0,"eDNA"
"122","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Dimeregramma acutum...136",0,"eDNA"
"123","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Minutocellus polymorphus...137",0,"eDNA"
"124","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Minutocellus polymorphus...138",0,"eDNA"
"125","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Hemiaulus sinensis...139",0,"eDNA"
"126","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Dimeregramma acutum...140",0,"eDNA"
"127","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ditylum brightwellii...141",0,"eDNA"
"128","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ditylum brightwellii...142",0,"eDNA"
"129","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Minutocellus polymorphus...143",0,"eDNA"
"130","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Minutocellus polymorphus...144",0,"eDNA"
"131","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Lithodesmium intricatum...145",0,"eDNA"
"132","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pinnularia subanglica",0,"eDNA"
"133","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Minutocellus polymorphus...147",0,"eDNA"
"134","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Lithodesmium intricatum...148",0,"eDNA"
"135","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Minutocellus polymorphus...149",0,"eDNA"
"136","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Lithodesmium undulatum...150",0,"eDNA"
"137","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Hemiaulus sinensis...151",0,"eDNA"
"138","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Lithodesmium intricatum...152",0,"eDNA"
"139","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Lithodesmium undulatum...153",0,"eDNA"
"140","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Hemiaulus sinensis...154",0,"eDNA"
"141","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Minutocellus polymorphus...155",0,"eDNA"
"142","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Ditylum brightwellii...156",0,"eDNA"
"143","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Gomphonema parvulum",0,"eDNA"
"144","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Emiliania huxleyi...158",0,"eDNA"
"145","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Emiliania huxleyi...159",0,"eDNA"
"146","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Chrysochromulina tobinii...160",0,"eDNA"
"147","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Emiliania huxleyi...161",0,"eDNA"
"148","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Chrysochromulina tobinii...162",0,"eDNA"
"149","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Chrysochromulina sp. NIES-1333",0,"eDNA"
"150","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Phaeocystis globosa...164",0,"eDNA"
"151","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Phaeocystis globosa...165",0,"eDNA"
"152","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Phaeocystis globosa...166",0,"eDNA"
"153","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Phaeocystis antarctica",0,"eDNA"
"154","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Skeletonema menzelii...168",0,"eDNA"
"155","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Phaeocystis globosa...169",0,"eDNA"
"156","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Chrysophyceae sp.",0,"eDNA"
"157","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pedospumella sinomuralis...171",0,"eDNA"
"158","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pedospumella sinomuralis...172",0,"eDNA"
"159","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pedospumella sp. JBM19",0,"eDNA"
"160","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pedospumella sp....174",0,"eDNA"
"161","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pedospumella sinomuralis...175",0,"eDNA"
"162","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pedospumella sp....176",0,"eDNA"
"163","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pedospumella sp....177",0,"eDNA"
"164","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Pedospumella sp....178",0,"eDNA"
"165","Saccharina","Pabay_10_12_21_1","Pabay","NE",1,"10_12_2021",10,12,2021,NA,6,178,1412.5,3928,"Chaetoceros tenuissimus...179",0,"eDNA"
