Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU
Metazoa,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia aurita,Aurelia aurita
Metazoa,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,Cassiopea sp. PGNIMCP,Cassiopea sp. PGNIMCP
Metazoa,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,Cassiopea sp. PGNIMCP,Cassiopea sp. PGNIMCP
Metazoa,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,Cassiopea xamachana,Cassiopea xamachana
Metazoa,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia sp. 11 sensu Dawson et al. (2005),Aurelia sp. 11 sensu Dawson et al. (2005)
Metazoa,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,Cassiopea xamachana,Cassiopea xamachana
Metazoa,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,Asterias rubens
Metazoa,Annelida,Polychaeta,Unknown,Capitellidae,Dasybranchus,Dasybranchus sp. DH1,Dasybranchus sp. DH1
Metazoa,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,Asterias rubens
Metazoa,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,Asterias rubens
Metazoa,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,Asterias rubens
Metazoa,Echinodermata,Crinoidea,Comatulida,Antedonidae,Nesometra,Nesometra sp. i GP-2023,Nesometra sp. i GP-2023
Metazoa,Echinodermata,Crinoidea,Comatulida,Zenometridae,Psathyrometra,Psathyrometra cf. fragilis,Psathyrometra cf. fragilis
Metazoa,Echinodermata,Crinoidea,Isocrinida,Isocrinidae,Endoxocrinus,Endoxocrinus parrae,Endoxocrinus parrae
Metazoa,Echinodermata,Echinoidea,Temnopleuroida,Temnopleuridae,Temnopleurus,Temnopleurus toreumaticus,Temnopleurus toreumaticus
Metazoa,Echinodermata,Echinoidea,Camarodonta,Parechinidae,Psammechinus,Psammechinus miliaris,Psammechinus miliaris
Metazoa,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura,Amphiura filiformis,Amphiura filiformis
Metazoa,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,Ophiothrix fragilis,Ophiothrix fragilis
Metazoa,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,Amynthas sp. EWBC-3,Amynthas sp. EWBC-3
Metazoa,Annelida,Polychaeta,Unknown,Opheliidae,Travisia,Travisia pupa,Travisia pupa
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Chaetonotida,Chaetonotidae,Chaetonotus,Chaetonotus aff. gelidus MK-2019,Chaetonotus aff. gelidus MK-2019
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Annelida,Polychaeta,Phyllodocida,Polynoidae,Nonparahalosydna,Nonparahalosydna pleiolepis,Nonparahalosydna pleiolepis
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Chaetonotida,Chaetonotidae,Chaetonotus,Chaetonotus cf. oculiefer MK-2019,Chaetonotus cf. oculiefer MK-2019
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,Evadne sp.,Evadne sp.
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,Evadne sp.,Evadne sp.
Metazoa,Gastrotricha,Unknown,Macrodasyida,Macrodasyidae,Urodasys,Urodasys sp. 114a,Urodasys sp. 114a
Metazoa,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,Musculus sp. CROBB104,Musculus sp. CROBB104
Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Dosinia,Dosinia exoleta,Dosinia exoleta
Metazoa,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus edulis,Mytilus edulis
Metazoa,Mollusca,Bivalvia,Galeommatida,Montacutidae,Kurtiella,Kurtiella bidentata,Kurtiella bidentata
Metazoa,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus edulis complex sp. DC-2011,Mytilus edulis complex sp. DC-2011
Metazoa,Mollusca,Bivalvia,Galeommatida,Montacutidae,Montacutona,Montacutona sigalionidcola,Montacutona sigalionidcola
Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Dosinia,Dosinia lupinus,Dosinia lupinus
Metazoa,Mollusca,Bivalvia,Galeommatida,Montacutidae,Montacutona,Montacutona sigalionidcola,Montacutona sigalionidcola
Metazoa,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,Musculus sp. CROBB104,Musculus sp. CROBB104
Metazoa,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,Evadne sp.,Evadne sp.
Metazoa,Mollusca,Gastropoda,Nudibranchia,Dotidae,Doto,Doto coronata,Doto coronata
Metazoa,Mollusca,Gastropoda,Littorinimorpha,Lacunidae,Lacuna,Lacuna vincta,Lacuna vincta
Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,Steromphala,Steromphala cineraria,Steromphala cineraria
Metazoa,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Rissoa,Rissoa guernei,Rissoa guernei
Metazoa,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella moleculina,Mitrella moleculina
Metazoa,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Rissoa,Rissoa guernei,Rissoa guernei
Metazoa,Mollusca,Gastropoda,Unknown,Ancylidae,Burnupia,Burnupia sp. UGSB 25228,Burnupia sp. UGSB 25228
Metazoa,Mollusca,Gastropoda,Unknown,Limapontiidae,Limapontia,Limapontia capitata,Limapontia capitata
Metazoa,Mollusca,Gastropoda,Siphonariida,Siphonariidae,Siphonaria,Siphonaria pectinata,Siphonaria pectinata
Metazoa,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,Assiminea,Assiminea grayana,Assiminea grayana
Metazoa,Arthropoda,Diplopoda,Glomerida,Glomeridae,Hyleoglomeris,Hyleoglomeris sp.,Hyleoglomeris sp.
Metazoa,Mollusca,Gastropoda,Unknown,Planorbidae,Glyptophysa,Glyptophysa sp. 11 PGA-2018,Glyptophysa sp. 11 PGA-2018
Metazoa,Mollusca,Gastropoda,Littorinimorpha,Atlantidae,Atlanta,Atlanta ariejansseni,Atlanta ariejansseni
Metazoa,Mollusca,Gastropoda,Littorinimorpha,Lacunidae,Lacuna,Lacuna vincta,Lacuna vincta
Metazoa,Mollusca,Gastropoda,Unknown,Limapontiidae,Placida,Placida dendritica,Placida dendritica
Metazoa,Mollusca,Gastropoda,Littorinimorpha,Lacunidae,Lacuna,Lacuna vincta,Lacuna vincta
Metazoa,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Peringia,Peringia ulvae,Peringia ulvae
Metazoa,Mollusca,Gastropoda,Unknown,Physidae,Stenophysa,Stenophysa marmorata,Stenophysa marmorata
Metazoa,Mollusca,Gastropoda,Unknown,Limapontiidae,Ercolania,Ercolania sp. KH-2011,Ercolania sp. KH-2011
Metazoa,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Antarctoneptunea,Antarctoneptunea aurora,Antarctoneptunea aurora
Metazoa,Mollusca,Gastropoda,Nudibranchia,Dotidae,Doto,Doto coronata,Doto coronata
Metazoa,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Antichiropus,Antichiropus sp. DIP147,Antichiropus sp. DIP147
Metazoa,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella moleculina,Mitrella moleculina
Metazoa,Mollusca,Gastropoda,Nudibranchia,Dotidae,Doto,Doto coronata,Doto coronata
Metazoa,Mollusca,Gastropoda,Unknown,Limapontiidae,Placida,Placida dendritica,Placida dendritica
Metazoa,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella moleculina,Mitrella moleculina
Metazoa,Mollusca,Gastropoda,Unknown,Planorbidae,Segmentina,Segmentina nitida,Segmentina nitida
Metazoa,Mollusca,Gastropoda,Stylommatophora,Charopidae,Therasia,Therasia thaisa,Therasia thaisa
Metazoa,Mollusca,Gastropoda,Cycloneritida,Neritidae,Neritina,Neritina canalis,Neritina canalis
Metazoa,Mollusca,Gastropoda,Littorinimorpha,Cassidae,Sconsia,Sconsia sp. MNHN-IM-2013-61442,Sconsia sp. MNHN-IM-2013-61442
Metazoa,Mollusca,Gastropoda,Unknown,Planorbidae,Bulinus,Bulinus nasutus,Bulinus nasutus
Metazoa,Mollusca,Gastropoda,Unknown,Limapontiidae,Ercolania,Ercolania sp. KH-2011,Ercolania sp. KH-2011
Metazoa,Arthropoda,Diplopoda,Glomerida,Glomeridae,Hyleoglomeris,Hyleoglomeris sp.,Hyleoglomeris sp.
Metazoa,Mollusca,Gastropoda,Unknown,Valvatidae,Megalovalvata,Megalovalvata piligera,Megalovalvata piligera
Metazoa,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Unknown,Chromadoridae sp. 09PROBE-01551,Chromadoridae sp. 09PROBE-01551
Metazoa,Nematoda,Chromadorea,Rhabditida,Aphelenchoididae,Bursaphelenchus,Bursaphelenchus cocophilus,Bursaphelenchus cocophilus
Metazoa,Nemertea,Enopla,Monostilifera,Unknown,Unknown,Monostilifera sp.,Monostilifera sp.
Metazoa,Nemertea,Enopla,Monostilifera,Unknown,Unknown,Monostilifera sp.,Monostilifera sp.
Metazoa,Nemertea,Enopla,Monostilifera,Unknown,Unknown,Monostilifera sp.,Monostilifera sp.
Metazoa,Nemertea,Enopla,Monostilifera,Unknown,Unknown,Monostilifera sp.,Monostilifera sp.
Metazoa,Nemertea,Enopla,Monostilifera,Unknown,Unknown,Monostilifera sp.,Monostilifera sp.
Metazoa,Nemertea,Enopla,Monostilifera,Unknown,Unknown,Monostilifera sp.,Monostilifera sp.
Metazoa,Nemertea,Enopla,Monostilifera,Prosorhochmidae,Prosadenoporus,Prosadenoporus floridensis,Prosadenoporus floridensis
Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,Paracalanus parvus
Metazoa,Nemertea,Enopla,Monostilifera,Unknown,Unknown,Monostilifera sp.,Monostilifera sp.
Metazoa,Platyhelminthes,Rhabditophora,Macrostomida,Microstomidae,Microstomum,Microstomum compositum,Microstomum compositum
Metazoa,Porifera,Demospongiae,Tetractinellida,Thoosidae,Thoosa,Thoosa mismalolli,Thoosa mismalolli
Metazoa,Porifera,Demospongiae,Spongillida,Metaniidae,Corvomeyenia,Corvomeyenia everetti,Corvomeyenia everetti
Metazoa,Porifera,Demospongiae,Bubarida,Dictyonellidae,Scopalina,Scopalina ruetzleri,Scopalina ruetzleri
Metazoa,Porifera,Demospongiae,Axinellida,Raspailiidae,Echinodictyum,Echinodictyum mesenterinum,Echinodictyum mesenterinum
Metazoa,Porifera,Demospongiae,Poecilosclerida,Hymedesmiidae,Hymedesmia,Hymedesmia hibernica,Hymedesmia hibernica
Metazoa,Porifera,Demospongiae,Bubarida,Dictyonellidae,Svenzea,Svenzea sp. 1 PRT-2020,Svenzea sp. 1 PRT-2020
Metazoa,Rotifera,Eurotatoria,Unknown,Unknown,Unknown,Monogononta sp. R35_CoastL,Monogononta sp. R35_CoastL
Metazoa,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,Asplanchna sieboldii,Asplanchna sieboldii
Metazoa,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora sp.,Temora sp.
Metazoa,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta vorax,Synchaeta vorax
Metazoa,Rotifera,Eurotatoria,Ploima,Brachionidae,Euchlanis,Euchlanis dilatata,Euchlanis dilatata
Metazoa,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,Asplanchna sieboldii,Asplanchna sieboldii
Metazoa,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,Asplanchna sieboldii,Asplanchna sieboldii
Metazoa,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Polyarthra major,Polyarthra major
Metazoa,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella cf. quadricarinata AGROT318-10,Lepadella cf. quadricarinata AGROT318-10
Metazoa,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,Asplanchna sieboldii,Asplanchna sieboldii
Metazoa,Rotifera,Eurotatoria,Ploima,Brachionidae,Euchlanis,Euchlanis dilatata,Euchlanis dilatata
Metazoa,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta vorax,Synchaeta vorax
Metazoa,Rotifera,Eurotatoria,Ploima,Trichocercidae,Trichocerca,Trichocerca capucina,Trichocerca capucina
Metazoa,Annelida,Clitellata,Tubificida,Naididae,Tubificoides,Tubificoides sp. CED,Tubificoides sp. CED
Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus elongatus,Pseudocalanus elongatus
Metazoa,Rotifera,Eurotatoria,Ploima,Brachionidae,Platyias,Platyias quadricornis,Platyias quadricornis
Metazoa,Rotifera,Eurotatoria,Ploima,Brachionidae,Euchlanis,Euchlanis dilatata,Euchlanis dilatata
Metazoa,Rotifera,Eurotatoria,Ploima,Brachionidae,Euchlanis,Euchlanis dilatata,Euchlanis dilatata
Metazoa,Rotifera,Eurotatoria,Ploima,Euchlanidae,Tripleuchlanis,Tripleuchlanis plicata,Tripleuchlanis plicata
Metazoa,Rotifera,Eurotatoria,Unknown,Unknown,Unknown,Monogononta sp. R35_CoastL,Monogononta sp. R35_CoastL
Metazoa,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,Polyarthra dolichoptera complex sp. UO-2013,Polyarthra dolichoptera complex sp. UO-2013
Metazoa,Rotifera,Eurotatoria,Ploima,Euchlanidae,Tripleuchlanis,Tripleuchlanis plicata,Tripleuchlanis plicata
Metazoa,Rotifera,Eurotatoria,Unknown,Unknown,Unknown,Monogononta sp. R35_CoastL,Monogononta sp. R35_CoastL
Metazoa,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,Asplanchna sieboldii,Asplanchna sieboldii
Metazoa,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus rubens,Brachionus rubens
Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Peltidiidae,Unknown,Peltidiidae sp. 10PROBE-19037,Peltidiidae sp. 10PROBE-19037
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora sp.,Temora sp.
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora sp.,Temora sp.
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora sp.,Temora sp.
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Unknown,Unknown,Unknown,Unknown,Unknown,invertebrate environmental sample,invertebrate environmental sample
Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,Paracalanus parvus
Metazoa,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora sp.,Temora sp.
Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Harpacticidae,Harpacticus,Harpacticus flexus,Harpacticus flexus
Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Ectinosomatidae,Unknown,Ectinosomatidae sp. SR-2019,Ectinosomatidae sp. SR-2019
Metazoa,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona nana,Oithona nana
Metazoa,Annelida,Clitellata,Tubificida,Naididae,Tubificoides,Tubificoides benedii,Tubificoides benedii
Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,Paracalanus parvus
Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Harpacticidae,Harpacticus,Harpacticus flexus,Harpacticus flexus
Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,Paracalanus parvus
Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,Paracalanus parvus
Metazoa,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages hamatus,Centropages hamatus
Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,Paracalanus parvus
Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,Paracalanus parvus
Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,Paracalanus parvus
Metazoa,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora sp.,Temora sp.
Metazoa,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora sp.,Temora sp.
Metazoa,Annelida,Clitellata,Crassiclitellata,Hormogastridae,Hormogaster,Hormogaster redii,Hormogaster redii
Metazoa,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora sp.,Temora sp.
Metazoa,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,Paraeuchaeta sp. KJ753,Paraeuchaeta sp. KJ753
Metazoa,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,Jassa herdmani,Jassa herdmani
Metazoa,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,Jassa herdmani,Jassa herdmani
Metazoa,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,Jassa herdmani,Jassa herdmani
Metazoa,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,Jassa herdmani,Jassa herdmani
Metazoa,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,Jassa herdmani,Jassa herdmani
Metazoa,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,Jassa herdmani,Jassa herdmani
Metazoa,Arthropoda,Malacostraca,Amphipoda,Niphargidae,Niphargus,Niphargus arbiter,Niphargus arbiter
Metazoa,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,Jassa herdmani,Jassa herdmani
Metazoa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Enchytraeus,Enchytraeus doerjesi,Enchytraeus doerjesi
Metazoa,Arthropoda,Malacostraca,Amphipoda,Aoridae,Aora,Aora gracilis,Aora gracilis
Metazoa,Arthropoda,Malacostraca,Decapoda,Unknown,Unknown,Caridea sp. LPdivOTU7,Caridea sp. LPdivOTU7
Metazoa,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus longicarpus,Pagurus longicarpus
Metazoa,Arthropoda,Protura,Unknown,Fujientomidae,Fujientomon,Fujientomon dicestum,Fujientomon dicestum
Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,Semibalanus balanoides
Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus crenatus,Balanus crenatus
Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus balanus,Balanus balanus
Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus crenatus,Balanus crenatus
Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,Semibalanus balanoides
Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,Semibalanus balanoides
Metazoa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Enchytraeus,Enchytraeus albidus,Enchytraeus albidus
Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,Semibalanus balanoides
Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,Semibalanus balanoides
Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,Semibalanus balanoides
