,seaweed,sample_code,site,location,station_no,date,day,month,year,notes_on_blades,sample_no,species_id,measurement_value,measurement_type,measurement_origin,parsed_date,species_name,X,kingdom,phylum,class,order,family,genus
23,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_lacuna_vincta,0,otu,edna,10/12/2021,lacuna vincta,NA,NA,NA,NA,NA,NA,NA
24,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_membranipora_membranacea,0,otu,edna,10/12/2021,membranipora membranacea,NA,NA,NA,NA,NA,NA,NA
25,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_mytilidae,0,otu,edna,10/12/2021,mytilidae,NA,NA,NA,NA,NA,NA,NA
26,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_obelia,0,otu,edna,10/12/2021,obelia,NA,NA,NA,NA,NA,NA,NA
27,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_obelia_bidentata,0,otu,edna,10/12/2021,obelia bidentata,NA,NA,NA,NA,NA,NA,NA
28,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_obelia_dichotoma,0,otu,edna,10/12/2021,obelia dichotoma,NA,NA,NA,NA,NA,NA,NA
29,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_rissoa_guernei,0,otu,edna,10/12/2021,rissoa guernei,NA,NA,NA,NA,NA,NA,NA
30,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_total_amphipoda,0,otu,edna,10/12/2021,total amphipoda,NA,NA,NA,NA,NA,NA,NA
31,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_total_annelida,0,otu,edna,10/12/2021,total annelida,NA,NA,NA,NA,NA,NA,NA
32,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_total_balanoida,0,otu,edna,10/12/2021,total balanoida,NA,NA,NA,NA,NA,NA,NA
33,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_total_bivalvia,0,otu,edna,10/12/2021,total bivalvia,NA,NA,NA,NA,NA,NA,NA
34,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_total_copepoda,0,otu,edna,10/12/2021,total copepoda,NA,NA,NA,NA,NA,NA,NA
35,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_total_gastropoda,0,otu,edna,10/12/2021,total gastropoda,NA,NA,NA,NA,NA,NA,NA
36,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,otu_total_hydrozoa,10.584,otu,edna,10/12/2021,total hydrozoa,NA,NA,NA,NA,NA,NA,NA
37,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_brachiopoda_otu,0,NA,NA,10/12/2021,total brachiopoda otu,NA,NA,NA,NA,NA,NA,NA
38,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,blade_area,NA,NA,NA,10/12/2021,blade area,NA,NA,NA,NA,NA,NA,NA
39,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_area,NA,NA,NA,10/12/2021,total area,NA,NA,NA,NA,NA,NA,NA
40,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,for_standardizing,NA,NA,NA,10/12/2021,for standardizing,NA,NA,NA,NA,NA,NA,NA
41,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,species_richness,0,NA,NA,10/12/2021,species richness,NA,NA,NA,NA,NA,NA,NA
42,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,percent_blade_hydrozoans,NA,blade_coverage,blade_coverage,10/12/2021,percent blade hydrozoans,NA,NA,NA,NA,NA,NA,NA
43,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,percent_blade_bryozoans,NA,blade_coverage,blade_coverage,10/12/2021,percent blade bryozoans,NA,NA,NA,NA,NA,NA,NA
44,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,percent_blade_ectocarpus,NA,blade_coverage,blade_coverage,10/12/2021,percent blade ectocarpus,NA,NA,NA,NA,NA,NA,NA
45,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,mussel_juveniles,NA,NA,NA,10/12/2021,mussel juveniles,NA,NA,NA,NA,NA,NA,NA
46,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,percent_epiphytes,NA,blade_coverage,blade_coverage,10/12/2021,percent epiphytes,NA,NA,NA,NA,NA,NA,NA
47,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,percent_brown_blotches,NA,blade_coverage,blade_coverage,10/12/2021,percent brown blotches,NA,NA,NA,NA,NA,NA,NA
48,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,percent_hydrozoans,NA,blade_coverage,blade_coverage,10/12/2021,percent hydrozoans,NA,NA,NA,NA,NA,NA,NA
49,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,percent_bryozoans,NA,blade_coverage,blade_coverage,10/12/2021,percent bryozoans,NA,NA,NA,NA,NA,NA,NA
50,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,tufts_cm2,NA,NA,NA,10/12/2021,tufts cm2,NA,NA,NA,NA,NA,NA,NA
51,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_amphipoda,NA,NA,NA,10/12/2021,total amphipoda,NA,NA,NA,NA,NA,NA,NA
52,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_bivalvia,NA,NA,NA,10/12/2021,total bivalvia,NA,NA,NA,NA,NA,NA,NA
53,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_copepoda_2,NA,NA,NA,10/12/2021,total copepoda 2,NA,NA,NA,NA,NA,NA,NA
54,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_gasteropoda,NA,NA,NA,10/12/2021,total gasteropoda,NA,NA,NA,NA,NA,NA,NA
55,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_isopoda,NA,NA,NA,10/12/2021,total isopoda,NA,NA,NA,NA,NA,NA,NA
56,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,total_nemerta,NA,NA,NA,10/12/2021,total nemerta,NA,NA,NA,NA,NA,NA,NA
57,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,polychaeta_tot,NA,NA,NA,10/12/2021,polychaeta tot,NA,NA,NA,NA,NA,NA,NA
58,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,halacaridae,NA,NA,NA,10/12/2021,halacaridae,52,Animalia,Arthropoda,Arachnida,Trombidiformes,Halacaridae,NA
59,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,arthropod,NA,NA,NA,10/12/2021,arthropod,NA,NA,NA,NA,NA,NA,NA
60,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,amphipod,NA,NA,NA,10/12/2021,amphipod,NA,NA,NA,NA,NA,NA,NA
61,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,caprellidae,NA,NA,NA,10/12/2021,caprellidae,54,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,NA
62,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,gammaridae,NA,NA,NA,10/12/2021,gammaridae,55,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,NA
63,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,jassa,NA,NA,NA,10/12/2021,jassa,56,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa
64,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,annelida_tube,NA,NA,NA,10/12/2021,annelida tube,NA,NA,NA,NA,NA,NA,NA
65,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,asteroidea,NA,NA,NA,10/12/2021,asteroidea,57,Animalia,Echinodermata,Asteroidea,NA,NA,NA
66,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,bivalve,NA,NA,NA,10/12/2021,bivalve,NA,NA,NA,NA,NA,NA,NA
67,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,cerastoderma,NA,NA,NA,10/12/2021,cerastoderma,58,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Cerastoderma
68,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,mytilus,NA,NA,NA,10/12/2021,mytilus,59,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus
69,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,ostrea,NA,NA,NA,10/12/2021,ostrea,60,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea
70,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,pecten,NA,NA,NA,10/12/2021,pecten,61,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Pecten
71,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,scallop_brown,NA,NA,NA,10/12/2021,scallop brown,NA,NA,NA,NA,NA,NA,NA
72,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,scallop_pink,NA,NA,NA,10/12/2021,scallop pink,NA,NA,NA,NA,NA,NA,NA
73,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,cirripedia,NA,NA,NA,10/12/2021,cirripedia,62,Animalia,Arthropoda,Thecostraca,NA,NA,NA
74,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,copepod,NA,NA,NA,10/12/2021,copepod,NA,NA,NA,NA,NA,NA,NA
75,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,harpacticoida,NA,NA,NA,10/12/2021,harpacticoida,64,Animalia,Arthropoda,Copepoda,Harpacticoida,NA,NA
76,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,corophium,NA,NA,NA,10/12/2021,corophium,65,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium
77,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,cumacea,NA,NA,NA,10/12/2021,cumacea,66,Animalia,Arthropoda,Malacostraca,Cumacea,NA,NA
78,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,cancer_pagurus,NA,NA,NA,10/12/2021,cancer pagurus,67,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
79,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,brachyura,NA,NA,NA,10/12/2021,brachyura,68,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA
80,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,dendronotidae,NA,NA,NA,10/12/2021,dendronotidae,69,Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,NA
81,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,echinoidea,NA,NA,NA,10/12/2021,echinoidea,70,Animalia,Echinodermata,Echinoidea,NA,NA,NA
82,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,calcareous,NA,NA,NA,10/12/2021,calcareous,NA,NA,NA,NA,NA,NA,NA
83,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,euphausiacea,NA,NA,NA,10/12/2021,euphausiacea,71,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA
84,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,gastropod,NA,NA,NA,10/12/2021,gastropod,NA,NA,NA,NA,NA,NA,NA
85,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,gibbula,NA,NA,NA,10/12/2021,gibbula,73,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Gibbula
86,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,lacuna,NA,NA,NA,10/12/2021,lacuna,74,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna
87,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,rissoa,NA,NA,NA,10/12/2021,rissoa,75,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Rissoa
88,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,patella,NA,NA,NA,10/12/2021,patella,76,Animalia,Mollusca,Gastropoda,NA,Patellidae,Patella
89,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,isopod,NA,NA,NA,10/12/2021,isopod,NA,NA,NA,NA,NA,NA,NA
90,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,idoteidae,NA,NA,NA,10/12/2021,idoteidae,78,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,NA
91,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,janiridae,NA,NA,NA,10/12/2021,janiridae,79,Animalia,Arthropoda,Malacostraca,Isopoda,Janiridae,NA
92,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,isopod_larvae,NA,NA,NA,10/12/2021,isopod larvae,NA,NA,NA,NA,NA,NA,NA
93,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,zoea_larva,NA,NA,NA,10/12/2021,zoea larva,NA,NA,NA,NA,NA,NA,NA
94,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,mysid,NA,NA,NA,10/12/2021,mysid,NA,NA,NA,NA,NA,NA,NA
95,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,nemertea,NA,NA,NA,10/12/2021,nemertea,81,Animalia,Nemertea,NA,NA,NA,NA
96,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,cephalothrix,NA,NA,NA,10/12/2021,cephalothrix,82,Animalia,Nemertea,Palaeonemertea,Archinemertea,Cephalotrichidae,Cephalothrix
97,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,haplonemertea,NA,NA,NA,10/12/2021,haplonemertea,NA,NA,NA,NA,NA,NA,NA
98,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,oligochaeta_nereididae,NA,NA,NA,10/12/2021,oligochaeta nereididae,NA,NA,NA,NA,NA,NA,NA
99,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,ostracoda,NA,NA,NA,10/12/2021,ostracoda,83,Animalia,Arthropoda,Ostracoda,NA,NA,NA
100,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,polychaeta_larvae,NA,NA,NA,10/12/2021,polychaeta larvae,NA,NA,NA,NA,NA,NA,NA
101,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,phyllodocida,NA,NA,NA,10/12/2021,phyllodocida,84,Animalia,Annelida,Polychaeta,Phyllodocida,NA,NA
102,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,polycheate_tube,NA,NA,NA,10/12/2021,polycheate tube,NA,NA,NA,NA,NA,NA,NA
103,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,foraminifer,NA,NA,NA,10/12/2021,foraminifer,NA,NA,NA,NA,NA,NA,NA
104,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,x,NA,NA,NA,10/12/2021,x,NA,NA,NA,NA,NA,NA,NA
105,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,x_1,NA,NA,NA,10/12/2021,x 1,NA,NA,NA,NA,NA,NA,NA
106,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,blade_amphipod_p_cm,NA,blade_abundance,blade_abundance,10/12/2021,blade amphipod p cm,NA,NA,NA,NA,NA,NA,NA
107,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,blade_bivalvia_p_cm,NA,blade_abundance,blade_abundance,10/12/2021,blade bivalvia p cm,NA,NA,NA,NA,NA,NA,NA
108,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,blade_copepoda_p_cm,NA,blade_abundance,blade_abundance,10/12/2021,blade copepoda p cm,NA,NA,NA,NA,NA,NA,NA
109,Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,,6,blade_polychaete_p_cm,NA,blade_abundance,blade_abundance,10/12/2021,blade polychaete p cm,NA,NA,NA,NA,NA,NA,NA
110,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,total_phytoplankton,462,NA,NA,10/12/2021,total phytoplankton,NA,NA,NA,NA,NA,NA,NA
111,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,total_zooplankton,462,NA,NA,10/12/2021,total zooplankton,NA,NA,NA,NA,NA,NA,NA
112,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_bivalvia,2,abundance,plankton,10/12/2021,zooplank abundance bivalvia,NA,NA,NA,NA,NA,NA,NA
113,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_bryozoa_larvae,34,abundance,plankton,10/12/2021,zooplank abundance bryozoa larvae,NA,NA,NA,NA,NA,NA,NA
114,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_gastropoda,34,abundance,plankton,10/12/2021,zooplank abundance gastropoda,NA,NA,NA,NA,NA,NA,NA
115,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_holoplankton,376,abundance,plankton,10/12/2021,zooplank abundance holoplankton,NA,NA,NA,NA,NA,NA,NA
116,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_hydroids,0,abundance,plankton,10/12/2021,zooplank abundance hydroids,NA,NA,NA,NA,NA,NA,NA
117,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_obelia,0,abundance,plankton,10/12/2021,zooplank abundance obelia,NA,NA,NA,NA,NA,NA,NA
118,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_total_hydrozoa,0,abundance,plankton,10/12/2021,zooplank abundance total hydrozoa,NA,NA,NA,NA,NA,NA,NA
119,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_meroplankton,87,abundance,plankton,10/12/2021,zooplank abundance meroplankton,NA,NA,NA,NA,NA,NA,NA
120,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_total_balanoida,0,abundance,plankton,10/12/2021,zooplank abundance total balanoida,NA,NA,NA,NA,NA,NA,NA
121,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_total_brachiopoda,0,abundance,plankton,10/12/2021,zooplank abundance total brachiopoda,NA,NA,NA,NA,NA,NA,NA
122,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_total_copepoda,357,abundance,plankton,10/12/2021,zooplank abundance total copepoda,NA,NA,NA,NA,NA,NA,NA
123,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_total_malacostraca,0,abundance,plankton,10/12/2021,zooplank abundance total malacostraca,NA,NA,NA,NA,NA,NA,NA
124,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,zooplank_abundance_total_polychaeta,17,abundance,plankton,10/12/2021,zooplank abundance total polychaeta,NA,NA,NA,NA,NA,NA,NA
125,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,unknown_jellies,0,NA,NA,10/12/2021,unknown jellies,NA,NA,NA,NA,NA,NA,NA
126,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,total_reads,1191.5,NA,NA,10/12/2021,total reads,NA,NA,NA,NA,NA,NA,NA
127,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,otu_celleporella_hyalina,0,otu,edna,10/12/2021,celleporella hyalina,NA,NA,NA,NA,NA,NA,NA
128,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,otu_doto_coronata,0,otu,edna,10/12/2021,doto coronata,NA,NA,NA,NA,NA,NA,NA
129,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,otu_ectocarpus_subulatus,0,otu,edna,10/12/2021,ectocarpus subulatus,NA,NA,NA,NA,NA,NA,NA
130,Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,,6,otu_electra_pilosa,0,otu,edna,10/12/2021,electra pilosa,NA,NA,NA,NA,NA,NA,NA
